tableA_id,tableA_Beer_Name,tableA_Brew_Factory_Name,tableA_Style,tableA_ABV,tableB_id,tableB_Beer_Name,tableB_Brew_Factory_Name,tableB_Style,tableB_ABV,label
217,Shakparo ( Fire-Brewed African Style-Ale ),Sprecher Brewing Company,American Amber / Red Ale,5.70 %,1177,Capitol City Amber Waves Ale,Capitol City Brewing Company,Amber Ale,5.60 %,0
2578,Headless Dog,Hilden Brewing Company / Taproom,American Amber / Red Ale,4.20 %,1994,21st Amendment North Star Red Ale,21st Amendment Brewery,Amber Ale,6.50 %,0
834,Road-Kill Red,Minocqua Brewing Company,American Amber / Red Ale,-,278,Odell Mean Street Pumpkin Ale,Odell Brewing Company,Spice/Herb/Vegetable,5.40 %,0
2678,Border Bitter,The Untapped Brewing Co. .,American Amber / Red Ale,3.80 %,1470,Adventure Second Ascent Double IPA,Adventure Brewing Company,Imperial IPA,9 %,0
4159,Carolina Old 392,Carolina Brewing Company,American Barleywine,8.70 %,2740,Okanagan Spring Cloudy Amber Ale,Okanagan Spring Brewery &#40; Sapporo &#41;,Amber Ale,5 %,0
1816,Our Daily Red,Country Boy Brewing,American Amber / Red Ale,7.00 %,1507,TRVE Crown of Eyes,TRVE Brewing,Amber Ale,5 %,0
4155,Hopsquatch Barleywine,Four Peaks Brewing Company - 8th Street Brewery,American Barleywine,11.50 %,2909,Cigar City Joe_s Hoppy Time IPA,Cigar City Brewing,India Pale Ale &#40; IPA &#41;,7.50 %,0
2717,Mother Plunker,DuVig Brewing Co. .,American Amber / Red Ale,5.20 %,1666,ManRock Fear The Reaper Amber,ManRock Brewing Company,Amber Ale,6.10 %,0
262,Red Fox Amber Ale,Rogue Ales,American Amber / Red Ale,-,1764,Conshohocken In Amber Clad,Conshohocken Brewing Co. .,Amber Ale,6.60 %,0
998,Rooibos Red Ale With Vanilla,Dangerous Man Brewing,American Amber / Red Ale,-,1859,Willoughby American Amber Ale,Willoughby Brewing Co. .,Amber Ale,5.50 %,0
2114,The Rock Rock Steady Red,Big Rock Brewery,American Amber / Red Ale,5.00 %,1819,Wrecking Bar Penny for your Thoughts Copper Ale,Wrecking Bar Brewpub,Amber Ale,5.10 %,0
3988,Reunion,Enki Brewing,American Amber / Red Ale,5.00 %,679,Sierra Andina Alpamayo Amber Ale,Sierra Andina,Amber Ale,5.80 %,0
2438,Volcano Red Ale,CervecerÃa Maddok,American Amber / Red Ale,6.50 %,697,Against the Grain Truffle Shuffle,Against the Grain Brewery,Spice/Herb/Vegetable,6.80 %,0
2016,Illawarra Rust Amber Ale,Illawarra Brewing Company,American Amber / Red Ale,-,2170,Clarens Red Ale,Clarens Brewery,American Pale Ale,-,0
119,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.00 %,2479,Birra del Borgo Sedicigradi,Birra del Borgo,Barley Wine,16 %,0
1481,Valley Girl !,Cambridge Brewing Company,American Amber / Red Ale,4.30 %,1528,Ellicottville E_vil Hoppy Winter Ale,Ellicottville Brewing,American Pale Ale,5.50 %,0
3958,REDemption,Adroit Theory Brewing Company,American Amber / Red Ale,7.80 %,1378,Four Corners Block Party,Four Corners Brewing Company,Porter,5.70 %,0
767,Tuscarora Red,Barley and Hops Grill & Microbrewery,American Amber / Red Ale,5.20 %,467,Coopers Cave Radeau Red Ale,Coopers Cave Ale Company,Irish Ale,-,0
1159,Mint Julep,Wicked Weed Brewing,American Amber / Red Ale,5.40 %,227,101 Hook Tender Honey Brown Ale,101 Brewery & Twana Roadhouse,Brown Ale,5.50 %,0
3839,Aurora Amber Ale,The Filling Station Microbrewery,American Amber / Red Ale,6.00 %,703,La Verne Dead Leprechaun Irish Red,La Verne Brewing Co. .,Amber Ale,5.50 %,0
1410,Trois De Pique,L'Inox,American Amber / Red Ale,5.00 %,169,Fair Winds Running Light Red,Fair Winds Brewing Company,Belgian Ale,6 %,0
885,Market Street Wrought Iron Red,Market Street Brewing Co. and Restaurant,American Amber / Red Ale,-,1919,Little Egypt Red Ale,Carbondale Craft Beer,Amber Ale,-,0
1021,Cheer Beer,Blue Mountain Brewery,American Amber / Red Ale,6.50 %,488,Pipeworks Sam vs Unicorn,Pipeworks Brewing Company,American Strong Ale,9 %,0
343,Common Ground,The Fort Collins Brewery,American Amber / Red Ale,5.60 %,2982,Blue Corn Rio Chama Amber Ale,Blue Corn Brewery &#40; Santa Fe &#41;,Amber Ale,-,0
950,Tasting Room Series : Red IPA,Boulevard Brewing Co. .,American Amber / Red Ale,5.80 %,58,Begyle Pancake Junkie,Begyle Brewing Company,Amber Ale,7.20 %,0
3991,Nut Red,Grain Station Brew Works,American Amber / Red Ale,5.40 %,2441,Grado Plato Strada S. Felice,Birrificio Grado Plato,Spice/Herb/Vegetable,8 %,0
3590,Anecdotalist Amber Ale,Kuracali SakÃ © & Beer Brewery,American Amber / Red Ale,4.50 %,417,8 Wired Barrel Aged Smoked Imperial Porter &#40; 2011 &#41;,Renaissance Brewing,Imperial Porter,11 %,0
1124,HÃ $ ffner Hopfenstopfer Dark Red Temptation,Hotel-Gasthof HÃ $ ffner BrÃ $ u,American Amber / Red Ale,5.00 %,1574,A. Le Coq Special Red,A. Le Coq &#40; Olvi &#41;,Amber Lager/Vienna,5.20 %,0
2378,Ace In The Hole,Barnstormer Brewing & Pizzeria,American Amber / Red Ale,5.80 %,1422,Squatters Big Cottonwood,Squatters Craft Beers,Amber Ale,5.75 %,0
2758,C-Red,Wheaty Brewing Corps,American Amber / Red Ale,4.50 %,2748,Bent Hill Maple Irish Red Ale,Bent Hill Brewery,Irish Ale,4.80 %,0
1586,Holla Ray,Green Room Brewing,American Amber / Red Ale,5.50 %,2368,Ninkasi Critical Hit Barley Wine,Ninkasi Brewing Company,Barley Wine,10 %,0
3268,Man Vs Internet Vs Mothra,Solemn Oath Brewery,American Amber / Red Ale,8.50 %,2425,Tighthead Barrel Aged Old Kaya Dog Barleywine,Tighthead Brewing Company,Barley Wine,10.30 %,0
3297,To The Head Red,One World Brewing,American Amber / Red Ale,6.30 %,202,Firestorm Red Angel,WharfeBank,Amber Ale,5 %,0
1820,Topless Red Ale,Central Coast Brewing,American Amber / Red Ale,4.30 %,1557,Caledonian Drop Kick,Caledonian &#40; Heineken UK &#41;,English Pale Ale,4 %,0
370,Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.70 %,2453,Jackie O_s Really Nelson India Red Ale,Jackie O_s Pub & Brewery,Amber Ale,7 %,0
3048,Local Yeast Amber,Thirsty Pagan Brewing,American Amber / Red Ale,5.00 %,776,Planetary Brewing Heliotropic Amber,Planetary Brewing Company,Amber Ale,5.10 %,0
3022,Misty Mountain Hop,North by Northwest Restaurant & Brewery,American Amber / Red Ale,6.25 %,1780,Michael_s Genuine Home Brew,Back Forty Beer Company,Golden Ale/Blond Ale,-,0
1579,Uptown Amber,The Phoenix Ale Brewery,American Amber / Red Ale,-,731,Central City Red Racer Copper Ale,Central City Brewers + Distillers,Amber Ale,5 %,0
4331,Batch # 100 Barleywine - Brandy Barrel,Bravery Brewing,American Barleywine,11.00 %,2614,Coronado Mermaids Red Ale,Coronado Brewing Company,Amber Ale,5.70 %,0
2749,Red Beard,Three Mugs Brewing,American Amber / Red Ale,11.00 %,1061,American Winter Classic,American Brewing Company,American Strong Ale,8.20 %,0
2741,Northmaen Ambree,Brasserie De La Chapelle,American Amber / Red Ale,5.00 %,1427,Archibald ISA Rousse,Microbrasserie Archibald,Session IPA,3.80 %,0
1660,Midgee,HopDog BeerWorks,American Amber / Red Ale,2.80 %,1955,Flat 12 Barrel Aged Moustache Ride Red,Flat 12 Bierwerks,Amber Ale,-,0
1363,Amber Reign,Maui Brewing Co. .,American Amber / Red Ale,5.50 %,391,Growlers Alley Way Amber,Growlers,BiÃ ¨ re de Garde,7.40 %,0
743,L'AmbrÃ © e,Les 3 Brasseurs,American Amber / Red Ale,-,2237,Hawcreek Get Down Ruby Red,Hawcreek Brewing Co. .,Irish Ale,-,0
301,Rat Tail Ale,Cellar Rats Brewery,American Amber / Red Ale,6.00 %,2355,Tenaya Creek Old Jackalope Barleywine,Tenaya Creek Brewery,Barley Wine,10.40 %,0
2908,Sourless Ginger,Hearthstone Grill,American Amber / Red Ale,3.80 %,1145,Ragtime Tavern Atlantic Beach Amber,Ragtime Tavern &#40; Gordon Biersch &#41;,Amber Ale,6 %,0
3884,Rousse _ L _ ™ _ rable,Micro-Brasserie Brouemont,American Amber / Red Ale,5.00 %,113,Peak Organic Espresso Amber Ale,Shipyard Brewing Company,Amber Ale,6.80 %,0
3066,Ardwen AmbrÃ © e,SociÃ © tÃ © Ardennaise De Brasserie,American Amber / Red Ale,6.50 %,920,Big Axe Amber Ale,Big Axe Brewing Company,Amber Ale,5 %,0
1828,Potosi Cave Ale Amber Ale,Potosi Brewing Company,American Amber / Red Ale,5.50 %,2887,Howe Sound Mettleman Copper Ale,Howe Sound Brewing,Amber Ale,5.50 %,0
2668,AmbrÃ © e AmÃ © ricaine,La Barberie,American Amber / Red Ale,-,806,8 Wired C4 Double Coffee Brown Ale,Renaissance Brewing,Brown Ale,8 %,0
1733,Iron Horse Red,Prairie Fire Brewing Co. .,American Amber / Red Ale,5.20 %,149,River Horse Special Ale,River Horse Brewing Company,Amber Ale,5.50 %,0
4024,Heirloom Pumpkin Barleywine,Almanac Beer Co. .,American Barleywine,12.00 %,1944,13 Virtues Rip City Red,13 Virtues Brewing Company,Amber Ale,5.60 %,0
888,Namber Ale,Nano Brew Cleveland,American Amber / Red Ale,5.50 %,1513,BrÃ ¸ ckhouse Amber,BrÃ ¸ ckhouse &#40; Premium Beer &#41;,Amber Ale,5.40 %,0
3564,Red Rothchild,BNA Brewing Co. .,American Amber / Red Ale,5.50 %,653,Martin House The Imperial Texan,Martin House Brewing Company,American Strong Ale,9 %,0
3667,Red Baron,Check Six Brewing Company,American Amber / Red Ale,6.40 %,1484,Pinglehead Omelet,Pinglehead Brewing Co. / Brewer_s Pizza,Spice/Herb/Vegetable,9.30 %,0
1983,Cleary Red,Hereford & Hops Restaurant & Brewpub,American Amber / Red Ale,-,1880,Fox River Wisconsin Red Ale,Fox River Brewing Co. .,Amber Ale,-,0
921,AmericAle,South County Brewing Co. .,American Amber / Red Ale,6.30 %,767,Court Avenue Dorchester Amber,Court Avenue Brewing Company,Amber Ale,-,0
2423,Bourbon Barrel Ro Shampo Imperial Red Ale,Figure 8 Brewing,American Amber / Red Ale,-,1258,Karl Strauss Amber - Pumpkin Pie,Karl Strauss Brewing Company,Spice/Herb/Vegetable,4.50 %,0
2827,Red Rice,Half Moon Bay Brewing Company,American Amber / Red Ale,6.53 %,345,Boneshaker Rusty Chain English Barleywine,Boneshaker Community Brewery,Barley Wine,9.50 %,0
4282,Mea Magna Culpa,Les Brasseurs Du Temps,American Barleywine,9.00 %,2957,Hood Canal Agate Pass Amber,Hood Canal Brewery,Amber Ale,-,0
1352,Ready To Fly,Shades Of Pale Brewing Company,American Amber / Red Ale,4.00 %,30,Beryl_s Firecatcher,Beryl_s Beer Company,Foreign Stout,7.50 %,0
394,Preacher 's Daughter Amber Ale,Fountain Square Brewing Co. .,American Amber / Red Ale,6.00 %,257,Broken Bow Red Ale,Broken Bow Brewery,Irish Ale,5.50 %,0
321,Liquid Mistress,Siren Craft Brew,American Amber / Red Ale,5.80 %,2701,Arizona Wilderness Red Rock Secret,Arizona Wilderness Brewing Company,Amber Ale,6 %,0
1268,Coastal Edge Copper,Assawoman Bay Brewing Company,American Amber / Red Ale,6.04 %,2099,Right Eye CU29,Right Eye Brewing Company,Amber Ale,5.50 %,0
2399,Barrel Aged Riverside Red,Intuition Ale Works,American Amber / Red Ale,7.80 %,1243,Ale Industries Rye_d Piper,Ale Industries,Specialty Grain,5.75 %,0
3681,FizzGig,Rockbottom Bar & Brewery,American Amber / Red Ale,7.50 %,765,Big Axe Red Ale,Big Axe Brewing Company,Amber Ale,6.80 %,0
1328,Mornington Peninsula Imperial Amber,Mornington Peninsula Brewery,American Amber / Red Ale,7.50 %,772,Infusion Butcher Block Brown Ale,Infusion Brewing Company,Brown Ale,-,0
3194,Uncle Bucks Autumn Amber,Uncle Buck 's Brewery & Steakhouse,American Amber / Red Ale,-,561,Lakemaid Frosty Winter Lager,Stevens Point Brewery,Premium Lager,-,0
2009,Blind Pig A \ x/esome Red Ale,The Blind Pig Brewery,American Amber / Red Ale,5.00 %,475,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,0
1863,Sleeping Lion Red Ale,Council Rock Brewery,American Amber / Red Ale,5.00 %,2880,Fort Pitt Ale,City Brewery &#40; Melanie Brewing Co &#41;,Brown Ale,-,0
3500,Riot Act,Urban Legend Brewing Company,American Amber / Red Ale,5.00 %,1788,La Cumbre Tank 10 Red,La Cumbre Brewing Company,Amber Ale,6.80 %,0
1767,7 Barrios Amber,CervecerÃa Lesnez,American Amber / Red Ale,5.10 %,2887,Howe Sound Mettleman Copper Ale,Howe Sound Brewing,Amber Ale,5.50 %,0
3755,I2RA,Atomic Ale Brewpub And Eatery,American Amber / Red Ale,-,1639,Adkin Alfred_s Elswith Ale,Adkin,Bitter,4 %,0
2624,Shinjiko Sekiyo Amber Ale,Shimane Beer K.K.,American Amber / Red Ale,5.50 %,1939,_ atec Xantho &#40; Dark Lager &#41;,_ ateckÃ 1/2 Pivovar &#40; Carlsberg &#41;,Dunkel/Tmav Ã 1/2,5.70 %,0
3485,Amarillo,Les FrÃ ¨ res Houblon Microbrasserie,American Amber / Red Ale,6.90 %,295,Tahquamenon Falls Tannin Red,Tahquamenon Falls Brewery,Amber Ale,-,0
2996,Earth Day Hemp Ale,Six Rivers Brewery,American Amber / Red Ale,5.50 %,1231,Capistrano Amber Ale,Capistrano Brewing Company,Amber Ale,5.50 %,0
60,Cinder Cone Red,Deschutes Brewery,American Amber / Red Ale,5.30 %,2550,Ruby Mountain Angel Creek Amber Ale,Ruby Mountain Brewing Company,Amber Ale,-,0
70,African Amber,Mac and Jack 's Brewery,American Amber / Red Ale,5.20 %,704,Bacchus / Burrow Bloodhound Blood Red IPA,Bacchus Brewing Company &#40; Australia &#41;,India Pale Ale &#40; IPA &#41;,6 %,0
3936,Arago Amber,7 Devils Brewing Co. .,American Amber / Red Ale,5.50 %,105,Bristol Skull & Bones Flanders Red,Bristol Brewing Company,Sour Red/Brown,-,0
3142,Anabatic Amber,Katabatic Brewing Company,American Amber / Red Ale,6.10 %,1989,5 Rabbit 5 Grass with Valencia Oranges Orange Blossom and Chamomile,5 Rabbit Cerveceria,American Pale Ale,6.70 %,0
2482,Inspector Stonewall 's Amber Ale,Trickster 's Brewing Company,American Amber / Red Ale,5.60 %,657,Outlaw The Gambler American Amber,Outlaw Brewing Company &#40; MT &#41;,Amber Ale,5.60 %,0
709,Old Morgantown Amber,Morgantown Brewing Company,American Amber / Red Ale,5.80 %,516,Naples Beach Rojo Especial,Naples Beach Brewery,Bitter,5.20 %,0
113,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,2407,Carolina Old 392 Barleywine,Carolina Brewing Company,Barley Wine,9.30 %,0
855,County Street Amber,Original Gravity Brewing Company,American Amber / Red Ale,5.50 %,2288,Central Waters Brewer_s Reserve Bourbon Barrel Barleywine,Central Waters Brewing Co. .,Barley Wine,11.20 %,0
3179,Rojo Grande,Picacho Peak Brewing Company,American Amber / Red Ale,4.80 %,883,Fresh Chios Beer / FrÃ © skia MpÃ 1/2 ra ChÃou &#40; House Ale &#41;,Chios Microbrewery,Golden Ale/Blond Ale,4.90 %,0
2136,Wallonia,Ferme Brasserie Schoune,American Amber / Red Ale,5.00 %,2386,_ l_Abri de la TempÃªte Corps Mort,_ l_Abri de la TempÃªte,Barley Wine,9 %,0
2111,Nugget Amber,Bare Hands Brewery,American Amber / Red Ale,6.30 %,1695,Bindlestick Monkey Wagon Amber Ale,Bindlestick Brewing Company,Amber Ale,5.30 %,0
905,Red Roadster,Silver Peak Restaurant & Brewery,American Amber / Red Ale,8.00 %,1870,Lake Placid Barkeater Amber Ale,Lake Placid Pub & Brewery,Amber Ale,5 %,0
1850,Royal Amber Ale,Hops Grillhouse & Brewery,American Amber / Red Ale,4.50 %,652,Acoustic Rock Steady Red Cider,Acoustic Brewing Company,Cider,6 %,0
456,Rustic Horizon Red Ale,Twisted Manzanita Ales,American Amber / Red Ale,6.80 %,2514,Devils Backbone Tectonic Barleywine,Devils Backbone Brewing Company,Barley Wine,11 %,0
4171,Mary,Brouwerij De Prael,American Barleywine,9.60 %,2185,Carson_s Amber Red,Carson_s Restaurant and Brewery,Amber Ale,-,0
33,YuleSmith ( Winter ),AleSmith Brewing Company,American Amber / Red Ale,8.50 %,1043,1933 Dry Hopped Irish Red,1933 Brewing Company,Irish Ale,6 %,0
2505,Red Wing,Birdland Brewing Company,American Amber / Red Ale,6.00 %,2047,Backcountry Switchback Amber,Backcountry Brewery,Amber Ale,5.40 %,0
2370,Red Dragon,New Holland Brewing Company,American Amber / Red Ale,5.20 %,2886,HammerHeart Barrel Aged Serpensblod,HammerHeart Brewing Company,Amber Ale,8.34 %,0
2985,La Soyeuse AmbrÃ © e,Ferme Brasserie La Soyeuse,American Amber / Red Ale,6.00 %,919,Pinglehead / Brewer_s Pizza Artisans Blobde Ale,Pinglehead Brewing Co. / Brewer_s Pizza,Golden Ale/Blond Ale,6.80 %,0
2727,Amber Earl,Fetch Brewing Company,American Amber / Red Ale,-,2333,Redhook Treblehook,Redhook Brewery,Barley Wine,10.10 %,0
3146,Monkey Wagon Amber,Bindlestick Brewing Co. .,American Amber / Red Ale,-,1511,BullDog Rotty_s Red Ale,BullDog Brewery,Amber Ale,5.50 %,0
3899,Pacific Red Ale,Brasserie de la VallÃ © e du Giffre,American Amber / Red Ale,5.50 %,1697,Carbondale Beer Works Bonedog Amber,Carbondale Beer Works,Amber Ale,5.50 %,0
224,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.60 %,2563,Rivertowne Patrick_s Poison,Rivertowne Pour House,American Strong Ale,9.30 %,0
3408,King Coco,Four Sons Brewing,American Amber / Red Ale,10.00 %,1501,BullDog American Bully Amber,BullDog Brewery,Amber Ale,5 %,0
4131,Trainwreck Organic Barleywine Style Ale,Butte Creek Brewing Company,American Barleywine,10.60 %,2300,18th Street Deal With the Devil Pale Ale,18th Street Brewery,Imperial IPA,8.50 %,0
4012,Old Horizontal,Victory Brewing Company,American Barleywine,11.00 %,860,Asheville / Thirsty Monk Sister Bad Habit,Asheville Brewing Company,Amber Ale,5.60 %,0
3848,Ambah Ale,Border Brew Supply,American Amber / Red Ale,5.90 %,495,Bethlehem Brew Works West End Red,Fegley_s Brew Works,Amber Ale,5.70 %,0
3906,Sandalwood Ale,Chorlton Brewing Company,American Amber / Red Ale,6.70 %,453,Vancouver Island Mile High Mountain Ale,Vancouver Island Brewery,Amber Ale,5.90 %,0
669,Cloudy Amber Ale,Okanagan Spring Brewery,American Amber / Red Ale,5.00 %,960,Brown Ales Full Metal Jacket,Ashover,American Pale Ale,5.50 %,0
2140,Lost In Time Amber Ale,Swamp Head Brewery,American Amber / Red Ale,5.80 %,1399,Kassiks Otter Creek Amber,Kassiks Brewery,Amber Ale,6.20 %,0
3085,I Dream Of Amber,LTD Brewing Co. .,American Amber / Red Ale,5.20 %,1116,Cellarmaker Schwag,Cellarmaker Brewing Company,Brown Ale,5 %,0
522,Imperial Red,Hop Valley Brewing Company,American Amber / Red Ale,8.00 %,2169,Mt. Carmel Snapshot Series : Hopton Golden Ale,Mt. Carmel Brewing Company,Golden Ale/Blond Ale,5.80 %,0
2502,Rudder 's Red,Rudder 's Seafood Restaurant & Brew Pub,American Amber / Red Ale,-,925,Crown City Arroyo Amber Ale,Crown City Brewery,Amber Ale,-,0
2887,Rock House Amber,Satulah Mountain Brewing Company,American Amber / Red Ale,5.00 %,1871,Naked City Scarlet Street,Naked City Brewing,American Strong Ale,-,0
1175,Red-Ioactive,Bottle Logic Brewing,American Amber / Red Ale,6.00 %,2932,Lumina Raccoon Red Ale,Lumina Brewing Company,Amber Ale,-,0
3006,Chalk Rock Amber,Sunriver Brewing Company,American Amber / Red Ale,5.60 %,1415,COAST Carnie Fire,COAST Brewing Company,Amber Ale,5 %,0
1790,Red Headed Haley,Eventide Brewing,American Amber / Red Ale,5.30 %,955,Baerlic Primeval Brown Ale,Baerlic Brewing,Brown Ale,6.80 %,0
154,Sierra Blanca Roswell Alien Amber,Sierra Blanca Brewing Company ( Rio Grande ),American Amber / Red Ale,5.20 %,2375,Bills Foggy Notion Weissbier,Bills Tavern and Brewhouse,German Hefeweizen,-,0
4186,Green Card Barleywine,CucapÃ ¡ Brewing Company,American Barleywine,10.00 %,2618,Legacy Bourbon Barrel Hedonism Red,Legacy Brewing,American Strong Ale,7.10 %,0
2183,Great Outdoors VA Ale,Brothers Craft Brewing,American Amber / Red Ale,5.40 %,1235,Tesco Ruby Ale,Tesco,Bitter,4.10 %,0
4299,Bishops Gate,Strange Land Brewery,American Barleywine,10.90 %,1659,BarNone Red Eye IPA,BarNone Brewing,India Pale Ale &#40; IPA &#41;,-,0
1764,Velduil,Brouwerij het Uiltje,American Amber / Red Ale,4.50 %,2601,Liberty Street Red Glare Amber Ale,Liberty Street Brewing Company,Amber Ale,5.20 %,0
3284,Barrel Aged Table Rock Red,White River Brewing Company,American Amber / Red Ale,6.00 %,1362,E. J. Phair Johnny Bravo,E. J. Phair Brewing Company,India Pale Ale &#40; IPA &#41;,6 %,0
2088,Arroyo Amber Ale,Three Rivers Eatery And Brewhouse,American Amber / Red Ale,5.00 %,723,MashCraft Ancho Annie,MashCraft Brewing,Spice/Herb/Vegetable,5.60 %,0
4325,Mysterium Verum The Kraken,Real Ale Brewing Company,American Barleywine,11.00 %,2901,Original Gravity County Street Amber,Original Gravity Brewing Company,Amber Ale,5.50 %,0
4291,Ye Olde Twinkler Barleywine,Firefly Hollow Brewing Co. .,American Barleywine,9.00 %,2859,Redondo Beach Dubbel Dark IPA,Redondo Beach Brewing Company,Black IPA,-,0
3704,Holiday Market Ale,Backroom Brewery,American Amber / Red Ale,-,2402,Grand Lake Barrel Aged Super Chicken Barley Wine,Grand Lake Brewing Co,Barley Wine,11 %,0
1286,Absolutely Amber,Bagby Beer Company,American Amber / Red Ale,6.00 %,668,BTU Rusty_s Red Ale,BTU Brewing,American Pale Ale,5.80 %,0
2388,Rebel Red Ale,The Brewhouse,American Amber / Red Ale,5.70 %,1138,Ore Dock Good Grist,Ore Dock Brewing Company,Specialty Grain,5.80 %,0
2733,Flanders Red Ale,Boston Beer Company ( Samuel Adams ),American Amber / Red Ale,-,2579,Brewery Terra Firma Manitou Amber Ale,Brewery Terra Firma,Amber Ale,5.70 %,0
3168,The Fez,Barley Mow Brewing Company,American Amber / Red Ale,5.30 %,2905,18th Street / Central State Garce SalÃ © e,18th Street Brewery,Saison,6.90 %,0
3662,Angry Leprechaun,The Sturgis Haus Brewpub & Espresso Bar,American Amber / Red Ale,5.00 %,1727,George Killian_s Irish Red,Coors Brewing Company &#40; MillerCoors &#41;,Amber Lager/Vienna,4.90 %,0
293,Arbor Brewing Red Snapper Special Bitter,Arbor Brewing Company,American Amber / Red Ale,4.90 %,2273,Alvinne Red King,Picobrouwerij Alvinne,Sour/Wild Ale,6 %,0
2707,Marks And Spencer Cornish Red Ale,St. Austell Brewery,American Amber / Red Ale,4.90 %,617,Southport Fairfield Red,Southport Brewing Company,Amber Ale,-,0
610,Ora,Lucid Brewing,American Amber / Red Ale,6.50 %,2724,Silver Gulch Copper Creek Amber Ale,Silver Gulch Brewing & Bottling Co. .,Amber Ale,5 %,0
2194,Four Horsemen,Four Sons Brewing,American Amber / Red Ale,-,1031,Arbor Red Dawn American Amber,Arbor Brewing Company Pub & Eatery,Amber Ale,5.30 %,0
2220,Red Devil,The Blue Elephant Craft Brew House,American Amber / Red Ale,5.10 %,1325,Berthoud Switch Track Amber,Berthoud Brewing Company,Amber Ale,5.50 %,0
3851,Anvil Amber,Three Creeks Brewing Co. .,American Amber / Red Ale,5.00 %,1685,Liquid Riot Jewel Box Bronze,Liquid Riot Bottling Company,Amber Ale,6 %,0
2499,Amber Borealis,49th State Brewing Company,American Amber / Red Ale,5.30 %,2104,Benelux Semuta,Benelux Brasserie Artisanale,Saison,6 %,0
1430,Big Life Amber,Sleeman Breweries Ltd. .,American Amber / Red Ale,5.00 %,1511,BullDog Rotty_s Red Ale,BullDog Brewery,Amber Ale,5.50 %,0
3218,Fresh Hop Amber,Georgetown Brewing Company,American Amber / Red Ale,-,2143,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,-,0
2036,BiÃ ¨ re AmbrÃ © e,Brasserie Uberach,American Amber / Red Ale,4.80 %,1874,Hoppy Stony Face Red Ale,Hoppy Brewing Company,Amber Ale,5.60 %,0
3790,No. 22 Honey Red Ale,The Freehouse,American Amber / Red Ale,5.50 %,2938,Buoy NW Red Ale,Buoy Beer Company,Amber Ale,6.70 %,0
