tableA_id,tableA_title,tableA_starring,tableA_writer,tableA_editor,tableB_id,tableB_title,tableB_actor name,tableB_director name,tableB_year,tableB_genre,label
19894,The Good Thief,Nicholas King Nolte,Neil Jordan based on screenplay by Auguste Le Breton & Jean-Pierre Melville,,22402,Clara es el precio (1975),"de Lirio, Carmen","Aranda, Vicente",1975,Comedy,0
5666,The Round-Up,Wallace Fitzgerald Beery,Tom Forman,,11960,"Adventure of Sherlock Holmes' Smarter Brother, The (1975)","Benda, Kenneth","Wilder, Gene",1975,Comedy,0
27249,,John F. Kennedy,Robert Drew,,7698,"Accused, The (1988)","Walden, Scott","Kaplan, Jonathan (I)",1988,Thriller,0
10248,,Koji Tsuruta,K?go Noda,,19455,Ochazuke no aji (1952),"Mochizuki, Y?ko","Ozu, Yasujiro",1952,Drama,1
22478,999-9999,Punlapa Taylor,Peter Manus Nuttiya Sirakornwilai,,17219,Frog Dreaming (1986),"Christie, Laura","Trenchard-Smith, Brian",1986,Drama,0
26092,Academy Award for Best Picture,Virginia Clara Jones,Robert E. Sherwood,,10319,"Best Years of Our Lives, The (1946)","Rice, Jack","Wyler, William",1946,Romance,1
18751,Excalibur,Ilyena Vasilievna Mironov,Thomas Malory,,611,Excalibur (1981),"Flynn, Gerard Mannix","Boorman, John",1981,Fantasy,1
7761,,Kiran Rathod,,,7211,Matir moina (2002),"Reemjheem, Lameesa R.","Masud, Tareque",2002,Drama,0
24981,Winnie the Pooh and a Day For Eeyore,Paul Winchell,A. A. Milne,,19975,Winnie the Pooh and a Day for Eeyore (1983),"McWhirter, Julie","Reinert, Rick",1983,Short,1
22086,Who Framed Roger Rabbit,Mel Blanc,Jeffery Price,,1881,Who Framed Roger Rabbit (1988),"Allwine, Wayne","Zemeckis, Robert",1988,Comedy,1
24424,The Bourne Supremacy,Julia O'Hara Stiles,Robert Ludlum,,6932,"Bourne Supremacy, The (2004)","Akinshina, Oksana","Greengrass, Paul",2004,Thriller,1
8818,The Honourable Wally Norman,Greig Pickhaver,Rick Kalowski,,22507,"Honourable Wally Norman, The (2003)","Harrington, Kevin (I)","Emery, Ted",2003,Comedy,1
2225,,Jennifer Marie Morrison,David Koepp,,7392,Stir of Echoes (1999),"Cotovsky, Richard","Koepp, David",1999,Horror,1
14130,,Heinrich George,Eberhard Wolfgang M?ller,,17022,Jud S?? (1940),"Mederow, Paul","Harlan, Veit",1940,Drama,1
8634,,Wayne Allwine,Richard Cray,,4064,Mickey's Once Upon a Christmas (1999) (V),"Farmer, Bill (I)","Falkenstein, Jun",1999,Animation,1
2529,,Joe Torry,Ash Staley,,10939,Back in Business (1997),"James, Brion (I)","Mora, Philippe",1997,Adventure,1
3717,,Lara Dutta,Habib Faisal,,18493,Jhoom Barabar Jhoom (2007),"Zinta, Preity","Ali, Shaad",2007,,1
8561,,Sam Worthington,Dein Perry,,10708,Mighty Aphrodite (1995),"Blair, Pamela","Allen, Woody",1995,Comedy,0
23672,Are You Being Served?: The Movie,Frank Thornton Ball,Jeremy Lloyd,,425,Are You Being Served? (1977),"Grey, Monica","Kellett, Bob",1977,Comedy,1
5711,Wine,Roscoe Arbuckle,,,10324,Wine (1913),"Arbuckle, Roscoe 'Fatty'","Nichols, George (I)",1913,Comedy,1
1393,,Varvara Myasnikova,Dmitri Furmanov,,2766,Chapaev (1934),"Simonov, Nikolai","Vasilyev, Georgi",1934,History,1
6206,,Alda Sinha,,,18363,Neela Aakash (1965),"Mehra, Raj","Bhatia, Rajendra",1965,Drama,1
18000,Rocket Gibraltar,Patricia Davies Clarkson,Amos Poe,,29,Rocket Gibraltar (1988),"Coleman, Ren?e","Petrie, Daniel",1988,Drama,1
3227,Blue,Konishi Manami,Yuka Honcho,,4668,Requiem (1995),"Lee, Dana (I)","Sung, Elizabeth",1995,Short,0
5059,Rolling Thunder,William Devane,Heywood Gould,,3044,Rolling Thunder (1977),"Escamilla, Charles","Flynn, John (I)",1977,Drama,1
18981,Klamek ji bo Beko,"Nizamettin Ariu00E7 , Bezara Arsen",Nizamettin Ariu00E7,,12092,Klamek ji bo Beko (1992),"Rizgo, Xas?a","Ari?, Nizamettin",1992,War,1
9187,Dracula's Daughter,Gloria Holden,Garrett Fort,,5406,American Pop (1981),"Young, D.A.","Bakshi, Ralph",1981,Drama,0
13532,Jury Prize (Cannes Film Festival),Krzysztof Globisz,Krzysztof Piesiewicz,,1968,Intergalactic Thanksgiving (1979) (TV),"Lavut, Martin","Smith, Clive A.",1979,Short,0
22066,Socha Na Tha,Apoorva Jha,Imtiaz Ali,,10692,Socha Na Tha (2005),"Dubey, Lushin","Ali, Imtiaz",2005,Comedy,1
27286,,Adele Mara,Harry Brown (writer),,12143,"Signora di tutti, La (1934)","Pavlova, Tatyana (I)","Oph?ls, Max",1934,Drama,0
12368,,Conrad Nagel,J.M. Barrie,,18601,Quality Street (1927),"Seddon, Margaret","Franklin, Sidney (I)",1927,Comedy,1
5998,Intermezzo,Frans Gu00F6sta Viktor Ekman,Gustaf Molander,,7487,Intermezzo (1936/I),"Helleberg, Folke","Molander, Gustaf",1936,Drama,1
5994,Alexander the Great,Michael Hordern,Robert Rossen,,15381,Alexander the Great (1956),"Tichy, G?rard","Rossen, Robert",1956,Drama,1
10881,Salangai Oli,Kamal Haasan,Jandhyala,,22443,Sagara Sangamam (1983),"Ranga Rao, Sakshi","Vishwanath, K.",1983,Drama,1
16734,,Carman Scarpitta,Federico Fellini,,12988,"Casanova di Federico Fellini, Il (1976)","Zerbinati, Luigi","Fellini, Federico",1976,Drama,1
14650,,Fumiko Orikasa,Haruya Yamazaki,,20795,Kinnikuman: Shichinin no seigi ch?jin VS uch?nobushi (1984) (TV),"Kamiya, Akira",,1984,Animation,1
9651,,Germ?n Vald?s,Juan Garc?a (actor),,11381,"Casa del terror, La (1960)","Estrada, Rafael (I)","Mart?nez Solares, Gilberto",1960,Horror,1
9139,,Zeenat Aman,K A Narayan,,16241,Chori Mera Kaam (1975),Maruti (I),Brij,1975,Comedy,1
25509,,Carey Lowell,Scott Fields  Marty Ross   John Stockwell,,23128,Assassins (1995),"Williams, Nerissa E.","Donner, Richard",1995,Thriller,0
27549,Na Tum Jaano Na Hum,Esha Deol,Arjun Sablok,,14855,Na Tum Jaano Na Hum (2002),"Cooper, Azaan","Sablok, Arjun",2002,Comedy,1
11698,,Andile Kosi,,,18121,Evil Behind You (2006),"Perez Jr., Juan Luis","Kerr, Jason",2006,Horror,0
21273,Der weiu00DFe Rausch,Helene Berta Amalie Riefenstahl,Arnold Fanck,,154,"Wei?e Rausch - Neue Wunder des Schneeschuhs, Der (1931)","Riefenstahl, Leni","Fanck, Arnold",1931,,1
24811,,Rebekah Kochan,Peter Mervis,,17280,When a Killer Calls (2006),"Anglin, Chriss","Mervis, Peter",2006,Horror,1
9609,,Mark Herrier,Bob Clark,,3727,Porky's (1982),"Wohrman, Bill","Clark, Bob (III)",1982,Comedy,1
14306,Historias de la radio,Francisco Rabal,Josu00E9 Luis Su00E1enz de Heredia,,4208,Jim in Bold (2003),"McGuire, Ted","Holsten, Glenn",2003,Documentary,0
23328,,Akira Emoto,Akiko Itoyama,,17039,Yawarakai seikatsu (2005),"Taguchi, Tomorowo","Hiroki, Ryuichi",2005,Drama,1
3034,Tremors,Fred Ward,S.S. Wilson,,13300,Tremors (1990),"Wagner, Michael Dan","Underwood, Ron",1990,Horror,1
5766,,Chris Boni,Jan Blokker,,3971,Man in the Sand (1999) (V),"Merchant, Natalie","Hopkins, Kim (II)",1999,Music,0
24410,Big Jake,Patrick Wayne,Rita M. Fink,,9929,Big Jake (1971),"Carey Jr., Harry","Wayne, John (I)",1971,Western,1
19460,,William Hurt,Edward Riche,,7876,Rare Birds (2001),"Critch, Mark","Gunnarsson, Sturla",2001,Comedy,1
9656,The Helix...Loaded,Brigett Fink,A. Raven Cruz,,348,"Helix... Loaded, The (2005)","Aniano, Anthony","Cruz, A. Raven",2005,Comedy,1
17056,,Alisa Frejndlikh,Yuri Entin,,7441,Goluboy shchenok (1976),"Mironov, Andrei (I)","Gamburg, Yefim",1976,Musical,1
3406,The Telltale Knife,Thomas Hezikiah Mix,Thomas Hezikiah Mix,,17807,"Telltale Knife, The (1914)","Loverin, Harry","Mix, Tom",1914,Short,1
23418,,Riki Takeuchi,"Buronson, Toshiyuki Morioka",,20064,Doberuman deka (1977),"Matsuda, Eiko","Fukasaku, Kinji",1977,Crime,1
8700,Serial (film),Dorothy Arnold (Olson),Willis Cooper,,10575,"Phantom Creeps, The (1939)","Sharpe, David (I)","Beebe, Ford",1939,Sci-Fi,1
8268,What the  $ ! Do We Know!?,Barry Foster Newman,Matthew Hoffman,,27,Edison Kinetoscopic Record of a Sneeze (1894),"Ott, Fred","Dickson, William K.L.",1894,Short,0
9883,Enigma,Saffron Dominique Burrows,Tom Stoppard,,11238,Enigma (2001),"Murray, Martin Glyn","Apted, Michael",2001,Romance,1
12690,,,K?ji Suzuki,,19225,Ringu 0: B?sudei (2000),Masako,"Tsuruta, Norio",2000,Horror,1
17224,,Jesse Vint,Jim Wynorski,,14081,Forbidden World (1982),"Olivera, Don","Holzman, Allan",1982,Horror,1
1923,Puppet Master II,Elizabeth Maclellan,Charles Band David Pabian David Schmoeller,,5373,King of the Zombies (1941),"Archer, John (I)","Yarbrough, Jean",1941,Horror,0
8587,Persona,Berit Elisabeth Andersson,Ernst Ingmar Bergman,,6961,Persona (1966),"Lindstr?m, J?rgen","Bergman, Ingmar",1966,Drama,1
20688,The Freckled Fish,Oliver Hardy,,,350,"Freckled Fish, The (1919)","Hung, Chai","Le Brandt, Joseph",1919,Short,1
18355,The Man from Colorado,William Edgar Buchanan,Ben Maddow,,3976,"Man from Colorado, The (1948)","Hyke, Ray","Levin, Henry",1948,Western,1
16719,,Arch Hall Jr.,James Landis,,19774,"Sadist, The (1963)","Hovey, Helen","Landis, James",1963,Horror,1
12655,,Peter Strauss,William Blake Crump,,22379,Peter Gunn (1989) (TV),"Hamilton, James N.","Edwards, Blake",1989,Drama,1
10035,.,John Marwood Cleese,Andrew Adamson,,12488,Shrek 2 (2004),"Cleese, John","Vernon, Conrad (I)",2004,Comedy,1
6806,They Call Me Bruce?,Margot Louise Hemingway,Tim Clawson,,4455,They Call Me Bruce? (1982),"Sandeen, Darrell","Hong, Elliott",1982,Comedy,1
5460,,Bharath,Gandhi Krishna,,19092,Poltergay (2006),"Cornillac, Clovis","Lavaine, Eric",2006,Comedy,0
3245,,Taran Killam,Amy Engelberg,,14060,Stuck in the Suburbs (2004) (TV),"Verges, Mark","Holland, Savage Steve",2004,Comedy,1
23449,Waking Ned,Ian Bannen,Kirk Jones,,3861,Waking Ned (1998),"Dromey, Eileen","Jones, Kirk (III)",1998,Comedy,1
20659,Machuca,Ariel Mateluna,Eliseo Altunaga,,7062,Machuca (2004),"Trejo, Alejandro","Wood, Andr?s",2004,Biography,1
24333,Compromising Positions,"Joseph Anthony Mantegna, Jr.",Susan Isaacs (also novel),,21439,Compromising Positions (1985),"Cunningham, Chris (III)","Perry, Frank (I)",1985,Comedy,1
3098,Schatten - Eine nu00E4chtliche Halluzination,Max G?lstorff,,,8968,Schatten - Eine n?chtliche Halluzination (1923),"Rasp, Fritz","Robison, Arthur",1923,Drama,1
9648,"Love, Laughs and Lather",Harold Lloyd,H.M. Walker,,14877,"Love, Laughs and Lather (1917)","Brooks, Sammy",,1917,Short,1
20778,The Patsy,Marion Cecelia Dourvas,Agnes Christine Johnston,,7266,"Patsy, The (1928)","Winton, Jane","Vidor, King",1928,Comedy,1
15588,Camp Rock,Kevin Jonas,Paul Brown,,8777,Six Days (2002) (V),"Chang, Chen","Wong, Kar Wai",2002,Short,0
2417,,Jon Carlo Alvarez,Brian Ging,,8802,American Yearbook (2004),"Nygard, Eric","Ging, Brian",2004,Thriller,1
23309,Eddie,Caryn Elaine Johnson,David Loucka,,5323,Eddie (1996),"Rodman, Dennis","Rash, Steve",1996,Comedy,1
7476,,"Harry Connick, Jr.",Brad Bird,,9051,Ghayal (1990),"Puri, Om","Santoshi, Rajkumar",1990,Comedy,0
1945,"The Good, the Bad and the Ugly",Lee Van Cleef,Age & Scarpelli,,7712,"Buono, il brutto, il cattivo, Il (1966)","Stefanelli, Benito","Leone, Sergio (I)",1966,Western,1
24376,Briana Loves Jenna,Jenna Marie Massoli,Helmut Newton,,21725,"Great Waltz, The (1938)","Vanderveer, Ellinor","von Sternberg, Josef",1938,Music,0
6136,Link,Kevin Reardon Lloyd,Lee David Zlotoff,,22609,"Picture of Dorian Gray, The (1945)","Seaton, Scott (I)","Lewin, Albert (I)",1945,Fantasy,0
9594,Toki o kakeru shu00F4jo,Tomoyo Harada,Yasutaka Tsutsui,,6663,"Petite J?rusalem, La (2005)","Teskouk, Salah","Albou, Karin",2005,Drama,0
18313,Rock School,Paul Green (musician),,,12186,Kya Kehna (2000),"Zinta, Preity","Shah, Kundan",2000,Drama,0
2818,Blood Money,Henry DeWitt Carey II,Henry DeWitt Carey II,,22077,Blood Money (1917),"Pegg, Vester","Kelsey, Fred",1917,Short,1
16166,,Alicia Christian Foster,Mary Rodgers,,3730,Freaky Friday (1976),"Booke, Sorrell","Nelson, Gary (I)",1976,Comedy,1
22930,Easy Street,Edna Purviance,Vincent Bryan,,11069,Easy Street (1917),"Austin, Albert","Chaplin, Charles",1917,Short,1
18351,Storytelling,Julie Hagerty,Todd Solondz,,22310,Storytelling (2001),"Levine, Ilana","Solondz, Todd",2001,Comedy,1
574,,Victor Webster,John Benjamin Martin   Peter Atkins (characters),,10371,Shin seiki Evangelion Gekij?-ban: Shito shinsei (1997),"Paregien, Ryan","Tsurumaki, Kazuya",1997,Sci-Fi,0
18303,,Kane McNay,Vincent Giarrusso,,14904,Mallboy (2001),"Tucker, Brett","Giarrusso, Vincent",2001,Drama,1
23052,,Peter Price,Alan Bleasdale,,1029,"Colditz Story, The (1955)","Swanwick, Peter","Hamilton, Guy (I)",1955,Drama,0
23177,,,Henry Herrera,,20827,100 a?os de perd?n (1998),"Y?pez, Dugomir","Saderman, Alejandro",1998,Comedy,1
20394,,James Norval Harald Justice,Mary Hayley Bell,,13562,Scott of the Antarctic (1948),"Kydd, Sam","Frend, Charles",1948,Drama,1
12033,Woh Lamhe,Kangna Ranaut,Mahesh Bhatt,,16349,Brewster's Millions (1914),"Abeles, Edward","Apfel, Oscar",1914,Comedy,0
25198,Hatachi no binetsu,Masashi End?,Ryosuke Hashiguchi,,15573,Hatachi no binetsu (1993),"Ishida, Tar?","Hashiguchi, Ryosuke",1993,Drama,1
13722,,Peeya Rai Chowdhary,"Atul Sabharwal, Rajnish Thakur, Abbas Tyrewala",,6151,Darna Mana Hai (2003),"Koppikar, Isha","Raman, Prawal",2003,Horror,1
8206,,Elliott Goldstein,George Axelrod,,19597,"Lady Vanishes, The (1979)","Harding, Jacki (I)","Page, Anthony (I)",1979,Comedy,1
19043,The Russian Dolls,Romain Duris,Cu00E9dric Klapisch,,18038,Karm (1977),"Thakur, Dinesh","Chopra, B.R.",1977,Drama,0
20206,,Mieczyslaw Pawlikowski,Jerzy Hoffman,,10017,Pan Wolodyjowski (1969),"Kosudarski, Tadeusz","Hoffman, Jerzy",1969,,1
22314,The January Man,Mary Elizabeth Mastrantonio,John Patrick Shanley,,14066,January Man (1989),"Christian, William (I)","O'Connor, Pat (I)",1989,Comedy,1
11995,,Kausalya (actress),Vasanth,,8481,Janice Meredith (1924),"Raleigh, Joe","Hopper, E. Mason",1924,Comedy,0
5521,The Librarian: Quest for the Spear,Bob Newhart,David Titcher,,14058,"Librarian: Quest for the Spear, The (2004) (TV)","Dukakis, Olympia","Winther, Peter",2004,Comedy,1
23770,Spaced Invaders,Royal Dano,Patrick Read Johnson Scott Lawrence Alexander,,12553,Spaced Invaders (1990),"Minault, Kent","Johnson, Patrick Read",1990,Comedy,1
25365,,William Clark Gable,Tom Buckingham,,1501,"Painted Desert, The (1931)","Gable, Clark","Higgin, Howard",1931,Western,1
2671,Hamlet,Kyle MacLachlan,Michael Almereyda,,10667,Hamlet (2000),"Nelson, Tim Blake","Almereyda, Michael",2000,Drama,1
25605,Dracula,Giancarlo Giannini,Roger Young,,2873,While You Were Sleeping (1995),"Pickren, Richard","Turteltaub, Jon",1995,Comedy,0
26353,,Marlon Wayans Shawn Wayans,Shawn T. Wayans,,5385,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"Scott, Leonette","Barclay, Paris",1996,Comedy,1
16437,,Ashutosh Gowariker,Ketan Mehta,,18228,Viva Max! (1969),"Tucker, Glenn","Paris, Jerry",1969,Comedy,0
4209,An Unmarried Woman,Jill Clayburgh,Paul Mazursky,,4161,"Unmarried Woman, An (1978)","Stravinsky, John","Mazursky, Paul",1978,Comedy,1
20026,Penthouse,Warner Leroy Baxter,Frances Goodrich,,1000,Penthouse (1933),"Butterworth, Charles","Van Dyke, W.S.",1933,Crime,1
9695,Love on a Diet,u5289u798Fu69AE),Yau Nai Hoi,,648,Sau san naam neui (2001),"Higuchi, Asuka","Wai, Ka-Fai",2001,Comedy,1
13134,,Cecilia Su?rez,Antonio Serrano,,9782,"Sexo, pudor y l?grimas (1999)","Galv?n, Miguel (I)","Serrano, Antonio (I)",1999,Comedy,1
6738,The River,,Pare Lorentz,,9652,"River, The (1938)","Chalmers, Thomas","Lorentz, Pare",1938,Short,1
10402,,Raghuvir Yadav,Owais Husain,,1443,Cutthroat Island (1995),"Shaw, Stan (I)","Harlin, Renny",1995,Romance,0
8282,,Peter Henry Fonda,Charles B. Griffith,,3893,"Wild Angels, The (1966)","Pollard, Michael J.","Corman, Roger",1966,Drama,1
14737,Interdevochka,Ingeborga Dapkunayte,,,13528,Interdevochka (1989),"Dapkunaite, Ingeborga","Todorovsky, Pyotr",1989,Drama,1
8997,Save the Ship,Arthur Stanley Jefferson,,,18515,Beautiful Bismark (1913),"Garwood, William",,1913,Short,0
9938,Limbo,Mary Elizabeth Mastrantonio,John Sayles,,11426,Good Neighbor Sam (1964),"Cos, Vicki","Swift, David (II)",1964,Comedy,0
2271,Les Diaboliques,Vu00E9ra Gibson-Amado,Pierre Boileau,,13273,"Diaboliques, Les (1955)","Humbert, Henri (II)","Clouzot, Henri-Georges",1955,Horror,1
13894,A Good Business Deal,Joseph Galbraith,,,19401,Stop! Luke! Listen! (1917),"Roth, Sandy","Roach, Hal",1917,Short,0
7483,Airheads,Adam Richard Sandler,Rich Wilkes,,2780,Starship Dave (2008),"Murphy, Eddie (I)","Segal, Peter",2008,Sci-Fi,0
14106,,Leon Errol,Holman Day,,9637,Clothes Make the Pirate (1925),"Law, Walter","Tourneur, Maurice",1925,Adventure,1
24222,The Nude Bomb,Ibsen Dana Elcar,Arne Sultan,,12780,"Nude Bomb, The (1980)","Gideon, Bond","Donner, Clive",1980,Comedy,1
19649,Overland Red,Henry DeWitt Carey II,Lynn Reynolds,,16847,Overland Red (1920),"Foster, J. Morris","Reynolds, Lynn (I)",1920,Western,1
4127,Author! Author!,Alfredo James Pacino,Israel Horovitz,,14232,Author! Author! (1982),"Pacino, Al","Hiller, Arthur",1982,Comedy,1
17581,Blood Diner,LaNette LaFrance,Michael Sonye,,4382,Blood Diner (1987),"Burks, Rick","Kong, Jackie",1987,Horror,1
1328,The Saxon Charm,Edythe Marrenner,Claude Binyon,,13570,"Saxon Charm, The (1948)","Nurney, Fred","Binyon, Claude",1948,Drama,1
2809,,Eros Pagni,Dario Argento,,18902,Watermarks (2004),"Susz, Elisheva","Zilberman, Yaron",2004,History,0
21917,,"Jennifer Jason Leigh, Stephen Lang",Desmond Nakano,,13100,Last Exit to Brooklyn (1989),"Rector, Jerry (I)","Edel, Uli",1989,Drama,1
11281,,Reinhold Messner,Werner Stipetiu0107,,9851,Signs (2002),"Breslin, Abigail","Shyamalan, M. Night",2002,Drama,0
24698,Fatty's Wine Party,Roscoe Arbuckle,,,17112,Fatty's Wine Party (1914),"Dillon, Edward","Arbuckle, Roscoe 'Fatty'",1914,Short,1
8868,Colors,Maria Conchita Alonso,Richard Di Lello Michael Schiffer,,6405,Colors (1988),"Oriel, Ray","Hopper, Dennis",1988,Thriller,1
6786,,Ben Oxenbould,Bob Ellis,,1742,Fatty Finn (1980),"Wilson, Frank (II)","Murphy, Maurice (II)",1980,Comedy,1
22528,Sugarfoot,Raymond Hart Massey,Clarence Budington Kelland,,16357,Sugarfoot (1951),"Hearn, Edward","Marin, Edwin L.",1951,Romance,1
11158,Wrong Is Right,Thomas Sean Connery,Charles McCarry,,2024,Wrong Is Right (1982),"Condra, Julie","Brooks, Richard (I)",1982,Thriller,1
2473,Kruistocht in spijkerbroek,,Jean-Claude Van Rijckeghem,,22100,Kruistocht in spijkerbroek (2006),"De'Ath, Alexander","Sombogaart, Ben",2006,War,1
4835,"Pizza, Beer & Smokes",H?ctor Anglada,Israel Adriu00E1n Caetano Bruno Stagnaro,,5780,"Pizza, birra, faso (1998)","Di Biase, Daniel","Stagnaro, Bruno",1998,Drama,1
27211,,Nance O'Neil,Brock Williams,,12384,Something Always Happens (1934),"O'Neil, Nancy","Powell, Michael (I)",1934,Comedy,1
18551,The Small Back Room,John Edward Hawkins,Michael Powell Emeric Pressburger,,1872,"Small Back Room, The (1949)","Hawkins, Jack","Powell, Michael (I)",1949,Drama,1
21806,Une femme douce,Dominique Marie-Franu00E7oise Renu00E9e Varaigne,Fyodor Dostoevsky,,9960,"Exonerated, The (2005) (TV)","Jensen, Erik (II)","Balaban, Bob",2005,Drama,0
11538,,Manorama,Chella (director),,16605,Cutaway (2000) (TV),"Dempsey, Trish","Manos, Guy",2000,Action,0
15361,,James Stewart (actor),Art Cohn,,15457,Carbine Williams (1952),"Randall, Stuart (I)","Thorpe, Richard (I)",1952,Biography,1
8307,Family Enforcer,Joseph Frank Pesci,Ralph De Vito,,6553,"Death Collector, The (1976)","Cortese, Joseph (I)","De Vito, Ralph",1976,Drama,1
7066,,Edith Holm Sondergaard,Don Hartman,,3119,My Favorite Blonde (1942),"Moore, Charles R.","Lanfield, Sidney",1942,Comedy,1
16039,,Scott Vickaryous,Bob Brown,,16578,Hedwig and the Angry Inch (2001),"Moore, Maggie (I)","Mitchell, John Cameron",2001,Comedy,0
23982,Nora Prentiss,Harold Herman Brix,N. Richard Nash,,93,Nora Prentiss (1947),"Chandler, Eddy","Sherman, Vincent",1947,Drama,1
9083,Hardcore,Richard Cox,Paul Schrader,,20621,Tsirk (1936),"Komissarov, Aleksandr (II)","Simkov, I.",1936,Comedy,0
10030,Stolen Harmony,Ben Bernie,,,10133,Stolen Harmony (1935),"Bernie, Ben","Werker, Alfred L.",1935,Musical,1
4586,Camille,Lionel Herbert Blythe,"Alexandre Dumas, fils",,21243,Camille (1936),"Malyon, Eily","Cukor, George",1936,Romance,1
20967,Something New,Alfre Ette Woodard,Kriss Turner,,6244,Gegen die Wand (2004),"Serim, Tulga","Akin, Fatih",2004,Romance,0
20892,,John Stephen Goodman,Parnell Hall,,8747,C.H.U.D. (1984),"Mattos, Laure","Cheek, Douglas",1984,Horror,1
589,,Vivian Rich,Marc Edmund Jones,,16445,In the Sunlight (1915),"Rich, Vivian","Ricketts, Tom",1915,Short,1
25292,The Devil Rides Out,Charles Gray (actor),Richard Matheson,,13771,"Devil Rides Out, The (1968)","Swanwick, Peter","Fisher, Terence",1968,Horror,1
6489,,Mary Elizabeth Riggs,George Abbott,,8945,2:37 (2006),"Dangov, Irena","Thalluri, Murali K.",2006,Drama,0
22095,The Triumph of Love,Krishna Bhanji,Bernardo Bertolucci,,3002,"Triumph of Love, The (2001)","Antonioni, Carlo","Peploe, Clare",2001,Comedy,1
16123,Top Secret Affair,Issur Danielovitch,Allan Scott (screenwriter),,21931,Top Secret Affair (1957),"Douglas, Kirk (I)","Potter, H.C.",1957,Comedy,1
26729,Man's Favorite Sport?,"Roy Harold Scherer, Jr.",Pat Frank (story) John Fenton Murray Steve McNeil,,10478,Man's Favorite Sport? (1964),"Bendixen, Holger","Hawks, Howard",1964,Comedy,1
7392,,Lyudmila Yakovtleva,Andrei Platonov,,2722,Odinokiy golos cheloveka (1987),"Gradov, Andrei","Sokurov, Aleksandr",1987,Drama,1
8023,Jury Prize (Cannes Film Festival),Marcel Mouloudji,,,19464,Nous sommes tous des assassins (1952),"Babet, Doudou","Cayatte, Andr?",1952,Drama,1
1057,,Arthur Duarte,,,4532,"Pai Tirano, O (1941)","de Oliveira, Idalina","Lopes Ribeiro, Ant?nio",1941,Comedy,1
