tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
1637,Instance-based attribute identification in database integration,"Roger H. L. Chiang, Ee-Peng Lim, Chua Eng Huang Cecil",VLDB J.,2003,1242,NetCube: A Scalable Tool for Fast Data Mining and Compression,"Dimitris Margaritis, Christos Faloutsos, Sebastian Thrun",Very Large Data Bases,2001.0,0
592,Open Issues in Parallel Query Optimization,"Waqar Hasan, Patrick Valduriez, Daniela Florescu",SIGMOD Record,1996,567,Advanced XML data processing: guest editor's introduction,Karl Aberer,ACM SIGMOD Record,2001.0,0
1219,Data Mining in the Bioinformatics Domain,Shalom Tsur,VLDB,2000,1588,The merge/purge problem for large databases,"Mauricio A. Hern&#225;ndez, Salvatore J. Stolfo",International Conference on Management of Data,1995.0,0
2062,Optimizing Multiple Dimensional Queries Simultaneously in Multidimensional Databases,"Jeffrey Xu Yu, Weifa Liang, Maria E. Orlowska",VLDB J.,2000,1217,Optimizing multiple dimensional queries simultaneously in multidimensional databases,"Weifa Liang, Maria E. Orlowska, Jeffrey X. Yu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2000.0,1
218,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,"Khaled Alsabti, Vineet Singh, Sanjay Ranka",VLDB,1997,1036,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,"Khaled Alsabti, Sanjay Ranka, Vineet Singh",Very Large Data Bases,1997.0,1
1603,Best-effort cache synchronization with source cooperation,"Chris Olston, Jennifer Widom",SIGMOD Conference,2002,2218,Managing uncertainty in sensor database,"Reynold Cheng, Sunil Prabhakar",ACM SIGMOD Record,2003.0,0
1774,Contrast Plots and P-Sphere Trees: Space vs. Time in Nearest Neighbour Searches,"Jonathan Goldstein, Raghu Ramakrishnan",VLDB,2000,1557,A structured approach for the definition of the semantics of active databases,"Piero Fraternali, Letizia Tanca",ACM Transactions on Database Systems (TODS),1995.0,0
412,SHORE: Combining the Best Features of OODBMS and File Systems,Shore Team,SIGMOD Conference,1995,1163,A database model for object dynamics,"M. P. Papazoglou, B. J. Kr&#228;mer",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1997.0,0
2223,Self-tuning Histograms: Building Histograms Without Looking at Data,"Surajit Chaudhuri, Ashraf Aboulnaga",SIGMOD Conference,1999,203,Self-tuning histograms: building histograms without looking at data,"Ashraf Aboulnaga, Surajit Chaudhuri",International Conference on Management of Data,1999.0,1
2462,Efficiently publishing relational data as XML documents,"Bruce G. Lindsay, Hamid Pirahesh, Berthold Reinwald, Michael J. Carey, Rimon Barr, Jayavel Shanmugasundaram, Eugene J. Shekita",VLDB J.,2001,1619,Sybase replication server,"Alex Gorelik, Yongdong Wang, Mark Deppe",International Conference on Management of Data,1994.0,0
914,"Title, Foreword, VLDB Journal to be published electronically, Index Vol. 4",?,VLDB J.,1995,2109,Answering queries using views: A survey,Alon Y. Halevy,The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2001.0,0
256,Incremental Clustering for Mining in a Data Warehousing Environment,"Xiaowei Xu, Michael Wimmer, J?rg Sander, Martin Ester, Hans-Peter Kriegel",VLDB,1998,193,Random sampling techniques for space efficient online computation of order statistics of large datasets,"Gurmeet Singh Manku, Sridhar Rajagopalan, Bruce G. Lindsay",International Conference on Management of Data,1999.0,0
2247,Mobile Computing and Databases: Anything New?,"Margaret H. Dunham, Abdelsalam Helal",SIGMOD Record,1995,1019,Clustering Categorical Data: An Approach Based on Dynamical Systems,"David Gibson, Jon M. Kleinberg, Prabhakar Raghavan",Very Large Data Bases,1998.0,0
1134,Data Quality and Data Cleaning: An Overview,"Theodore Johnson, Tamraparni Dasu",SIGMOD Conference,2003,1624,Red brick warehouse: a read-mostly RDBMS for open SMP platforms,Phillip M. Fernandez,International Conference on Management of Data,1994.0,0
328,M-tree: An Efficient Access Method for Similarity Search in Metric Spaces,"Paolo Ciaccia, Pavel Zezula, Marco Patella",VLDB,1997,1775,PREDATOR: a resource for database research,Praveen Seshadri,ACM SIGMOD Record,1998.0,0
2308,Approximate Query Processing Using Wavelets,"Kyuseok Shim, Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi",VLDB,2000,889,Approximate Query Processing Using Wavelets,"Kaushik Chakrabarti, Minos N. Garofalakis, Rajeev Rastogi, Kyuseok Shim",Very Large Data Bases,2000.0,1
395,French government activity in the conservation of data and electronic documents,Serge Novaretti,VLDB,2001,15,A workflow-based electronic marketplace on the Web,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record,1998.0,0
2230,A Top-Down Approach for Two Level Serializability,"N. L. Belkhodja, Mourad Ouzzani, M. A. Atroun",VLDB,1994,1430,"Composite Events for Active Databases: Semantics, Contexts and Detection","Sharma Chakravarthy, V. Krishnaprasad, Eman Anwar, S.-K. Kim",Very Large Data Bases,1994.0,0
1429,"Adaptive, Fine-Grained Sharing in a Client-Server OODBMS: A Callback-Based Approach","Michael J. Carey, Michael J. Franklin, Markos Zaharioudakis",ACM Trans. Database Syst.,1997,1513,Applying update streams in a soft real-time database system,"B. Adelberg, H. Garcia-Molina, B. Kao",International Conference on Management of Data,1995.0,0
911,Synthesis of Extended Transaction Models Using ACTA,"Panos K. Chrysanthis, Krithi Ramamritham",ACM Trans. Database Syst.,1994,91,"A distributed scientific data archive using the Web, XML and SQL/MED","Mark Papiani, Jasmin L. Wason, Alistair N. Dunlop, Denis A. Nicole",ACM SIGMOD Record,1999.0,0
275,Accessibility of the Database Literature,Richard T. Snodgrass,SIGMOD Record,2001,522,Distinguished DB profiles,Marianne Winslett,ACM SIGMOD Record,2002.0,0
1349,On-Demand Data Elevation in Hierarchical Multimedia Storage Servers,"Thomas Papadakis, Peter Triantafillou",VLDB,1997,1979,Improved histograms for selectivity estimation of range predicates,"Viswanath Poosala, Peter J. Haas, Yannis E. Ioannidis, Eugene J. Shekita",International Conference on Management of Data,1996.0,0
1536,"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey,VLDB,2000,1249,Maintenance of implication integrity constraints under updates to constraints,"Naci S. Ishakbeyoglu, Z. Meral Ozsoyoglu",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1998.0,0
701,Aggregation Algorithms for Very Large Compressed Data Warehouses,"Jaideep Srivastava, Jianzhong Li, Doron Rotem",VLDB,1999,1509,Reducing multidatabase query response time by tree balancing,"Weimin Du, Ming-Chien Shan, Umeshwar Dayal",International Conference on Management of Data,1995.0,0
2421,"Integrating Temporal, Real-Time, and Active Databases","John A. Stankovic, Krithi Ramamritham, Ming Xiong, Rajendran M. Sivasankaran, Donald F. Towsley",SIGMOD Record,1996,1525,The SAMOS active DBMS prototype,"Stella Gatziu, Andreas Geppert, Klaus R. Dittrich",International Conference on Management of Data,1995.0,0
2242,Distributed Top-N Query Processing with Possibly Uncooperative Local Systems,"Clement T. Yu, Weiyi Meng, George Philip",VLDB,2003,2180,Sensor: the atomic computing particle,Vijay Kumar,ACM SIGMOD Record,2003.0,0
1700,Managing Memory for Real-Time Queries,"Miron Livny, Michael J. Carey, HweeHwa Pang",SIGMOD Conference,1994,819,Networked Data Management Design Points,James R. Hamilton,Very Large Data Bases,1999.0,0
1538,Automated Selection of Materialized Views and Indexes in SQL Databases,"Surajit Chaudhuri, Sanjay Agrawal, Vivek R. Narasayya",VLDB,2000,1991,Query execution techniques for caching expensive methods,"Joseph M. Hellerstein, Jeffrey F. Naughton",International Conference on Management of Data,1996.0,0
1056,An extension of the relational data model to incorporate ordered domains,Wilfred Ng,ACM Trans. Database Syst.,2001,2257,RP*: A Family of Order Preserving Scalable Distributed Data Structures,"Witold Litwin, Marie-Anne Neimat, Donovan A. Schneider",Very Large Data Bases,1994.0,0
2254,Contextualizing the Information Space in Federated Digital Libraries,"Jeroen Hoppenbrouwers, Mike P. Papazoglou",SIGMOD Record,1999,1464,DB2 Query Parallelism: Staging and Implementation,Yun Wang,Very Large Data Bases,1995.0,0
1517,Extracting Structured Data from Web Pages,"Arvind Arasu, Hector Garcia-Molina",SIGMOD Conference,2003,731,A compact B-tree,"Peter Bumbulis, Ivan T. Bowman",International Conference on Management of Data,2002.0,0
2480,Databases on the Web: Technologies for Federation Architectures and Case Studies (Tutorial),Ralf Kramer,SIGMOD Conference,1997,1849,Databases on the Web: technologies for federation architectures and case studies,Ralf Kramer,International Conference on Management of Data,1997.0,1
956,Locating and accessing data repositories with WebSemantics,"George A. Mihaila, Louiqa Raschid, Anthony Tomasic",VLDB J.,2002,1196,Locating and accessing data repositories with WebSemantics,"George A. Mihaila, Louiqa Raschid, Anthony Tomasic",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002.0,1
1051,Clustering Categorical Data: An Approach Based on Dynamical Systems,"Prabhakar Raghavan, David Gibson, Jon M. Kleinberg",VLDB,1998,859,Research Directions in Biodiversity Informatics,John L. Schnase,Very Large Data Bases,2000.0,0
1819,"Building a Scaleable Geo-Spatial DBMS: Technology, Implementation, and Evaluation","Curt Ellmann, Roger Lueder, Jignesh M. Patel, Jie-Bing Yu, Nancy E. Hall, Josef Burger, David J. DeWitt, Navin Kabra, Karthikeyan Ramasamy, Shelly Guo, Jeffrey F. Naughton, Biswadeep Nag, Jim Kupsch, Kristin Tufte",SIGMOD Conference,1997,717,ToXgene: a template-based data generator for XML,"Denilson Barbosa, Alberto Mendelzon, John Keenleyside, Kelly Lyons",International Conference on Management of Data,2002.0,0
1843,Improving Database Design Through the Analysis of Relationships,"Veda C. Storey, Terence M. Barron, Debabrata Dey",ACM Trans. Database Syst.,1999,2273,Fast Incremental Indexing for Full-Text Information Retrieval,"Eric W. Brown, James P. Callan, W. Bruce Croft",Very Large Data Bases,1994.0,0
2449,Real World Requirements for Decision Support - Implications for RDBMS,Sanju K. Bansal,SIGMOD Conference,1995,1619,Sybase replication server,"Alex Gorelik, Yongdong Wang, Mark Deppe",International Conference on Management of Data,1994.0,0
313,The BUCKY Object-Relational Benchmark (Experience Paper),"Jeffrey F. Naughton, Michael J. Carey, Dhaval Shah, Johannes Gehrke, Mohammad Asgarian, David J. DeWitt, Paul Brown",SIGMOD Conference,1997,379,DeeDS towards a distributed and active real-time database system,"S. F. Andler, J. Hansson, J. Eriksson, J. Mellin, M. Berndtsson, B. Eftring",ACM SIGMOD Record,1996.0,0
461,Statement from the Treasurer,Eric N. Hanson,SIGMOD Record,1999,1638,Distributing a search tree among a growing number of processors,"Brigitte Kr&#246;ll, Peter Widmayer",International Conference on Management of Data,1994.0,0
272,The TV-Tree: An Index Structure for High-Dimensional Data,"King-Ip Lin, H. V. Jagadish, Christos Faloutsos",VLDB J.,1994,257,Data-driven understanding and refinement of schema mappings,"Ling Ling Yan, Ren&#233;e J. Miller, Laura M. Haas, Ronald Fagin",International Conference on Management of Data,2001.0,0
285,Information Director's Message,Alberto O. Mendelzon,SIGMOD Record,1998,410,AJAX: an extensible data cleaning tool,"Helena Galhardas, Daniela Florescu, Dennis Shasha, Eric Simon",International Conference on Management of Data,2000.0,0
152,Handling Very Large Databases with Informix Extended Parallel Server,Andreas Weininger,SIGMOD Conference,2000,398,Handling very large databases with informix extended parallel server,Andreas Weininger,International Conference on Management of Data,2000.0,1
1864,Containment Join Size Estimation: Models and Methods,"Haifeng Jiang, Hongjun Lu, Wei Wang, Jeffrey Xu Yu",SIGMOD Conference,2003,346,A logical foundation for deductive object-oriented databases,"Mengchi Liu, Gillian Dobbie, Tok Wang Ling",ACM Transactions on Database Systems (TODS),2002.0,0
1868,The hyperion project: from data integration to data coordination,"Marcelo Arenas, Vasiliki Kantere, Ren?e J. Miller, Anastasios Kementsietsidis, John Mylopoulos, Iluju Kiringa",SIGMOD Record,2003,174,Enterprise Java platform data access,"Seth White, Rick Cattell, Shel Finkelstein",International Conference on Management of Data,1998.0,0
367,A Database Index to Large Biological Sequences,"Robert W. Irving, Ela Hunt, Malcolm P. Atkinson",VLDB,2001,1410,A Database Index to Large Biological Sequences,"Ela Hunt, Malcolm P. Atkinson, Robert W. Irving",Very Large Data Bases,2001.0,1
2120,"Information, Communication, and Money: For What Can We Charge and How Can We Meter It?","Henry F. Korth, Stephen Blott, Abraham Silberschatz",VLDB,1998,831,Implementation of SQL3 Structured Types with Inheritance and Value Substitutability,"You-Chin Fuh, Stefan De&#223;loch, Weidong Chen, Nelson Mendon&#231;a Mattos, Brian T. Tran, Bruce G. Lindsay, Linda DeMichel, Serge Rielau, Danko Mannhaupt",Very Large Data Bases,1999.0,0
1821,Caching Technologies for Web Applications,C. Mohan,VLDB,2001,1483,Performance of Data-Parallel Spatial Operations,"Erik G. Hoel, Hanan Samet",Very Large Data Bases,1994.0,0
2263,Supporting Procedural Constructs in SQL Compilers,Nelson Mendon?a Mattos,VLDB,1996,137,DTL's DataSpot: database exploration as easy as browsing the Web...,"Shaul Dar, Gadi Entin, Shai Geva, Eran Palmon",International Conference on Management of Data,1998.0,0
369,Join Algorithm Costs Revisited,"Kotagiri Ramamohanarao, Evan P. Harris",VLDB J.,1996,294,"Probe, count, and classify: categorizing hidden web databases","Panagiotis G. Ipeirotis, Luis Gravano, Mehran Sahami",International Conference on Management of Data,2001.0,0
386,Book Review Column,Karl Aberer,SIGMOD Record,2002,1350,Supporting Incremental Join Queries on Ranked Inputs,"Apostol Natsev, Yuan-Chi Chang, John R. Smith, Chung-Sheng Li, Jeffrey Scott Vitter",Very Large Data Bases,2001.0,0
1135,Small Worlds: the Dynamics of Networks between Order and Randomness - Book Review,Jie Wu,SIGMOD Record,2002,1130,Fast Nearest Neighbor Search in Medical Image Databases,"Flip Korn, Nikolaos Sidiropoulos, Christos Faloutsos, Eliot Siegel, Zenon Protopapas",Very Large Data Bases,1996.0,0
1709,SIGMOD 2001 Industry Sessions,"C?sar A. Galindo-Legaria, Michael J. Franklin, Leonard J. Seligman, Guy M. Lohman",SIGMOD Record,2001,1092,Effective &; Efficient Document Ranking without using a Large Lexicon,Yasushi Ogawa,Very Large Data Bases,1996.0,0
1134,Data Quality and Data Cleaning: An Overview,"Theodore Johnson, Tamraparni Dasu",SIGMOD Conference,2003,1640,Sequence query processing,"Praveen Seshadri, Miron Livny, Raghu Ramakrishnan",International Conference on Management of Data,1994.0,0
454,"Proceedings of the 2003 ACM SIGMOD International Conference on Management of Data, San Diego, California, USA, June 9-12, 2003",?,SIGMOD Conference,2003,1083,Describing and Using Query Capabilities of Heterogeneous Sources,"Vasilis Vassalos, Yannis Papakonstantinou",Very Large Data Bases,1997.0,0
77,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",ACM Trans. Database Syst.,1995,995,Bridging Heterogeneity: Research and Practice of Database Middleware Technology,"Fernando de Ferreira Rezende, G&#252;nter Sauter",Very Large Data Bases,1998.0,0
791,Distributed Processing over Stand-alone Systems and Applications,"Claus Hagen, Hans-J?rg Schek, Gustavo Alonso, Markus Tresch",VLDB,1997,640,Rate-based query optimization for streaming information sources,"Stratis D. Viglas, Jeffrey F. Naughton",International Conference on Management of Data,2002.0,0
1925,"The Active Database Central, ER2000, VLDB 2000, WISE 2000, Books, ACM DL",?,SIGMOD Record,1999,372,Advances in real-time database systems research,Azer Bestavros,ACM SIGMOD Record,1996.0,0
1770,The Database Group at National Technical University of Athens (NTUA),"Timos K. Sellis, Yannis Vassiliou",SIGMOD Record,1995,1669,Relaxed transaction processing,"Munindar P. Singh, Christine Tomlinson, Darrell Woelk",International Conference on Management of Data,1994.0,0
430,"The hBP-tree: A Modified hB-tree Supporting Concurrency, Recovery and Node Consolidation","Georgios Evangelidis, Betty Salzberg, David B. Lomet",VLDB,1995,1332,A Formal Perspective on the View Selection Problem,"Rada Chirkova, Alon Y. Halevy, Dan Suciu",Very Large Data Bases,2001.0,0
2206,Middle-tier database caching for e-business,"Hamid Pirahesh, C. Mohan, Jeffrey F. Naughton, Sailesh Krishnamurthy, Honguk Woo, Qiong Luo, Bruce G. Lindsay",SIGMOD Conference,2002,1135,SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems,"Laks V. S. Lakshmanan, Fereidoon Sadri, Iyer N. Subramanian",Very Large Data Bases,1996.0,0
1877,Structural Matching and Discovery in Document Databases,"Jason Tsong-Li Wang, George Jyh-Shian Chang, Dennis Shasha, Girish Patel, Kaizhong Zhang, Liam Relihan",SIGMOD Conference,1997,1146,MineSet(tm): A System for High-End Data Mining and Visualization,Very Large Data Bases%1996%%MineSet(tm): A System for High-End Data Mining and Visualization Very Large Data Bases 1996,,,0
117,Information Warfare and Security - Book Review,H. V. Jagadish,SIGMOD Record,2001,399,Internet traffic warehouse,"Chung-Min Chen, Munir Cochinwala, Claudio Petrone, Marc Pucci, Sunil Samtani, Patrizia Santa",International Conference on Management of Data,2000.0,0
649,Performance of Data-Parallel Spatial Operations,"Hanan Samet, Erik G. Hoel",VLDB,1994,1846,Infomaster: an information integration system,"Michael R. Genesereth, Arthur M. Keller, Oliver M. Duschka",International Conference on Management of Data,1997.0,0
2561,A General Techniques for Querying XML Documents using a Relational Database System,"Stratis Viglas, Eugene J. Shekita, Rajasekar Krishnamurthy, Jayavel Shanmugasundaram, Jeffrey F. Naughton, Jerry Kiernan, Igor Tatarinov",SIGMOD Record,2001,569,A general technique for querying XML documents using a relational database system,"Jayavel Shanmugasundaram, Eugene Shekita, Jerry Kiernan, Rajasekar Krishnamurthy, Efstratios Viglas, Jeffrey Naughton, Igor Tatarinov",ACM SIGMOD Record,2001.0,1
1117,Efficient User-Adaptable Similarity Search in Large Multimedia Databases,"Thomas Seidl, Hans-Peter Kriegel",VLDB,1997,1074,Efficient User-Adaptable Similarity Search in Large Multimedia Databases,"Thomas Seidl, Hans-Peter Kriegel",Very Large Data Bases,1997.0,1
154,Value-cognizant Speculative Concurrency Control,"Azer Bestavros, Spyridon Braoudakis",VLDB,1995,471,The Clio project: managing heterogeneity,"Ren&#233;e J. Miller, Mauricio A. Hern&#225;ndez, Laura M. Haas, Lingling Yan, C. T. Howard Ho, Ronald Fagin, Lucian Popa",ACM SIGMOD Record,2001.0,0
533,Buffering and Read-Ahead Strategies for External Mergesort,"Per-?ke Larson, Weiye Zhang",VLDB,1998,1008,Buffering and Read-Ahead Strategies for External Mergesort,"Weiye Zhang, Per-&#197;ke Larson",Very Large Data Bases,1998.0,1
1593,TelegraphCQ: Continuous Dataflow Processing,"Mehul A. Shah, Wei Hong, Sirish Chandrasekaran, Samuel Madden, Sailesh Krishnamurthy, Amol Deshpande, Frederick Reiss, Owen Cooper, Joseph M. Hellerstein, Michael J. Franklin",SIGMOD Conference,2003,224,A case for intelligent disks (IDISKs),"Kimberly Keeton, David A. Patterson, Joseph M. Hellerstein",ACM SIGMOD Record,1998.0,0
746,LORE: A Lightweight Object REpository for Semistructured Data,"Janet L. Wiener, Jason McHugh, Serge Abiteboul, Qingshan Luo, Anand Rajaraman, Dallan Quass, Jeffrey D. Ullman, Roy Goldman, Hugo Rivero, Jennifer Widom, Svetlozar Nestorov, Kevin Haas",SIGMOD Conference,1996,1160,Data placement in shared-nothing parallel database systems,"Manish Mehta, David J. DeWitt",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,1997.0,0
2032,"Fast Similarity Search in the Presence of Noise, Scaling, and Translation in Time-Series Databases","King-Ip Lin, Harpreet S. Sawhney, Rakesh Agrawal, Kyuseok Shim",VLDB,1995,2090,"Temporal coalescing with now granularity, and incomplete information",Curtis E. Dyreson,International Conference on Management of Data,2003.0,0
68,Cache-and-Query for Wide Area Sensor Databases,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",SIGMOD Conference,2003,220,Selectivity estimation in spatial databases,"Swarup Acharya, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,1999.0,0
118,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,Kjetil N?rv?g,VLDB,1999,1460,W3QS: A Query System for the World-Wide Web,"David Konopnicki, Oded Shmueli",Very Large Data Bases,1995.0,0
804,METU Object-Oriented DBMS,"Cetin Ozkan, Cem Evrendilek, Yuksel Saygin, Ilker Altintas, Ismailcem Budak Arpinar, Mehmet Altinel, Tansel Okay, Ilker Durusoy, Asuman Dogac",SIGMOD Conference,1994,950,Parallel Algorithms for High-dimensional Similarity Joins for Data Mining Applications,"John C. Shafer, Rakesh Agrawal",Very Large Data Bases,1997.0,0
1278,QURSED: querying and reporting semistructured data,"Yannis Papakonstantinou, Michalis Petropoulos, Vasilis Vassalos",SIGMOD Conference,2002,2232,Toward network data independence,Joseph M. Hellerstein,ACM SIGMOD Record,2003.0,0
1738,VXMLR: A Visual XML-Relational Database System,"Aoying Zhou, Wenyun Ji, Shihui Zheng, Hongjun Lu, Yuqi Liang, Zengping Tian, Long Zhang",VLDB,2001,1318,VXMLR: A Visual XML-Relational Database System,"Aoying Zhou, Hongjun Lu, Shihui Zheng, Yuqi Liang, Long Zhang, Wenyun Ji, Zengping Tian",Very Large Data Bases,2001.0,1
1517,Extracting Structured Data from Web Pages,"Arvind Arasu, Hector Garcia-Molina",SIGMOD Conference,2003,2047,Extracting structured data from Web pages,"Arvind Arasu, Hector Garcia-Molina, Stanford University",International Conference on Management of Data,2003.0,1
2088,Partition Selection Policies in Object Database Garbage Collection,"Benjamin G. Zorn, Alexander L. Wolf, Jonathan E. Cook",SIGMOD Conference,1994,1862,A query language for a Web-site management system,"Mary Fernandez, Daniela Florescu, Alon Levy, Dan Suciu",ACM SIGMOD Record,1997.0,0
1115,Towards Automated Performance Tuning for Complex Workloads,"Michael J. Carey, Manish Mehta, Miron Livny, Kurt P. Brown",VLDB,1994,1425,Towards Automated Performance Tuning for Complex Workloads,"Kurt P. Brown, Manish Mehta, Michael J. Carey, Miron Livny",Very Large Data Bases,1994.0,1
2508,TODS Reviewers,Richard T. Snodgrass,SIGMOD Record,2003,1265,Supporting efficient multimedia database exploration,"Wen-Syan Li, K.Sel&#231;uk Candan, Kyoji Hirata, Yoshinori Hara",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2001.0,0
982,Treasurer's Message,Joachim Hammer,SIGMOD Record,2002,2156,Innovation in Database Management: Computer Science vs. Engineering,Kenneth R. Jacobs,Very Large Data Bases,1997.0,0
21,Approximating Aggregate Queries about Web Pages via Random Walks,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",VLDB,2000,1373,Approximating Aggregate Queries about Web Pages via Random Walks,"Ziv Bar-Yossef, Alexander Berg, Steve Chien, Jittat Fakcharoenphol, Dror Weitz",Very Large Data Bases,2000.0,1
2550,Guest editorial,Malcolm P. Atkinson,VLDB J.,2000,1186,Query processing techniques for arrays,"Arunprasad P. Marathe, Kenneth Salem",The VLDB Journal &mdash; The International Journal on Very Large Data Bases,2002.0,0
2500,An Overview of DB2 Parallel Edition,"Walter G. Wilson, Ambuj Goyal, Sriram Padmanabhan, Gilles Fecteau, Anant Jhingran, Chaitanya K. Baru, Hui-I Hsiao",SIGMOD Conference,1995,1812,Scalable parallel data mining for association rules,"Eui-Hong Han, George Karypis, Vipin Kumar",International Conference on Management of Data,1997.0,0
812,Dynamic Buffer Allocation in Video-on-Demand Systems,"Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song, Sang Ho Lee",SIGMOD Conference,2001,318,Dynamic buffer allocation in video-on-demand systems,"Sang-Ho Lee, Kyu-Young Whang, Yang-Sae Moon, Il-Yeol Song",International Conference on Management of Data,2001.0,1
2553,Improving Adaptable Similarity Query Processing by Using Approximations,"Hans-Peter Kriegel, Bernhard Braunm?ller, Thomas Seidl, Mihael Ankerst",VLDB,1998,1023,Improving Adaptable Similarity Query Processing by Using Approximations,"Mihael Ankerst, Bernhard Braunm&#252;ller, Hans-Peter Kriegel, Thomas Seidl",Very Large Data Bases,1998.0,1
