tableA_id,tableA_http://www.okkam.org/ontology_restaurant1.owl#name,tableA_http://www.okkam.org/ontology_restaurant1.owl#phone_number,tableA_http://www.okkam.org/ontology_restaurant1.owl#street,tableB_id,tableB_http://www.okkam.org/ontology_restaurant2.owl#name,tableB_http://www.okkam.org/ontology_restaurant2.owl#phone_number,tableB_http://www.okkam.org/ontology_restaurant2.owl#street,label
141,fringale,415/543-0573,,1513,,,21 west 17th st.  between 5th and 6th aves.,0
25,,,95 ave. a at 6th st.,181,coffee shops/diners,,,0
104,tavern on the green,212/873-3200,,934,le colonial,310/289-0660,,0
11,los angeles,,,1466,penang soho,212/274-8883,,0
270,steak house,702/734-0410,,246,monte carlo,702-733-4524,,0
215,heera of india,404/876-4408,,1100,la grotta at ravinia dunwoody rd.,770/395-9925,,0
91,georgia grille,404/352-3517,,1666,roosevelt tamale parlor,415-550-9213,,0
101,veni vidi vici,404/875-8424,,1998,,,32 w. 32nd st.,0
93,,,7 claude la.,715,bruno,212/688-4190,,0
116,,,701 stone canyon rd.,1492,,,1 united nations plaza at 44th st.,0
0,new york,,,1347,,,201 ivy st.,0
229,union square cafe,212/243-4020,,61,chinese,,,0
264,,,405 e. 58th st.,1800,,,414 n. beverly dr.,0
251,,,816 folsom st.,379,,,3700 w. flamingo rd.,0
44,studio city,,,205,mario's bohemian cigar store cafe,415-776-8226,,0
165,,,160 e. 64th st.,922,,,134 n. la cienega,0
80,fleur de lys,415/673-7779,,2241,atlanta fish market,404/262-3165,,0
180,,,14016 ventura blvd.,760,,,423 amsterdam ave.  between 80th and 81st sts.,0
164,yujean kang's gourmet chinese cuisine,818/585-0855,,885,,,411 park ave. s  between 28th and 29th sts.,0
196,carmine's,212/362-2200,,595,morton's,212/972-3315,,0
275,le chardonnay,213/655-8880,,1547,,,1514 n. gower st.,0
108,,,239 w. broadway  between walker and white sts.,264,empress court,702/731-7888,,0
217,,,804 northpoint,766,,,2316 polk st.,0
306,mi cocina,212/627-8273,,530,odeon,212/233-0507,,0
75,,,2245 e. flamingo rd.,1353,,,507 columbus ave.  between 84th and 85th sts.,0
210,,,240 central park s,1170,mayflower cuisinier,702-870-8432,,0
97,,,3200 las vegas blvd. s,49,,,1716 pch,0
125,nikolai's roof,404/221-6362,,1703,,,222 w. 79th st.,0
141,fringale,415/543-0573,,1145,,,923 e. third st.,0
216,chinois on main,310/392-9025,,1575,morton's of chicago (las vegas),702-893-0703,,0
171,uncle nick's,212/315-1726,,1576,,,1402 n. highland ave.,0
224,aqua,415/956-9662,,1543,remi,212/581-4242,,0
216,chinois on main,310/392-9025,,2,,,368 bleecker st.,0
136,,,2355 peachtree rd.  peachtree battle shopping center,1422,,,7 w. 20th st.,0
190,pano's and paul's,404/261-3662,,901,,,350 9th ave. at 49th st.,0
78,,,2 e. 55th st.,1782,montien,212/421-4433,,0
4,,,43 w. 65th st.,1606,le jardin,212/343-9599,,0
98,valentino,310/829-4313,,632,,,340 stockton st.,0
313,,,21 e. 16th st.,629,,,1300 battery st.,0
6,rainbow room,212/632-5000,,407,thai,,,0
35,,,1 mission st.,522,,,3109 piedmont rd.  just south of peachtree rd.,0
141,fringale,415/543-0573,,1154,veni vidi vici,404-875-8424,,0
176,,,2290 peachtree rd.  peachtree square shopping center,2246,,,249 e. 50th st.,0
49,dawat,212/355-7555,,1462,tavern on the green,212-873-3200,,0
59,lutece,212/752-2225,,64,,,764 ninth ave.,0
311,,,252 california st.,1564,yama,212-475-0969,,0
210,,,240 central park s,845,,,99 e. 52nd st.,0
7,,,2 harrison st.  near hudson st.,309,,,420 e. 59th st.  off 1st ave.,0
288,,,200 e. fremont st.,36,yoyo tsumami bistro,415/922-7788,,0
132,cafe des artistes,212/877-3500,,406,,,2970 cobb pkwy.,0
227,,,3570 las vegas blvd. s,2149,,,1944 union st.,0
78,,,2 e. 55th st.,2070,,,10509 w. pico blvd.,0
309,pinot bistro,818/990-0500,,1909,fleur de jour,212/355-2020,,0
196,carmine's,212/362-2200,,872,2223,415/431-0692,,0
212,l'orangerie,310/652-9770,,920,,,1100 peachtree st.,0
297,postrio,415/776-7825,,396,,,1215 powers ferry rd.,0
184,,,3115 pico blvd.,893,the heights,415/474-8890,,0
257,carnegie deli,212/757-2245,,520,marichu,212/370-1866,,0
322,daniel,212/288-0033,,872,2223,415/431-0692,,0
112,,,1 margaret mitchell sq.,1692,,,143 mercer st. at prince st.,0
126,,,201 e. 49th st.,163,,,19 old fulton st.,0
167,alain rondelli,415/387-0408,,105,nickiemoto's: a sushi bar,404/842-0334,,0
41,,,42 e. 20th st.  between park ave. s and broadway,1201,sally's cafe & bakery,415-626-6006,,0
127,grill on the alley,310/276-0615,,1382,jiraffe,310-917-6671,,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,,1026,teresa's,718-520-2910,,0
24,,,6703 melrose ave.,674,,,13329 washington blvd.,0
29,montrachet,212/ 219-2777,,402,golden steer,702/384-4470,,0
7,,,2 harrison st.  near hudson st.,1431,my thai,404-636-4280,,0
17,island spice,212/765-1737,,630,chez michel,415-775-7036,,0
74,hollywood,,,1551,,,133 mulberry st.  between hester and grand sts.,0
227,,,3570 las vegas blvd. s,797,bel-air hotel,310-472-1211,,0
220,,,3000 w. paradise rd.,1335,joe's shanghai,718-539-3838,,0
275,le chardonnay,213/655-8880,,815,southwestern,,,0
163,,,3799 las vegas blvd. s,1576,,,1402 n. highland ave.,0
275,le chardonnay,213/655-8880,,1901,emily's,212/996-1212,,0
44,studio city,,,1805,viva mercado's,702/871-8826,,0
227,,,3570 las vegas blvd. s,233,teresa's,212/228-0604,,0
30,,,13 w. 54th st.,1298,,,62 spring st. at lafayette st.,0
62,,,181 peachtree st.,1273,bistro roti,415/495-6500,,0
108,,,239 w. broadway  between walker and white sts.,1049,,,6 w. 24th st.,0
294,gramercy tavern,212/477-0777,,1412,,,3900 paradise rd.,0
43,toulouse,404/351-9533,,754,,,28 e. 63rd st.,0
91,georgia grille,404/352-3517,,836,chicken,,,0
171,uncle nick's,212/315-1726,,1498,emeril's new orleans fish house,702-891-7374,,0
139,,,249 e. 50th st.,609,tillerman  the,702-731-4036,,0
209,,,9560 dayton way,360,,,601 hayes st.,0
143,la caravelle,212/586-4252,,1037,la fonda latina,404-303-8201,,0
162,,,545 post st.,974,brent's deli,818-886-5679,,0
275,le chardonnay,213/655-8880,,1628,,,206 206 e. 60th st.,0
46,smith & wollensky,212/753-1530,,1854,,,260 e. paces ferry road,0
29,montrachet,212/ 219-2777,,2060,,,125 mulberry st.  between canal and hester sts.,0
238,brasserie le coze,404/266-1440,,445,cassell's,213-480-8668,,0
84,,,2637 peachtree rd.  peachtree house condominium,1249,la caravelle,212-586-4252,,0
151,,,23725 w. malibu rd.,565,buffets,,,0
210,,,240 central park s,1944,bacchanalia,404-365-0410,,0
119,manhattan ocean club,212/ 371-7777,,512,brighton coffee shop,310-276-7732,,0
29,montrachet,212/ 219-2777,,1899,,,522 9th ave. at 39th st.,0
165,,,160 e. 64th st.,1457,new york noodletown,212/349-0923,,0
251,,,816 folsom st.,460,,,7050 jimmy carter blvd.  norcross,0
23,ciboulette,404/874-7600,,668,l'absinthe,212/794-4950,,0
57,,,12224 ventura blvd.,2064,,,1023 abbot kinney blvd.,0
213,,,1 w. 67th st.,287,sal anthony's,212/982-9030,,0
123,,,b peachtree rd.,1543,remi,212/581-4242,,0
330,,,435 s. la cienega blv.,1228,,,8284 melrose ave.,0
139,,,249 e. 50th st.,358,coffee shops,,,0
155,,,201 w. 83rd st.,1837,pinot bistro,818-990-0500,,0
227,,,3570 las vegas blvd. s,1933,smith & wollensky,212-753-1530,,0
147,palace court,702/731-7547,,1005,,,483 amsterdam ave.,0
336,locanda veneta,310/274-1893,,1567,kamogawa,404/841-0314,,0
47,,,3073 piedmont road,67,ej's luncheonette,212-473-5555,,0
14,chin's,702/733-8899,,1164,,,1001 n. alameda st.,0
27,rose pistola,415/399-0499,,127,pizza,,,0
187,patina,213/467-1108,,1847,,,1020 n. san vicente blvd.,0
1,la grotta,404/231-1368,,606,,,601 s. figueroa st.,0
101,veni vidi vici,404/875-8424,,1276,vicolo pizzeria,415-863-2382,,0
152,,,1 water st. at the east river,1612,r&g lounge,415/982-7877,,0
117,,,55 e. 54th st.,139,russian/german,,,0
128,,,5937 geary blvd.,1206,,,1842 e. first,0
323,,,102 5th ave.  between 15th and 16th sts.,591,johnny reb's southern smokehouse,310-423-7327,,0
239,,,624 s. la brea ave.,91,,,9876 wilshire blvd.,0
312,,,648 bush st.,901,,,350 9th ave. at 49th st.,0
238,brasserie le coze,404/266-1440,,1052,,,19565 parthenia ave.,0
165,,,160 e. 64th st.,455,milan cafe and coffee bar,212/807-1801,,0
255,,,99 e. 52nd st.,2145,lola,212/675-6700,,0
279,indigo coastal grill,404/876-0676,,386,,,168 w. colorado blvd.,0
67,,,1110 3rd ave. at 65th st.,1739,,,361 w. 46th st.,0
236,,,490 e. paces ferry rd.,1393,otabe,212/223-7575,,0
247,arnie morton's of chicago,310/246-1501,,880,chevys,415/543-8060,,0
330,,,435 s. la cienega blv.,517,,,3266 w. sixth st.,0
306,mi cocina,212/627-8273,,327,cafe roma,702/731-7547,,0
77,coyote cafe,702/891-7349,,1745,cendrillon asian grill & marimba bar,212/343-9012,,0
59,lutece,212/752-2225,,1816,caffe vivaldi,212/691-7538,,0
232,gotham bar & grill,212/620-4020,,2120,,,56 e. andrews dr. nw,0
3,,,570 4th st.,1569,bar anise,212/355-1112,,0
64,mary mac's tea room,404/876-1800,,1391,rainbow room,212-632-5000,,0
250,cafe  ritz-carlton  buckhead,404/237-2700,,2055,feast,702/367-2411,,0
161,petrossian,212/245-2214,,864,,,1350 e. flamingo rd.,0
306,mi cocina,212/627-8273,,651,,,87 1st ave.  between 5th and 6th sts.,0
104,tavern on the green,212/873-3200,,1462,tavern on the green,212-873-3200,,1
320,,,3393 peachtree rd.  lenox square mall  near neiman marcus,468,,,331 w. fourth st.,0
279,indigo coastal grill,404/876-0676,,671,langer's,213-483-8050,,0
209,,,9560 dayton way,1665,,,515 valencia st.,0
99,,,402 w. 44th st.,1988,,,1059 broxton ave.,0
43,toulouse,404/351-9533,,362,scandinavian,,,0
320,,,3393 peachtree rd.  lenox square mall  near neiman marcus,1165,,,3127 fillmore st.,0
144,,,129 n. la cienega blvd.,1899,,,522 9th ave. at 39th st.,0
64,mary mac's tea room,404/876-1800,,1491,alamo,212/ 759-0590,,0
32,rex il ristorante,213/627-2300,,2070,,,10509 w. pico blvd.,0
43,toulouse,404/351-9533,,2209,des alpes,415/788-9900,,0
263,chanterelle,212/966-6960,,2103,,,2285 peachtree rd.  peachtree battle condominium,0
40,spago,310/652-4025,,1203,,,152 w. 52nd st.,0
239,,,624 s. la brea ave.,867,john's pizzeria,212-721-7001,,0
96,,,3201 fillmore st.,913,jody maroni's sausage kingdom,310-306-1995,,0
132,cafe des artistes,212/877-3500,,1482,swingers,213/653-5858,,0
316,restaurant  ritz-carlton  atlanta,404/659-0400,,1591,,,228 w. 52nd st.,0
49,dawat,212/355-7555,,1423,cite,212/956-7100,,0
184,,,3115 pico blvd.,2170,west,212/246-6363,,0
87,adriano's ristorante,310/475-9807,,1033,hyde street bistro,415/441-7778,,0
283,pisces,212/260-6660,,1281,,,119 macdougal st.  between 3rd and bleecker sts.,0
247,arnie morton's of chicago,310/246-1501,,352,,,1015 battery st.,0
303,,,35 w. 64th st.,1858,pisces,212-260-6660,,0
21,,,1397 n. highland ave.,44,bristol farms market cafe,310-643-5229,,0
311,,,252 california st.,476,,,308 w. sahara ave.,0
264,,,405 e. 58th st.,1257,,,3700 w. flamingo,0
178,brooklyn,,,75,american,,,0
46,smith & wollensky,212/753-1530,,1933,smith & wollensky,212-753-1530,,1
111,,,617 s. olive st.,1215,ruby's (la),818-796-7829,,0
73,campton place,415/955-5555,,1095,campton place,415-955-5555,,1
273,les celebrites,212/484-5113,,2249,,,1186 n. highland ave.,0
171,uncle nick's,212/315-1726,,846,,,129 fremont st.,0
222,,,33 w. 55th st.,1471,ocean avenue,310/394-5669,,0
242,mesa grill,212/807-7400,,938,le montrachet bistro,702-732-5651,,0
66,,,22 hawthorne st.,79,east european,,,0
96,,,3201 fillmore st.,1511,,,3131 webster st.,0
89,,,34 e. 61st st.,268,,,122 e. 27th st.  between lexington and park aves.,0
190,pano's and paul's,404/261-3662,,2208,fusion,,,0
135,malibu,,,1358,,,14016 ventura blvd.,0
180,,,14016 ventura blvd.,708,,,401 s. 6th st.,0
7,,,2 harrison st.  near hudson st.,1068,martha's,310-376-7786,,0
51,lulu,415/495-5775,,1436,flowers,212/691-8888,,0
25,,,95 ave. a at 6th st.,57,coco loco,404/364-0212,,0
217,,,804 northpoint,669,,,4663 long beach blvd.,0
27,rose pistola,415/399-0499,,1079,,,200 e. fremont st.,0
2,fenix,213/848-6677,,963,katia's,415/668-9292,,0
33,delectables,404/681-2909,,1547,,,1514 n. gower st.,0
67,,,1110 3rd ave. at 65th st.,1222,,,1000 madison ave.  between 77th and 78th sts.,0
271,,,1232 w. paces ferry rd.,564,,,4 embarcadero center,0
329,tillerman,702/731-4036,,799,java jive,404-876-6161,,0
333,lespinasse,212/339-6719,,2143,,,50 macdougal st.  between houston and prince sts.,0
261,,,3130 piedmont road,632,,,340 stockton st.,0
111,,,617 s. olive st.,1360,da nico,212/343-1212,,0
213,,,1 w. 67th st.,2139,,,1517 polk st.,0
324,la folie,415/776-5577,,604,patria,212/777-6211,,0
314,,,12 e. 12th st.,1109,,,3209 maple dr.,0
37,oceana,212/759-5941,,926,,,424 amsterdam ave.,0
271,,,1232 w. paces ferry rd.,1082,restaurant horikawa,213/680-9355,,0
319,sign of the dove,212/861-8080,,1702,xunta,212/614-0620,,0
183,march,212/754-6272,,223,tommy's,213-389-9060,,0
89,,,34 e. 61st st.,1189,,,128 fremont st.,0
112,,,1 margaret mitchell sq.,1200,,,288 noe st.,0
195,,,243 e. 58th st.,1987,il cortile,212/226-6060,,0
30,,,13 w. 54th st.,563,cajun/creole,,,0
194,second avenue deli,212/677-0606,,44,bristol farms market cafe,310-643-5229,,0
51,lulu,415/495-5775,,427,,,2709 main st.,0
191,,,2316 polk st.,1298,,,62 spring st. at lafayette st.,0
232,gotham bar & grill,212/620-4020,,1471,ocean avenue,310/394-5669,,0
144,,,129 n. la cienega blvd.,2190,cucina della fontana,212-242-0636,,0
212,l'orangerie,310/652-9770,,922,,,134 n. la cienega,0
212,l'orangerie,310/652-9770,,1933,smith & wollensky,212-753-1530,,0
12,,,2880 las vegas blvd. s,2139,,,1517 polk st.,0
80,fleur de lys,415/673-7779,,287,sal anthony's,212/982-9030,,0
49,dawat,212/355-7555,,22,,,150 w. 46th st.,0
21,,,1397 n. highland ave.,1336,,,11 e. 53rd st.,0
250,cafe  ritz-carlton  buckhead,404/237-2700,,1013,brasserie le coze,404-266-1440,,0
255,,,99 e. 52nd st.,387,cafe renaissance,770/441--0291,,0
70,,,20 e. 76th st.,226,,,105 hudson st.,0
89,,,34 e. 61st st.,1318,bertolini's,404/233-2333,,0
180,,,14016 ventura blvd.,1233,fringale,415-543-0573,,0
6,rainbow room,212/632-5000,,193,fujiyama mama,212/769-1144,,0
127,grill on the alley,310/276-0615,,524,city grill,404/524-2489,,0
234,plumpjack cafe,415/563-4755,,1348,carta,415/863-3516,,0
34,hotel bel-air,310/472-1211,,1212,mad fish,212/787-0202,,0
230,,,60 w. 55th st.  between 5th and 6th ave.,1310,four seasons,212-754-9494,,0
138,le montrachet,702/732-5111,,1569,bar anise,212/355-1112,,0
286,boulevard,415/543-6084,,1899,,,522 9th ave. at 39th st.,0
105,,,1529 piedmont ave.,1575,morton's of chicago (las vegas),702-893-0703,,0
95,park avenue cafe,212/644-1900,,1407,lombardi's,212-941-7994,,0
162,,,545 post st.,1474,bone's restaurant,404-237-2663,,0
233,,,1972 n. hillhurst ave.,1011,,,10001 riverside dr.,0
14,chin's,702/733-8899,,1872,chin's,702-733-8899,,1
39,,,1737 post st.,1545,,,3570 las vegas blvd. s.,0
167,alain rondelli,415/387-0408,,78,,,21 e. 16th st.,0
61,matsuhisa,310/659-9639,,276,le colonial,212/ 752-0808,,0
99,,,402 w. 44th st.,1851,match,212/906-9173,,0
306,mi cocina,212/627-8273,,2087,,,3 225 e. 60th st.,0
333,lespinasse,212/339-6719,,1454,kokomo cafe,213-933-0773,,0
130,san domenico,212/265-5959,,955,,,4th and howard sts.,0
61,matsuhisa,310/659-9639,,151,abruzzi,404-261-8186,,0
27,rose pistola,415/399-0499,,1722,cucina di pesce,212-260-6800,,0
220,,,3000 w. paradise rd.,1180,,,3925 paradise rd.,0
195,,,243 e. 58th st.,982,gumbo pot  the,213-933-0358,,0
6,rainbow room,212/632-5000,,1840,bruno's,310-397-5703,,0
56,abruzzi,404/261-8186,,2012,,,148 w. 51st st.,0
288,,,200 e. fremont st.,1315,,,34 union sq. e at 16th st.,0
198,,,3125 piedmont rd.  near peachtree rd.,478,,,127 greene st.,0
3,,,570 4th st.,674,,,13329 washington blvd.,0
62,,,181 peachtree st.,2047,,,2345 cheshire bridge rd.,0
141,fringale,415/543-0573,,1585,,,3384 shallowford rd.  chamblee,0
302,,,2709 main st.,997,,,55 e. 54th st.,0
34,hotel bel-air,310/472-1211,,1205,layla,212/431-0700,,0
314,,,12 e. 12th st.,1143,rubicon,415/434-4100,,0
172,beverly hills,,,287,sal anthony's,212/982-9030,,0
131,,,210 e. 58th st.,1131,judson grill,212/582-5252,,0
39,,,1737 post st.,81,paty's,818/761-9126,,0
207,santa monica,,,961,,,430 broadway,0
322,daniel,212/288-0033,,443,daniel,212-288-0033,,1
3,,,570 4th st.,767,,,950 8th ave. at 56th st.,0
277,,,2450 broadway  between 90th and 91st sts.,927,pacifica,212/941-4168,,0
116,,,701 stone canyon rd.,1593,hi-life restaurant and lounge,212/249-3600,,0
53,,,12969 ventura blvd.,1198,art's deli,818-762-1221,,0
260,shun lee west,212/371-8844,,2018,,,9 jones st.,0
181,,,100 e. 63rd st.,1462,tavern on the green,212-873-3200,,0
91,georgia grille,404/352-3517,,159,,,8020 beverly blvd.,0
14,chin's,702/733-8899,,2015,sarabeth's,212-410-7335,,0
184,,,3115 pico blvd.,1235,cafe lalo,212-496-6031,,0
23,ciboulette,404/874-7600,,1136,le madri,212/727-8022,,0
112,,,1 margaret mitchell sq.,1401,,,1031 peachtree st. ne,0
190,pano's and paul's,404/261-3662,,1444,,,838 lincoln blvd.,0
65,granita,310/456-0488,,270,granita,310-456-0488,,1
303,,,35 w. 64th st.,1106,l'osteria del forno,415/982-1124,,0
224,aqua,415/956-9662,,739,,,2889 mission st.,0
230,,,60 w. 55th st.  between 5th and 6th ave.,1823,harry denton's,415/882-1333,,0
220,,,3000 w. paradise rd.,1431,my thai,404-636-4280,,0
18,,,8284 melrose ave.,2187,,,889 w. peachtree st.,0
57,,,12224 ventura blvd.,112,,,39 desbrosses st.  near west st.,0
155,,,201 w. 83rd st.,233,teresa's,212/228-0604,,0
239,,,624 s. la brea ave.,1857,,,930 hilgard ave.,0
178,brooklyn,,,1400,joss,310/276-1886,,0
264,,,405 e. 58th st.,1812,,,8 sixth st.,0
331,,,3434 peachtree rd.,1414,buca giovanni,415/776-7766,,0
35,,,1 mission st.,879,,,246 w. 4th st. at charles st.,0
288,,,200 e. fremont st.,1159,veselka,212-228-9682,,0
111,,,617 s. olive st.,455,milan cafe and coffee bar,212/807-1801,,0
229,union square cafe,212/243-4020,,998,,,underground underground mall  underground atlanta,0
33,delectables,404/681-2909,,255,pan-asian,,,0
107,felidia,212/758-1479,,621,,,840 second ave.,0
92,cafe bizou,818/788-3536,,765,,,8638 w. third st.,0
274,,,156 2nd ave. at 10th st.,2194,havana sandwich shop,404-636-4094,,0
43,toulouse,404/351-9533,,735,,,4 world financial center,0
112,,,1 margaret mitchell sq.,141,californian,,,0
184,,,3115 pico blvd.,731,circus circus,702/734-0410,,0
190,pano's and paul's,404/261-3662,,410,,,1322 grant st.,0
277,,,2450 broadway  between 90th and 91st sts.,2040,c3,212/254-1200,,0
117,,,55 e. 54th st.,303,khan toke thai house,415-668-6654,,0
233,,,1972 n. hillhurst ave.,1438,bistro 45,818-795-2478,,0
183,march,212/754-6272,,379,,,3700 w. flamingo rd.,0
206,,,255 courtland st.  at harris st.,487,,,69 w. 71st st.,0
82,,,3rd st.,213,,,1147 third st.,0
33,delectables,404/681-2909,,724,bally's big kitchen,702/739-4111,,0
267,,,5955 melrose ave.,715,bruno,212/688-4190,,0
165,,,160 e. 64th st.,785,stefano's,702-385-7111,,0
96,,,3201 fillmore st.,1822,,,45 mercer st.  between broome and grand sts.,0
162,,,545 post st.,2151,stars,415/861-7827,,0
132,cafe des artistes,212/877-3500,,1222,,,1000 madison ave.  between 77th and 78th sts.,0
81,jo jo,212/223-5656,,1807,monsoon (ny),212-580-8686,,0
267,,,5955 melrose ave.,519,hollywood hills coffee shop,213-467-7678,,0
122,the palm,310/550-8811,,2065,,,2225 irving st.,0
152,,,1 water st. at the east river,1485,,,800 greenwich st.,0
227,,,3570 las vegas blvd. s,1479,oyster bar,212-490-6650,,0
29,montrachet,212/ 219-2777,,1388,,,8800 melrose ave.,0
274,,,156 2nd ave. at 10th st.,1197,ipanema,212/730-5848,,0
111,,,617 s. olive st.,1029,alley's end,212/627-8899,,0
195,,,243 e. 58th st.,2208,fusion,,,0
141,fringale,415/543-0573,,1872,chin's,702-733-8899,,0
260,shun lee west,212/371-8844,,1348,carta,415/863-3516,,0
306,mi cocina,212/627-8273,,854,mi cocina,212-627-8273,,1
7,,,2 harrison st.  near hudson st.,1666,roosevelt tamale parlor,415-550-9213,,0
234,plumpjack cafe,415/563-4755,,1807,monsoon (ny),212-580-8686,,0
216,chinois on main,310/392-9025,,1477,,,32 spring st.,0
255,,,99 e. 52nd st.,1170,mayflower cuisinier,702-870-8432,,0
319,sign of the dove,212/861-8080,,1284,,,640 sacramento st.,0
216,chinois on main,310/392-9025,,1743,,,169 sullivan st.  between houston and bleecker sts.,0
167,alain rondelli,415/387-0408,,2233,dawat,212-355-7555,,0
202,,,9001 santa monica blvd.,659,,,208 e. 58th st.  between 2nd and 3rd aves.,0
93,,,7 claude la.,1266,margarita's mexican cantina,702/794-8200,,0
330,,,435 s. la cienega blv.,108,,,2 new montgomery st.  at market st.,0
180,,,14016 ventura blvd.,901,,,350 9th ave. at 49th st.,0
233,,,1972 n. hillhurst ave.,1406,,,3200 las vegas blvd. s.,0
139,,,249 e. 50th st.,1907,,,340 w. broadway at grand st.,0
78,,,2 e. 55th st.,778,,,201 w. 83rd st.,0
194,second avenue deli,212/677-0606,,775,,,1393a 2nd ave.  between 72nd and 73rd sts.,0
89,,,34 e. 61st st.,1814,,,2 e. 61st st.,0
39,,,1737 post st.,1377,,,70 w. 68th st.,0
299,,,595 piedmont ave.  rio shopping mall,451,anthonys,404/262-7379,,0
135,malibu,,,122,global,212/477-8427,,0
337,,,854 7th ave.  between 54th and 55th sts.,604,patria,212/777-6211,,0
299,,,595 piedmont ave.  rio shopping mall,1979,,,348 e. 62nd st.,0
301,buckhead diner,404/262-3336,,1062,,,325 e. 14th st.  between 1st and 2nd aves.,0
330,,,435 s. la cienega blv.,60,picholine,212-724-8585,,0
183,march,212/754-6272,,1038,,,600 5th ave.,0
38,,,152 w. 44th st.,1718,cafe sunflower,404-256-1675,,0
85,,,8358 sunset blvd. west,2066,swan oyster depot,415-673-1101,,0
303,,,35 w. 64th st.,122,global,212/477-8427,,0
159,,,340 stockton st.,1201,sally's cafe & bakery,415-626-6006,,0
254,seryna,212/980-9393,,1399,,,8720 sunset blvd.,0
53,,,12969 ventura blvd.,611,roettelle a. g,212/674-4140,,0
78,,,2 e. 55th st.,1677,,,145 n. atlantic blvd.,0
117,,,55 e. 54th st.,1875,lemongrass grill,718-399-7100,,0
234,plumpjack cafe,415/563-4755,,1044,firehouse,212/595-3139,,0
306,mi cocina,212/627-8273,,969,nava,404-240-1984,,0
283,pisces,212/260-6660,,1858,pisces,212-260-6660,,1
167,alain rondelli,415/387-0408,,1467,,,24-02 31st st.,0
330,,,435 s. la cienega blv.,1001,uncle nick's,212-245-7992,,0
319,sign of the dove,212/861-8080,,504,,,298 gough st.,0
