_id,label,table1.id,table2.id,table1.title,table2.title,table1.manufacturer,table2.manufacturer,table1.price,table2.price
67,1,268,3128,world of rainbow fish,world of rainbow fish ( a9839m2h ),global-software-publishing,global-software-publishing,19.99,19.19
68,0,346,3095,mcafee internet security suite 2007 3 users,f-secure internet security 2007 3 pcs ( global marketing partners ),mcafee,global-marketing-partners,89.99,63.35
69,0,138,1819,sonicwall gms standard edition 10 node license,01-ssc-7309 sonicwall cfs standard edition for sonicwall pro 1260/2040/3060 / 4060 subscript,sonicwall,,,2124.92
70,0,523,1169,microsoft windows vista ultimate full version [ dvd ],microsoft ( r ) windows vista ( tm ) home premium,microsoft,,399.95,239.99
71,1,994,828,irispen express translator,iris inc irispen express translator,iris,,149.99,142.29
72,0,518,3029,microsoft office 2004 standard upgrade ( mac ),microsoft mappoint 2006 with gps locator ( pc ),microsoft,,239.99,349.99
73,0,553,1564,adobe indesign cs3 upgrade from pagemaker,adobe dreamweaver cs3 upgrade windows,adobe,,199.0,236.74
74,0,225,3199,microsoft powerpoint 2004 ( mac ),microsoft ( r ) office ultimate 2007,microsoft,,229.99,539.95
75,0,951,533,microspot macdraft professional ( mac ),adobe acrobat v8 .0 professional for mac,microspot ltd.,,349.99,405.99
76,0,157,1135,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe photoshop cs3 extended complete package 1 user academic cd mac,adobe systems inc,,,279.0
77,1,1299,697,snap ! spelling ( jewel case ),spelling,topics entertainment,,19.95,4.93
78,0,137,1758,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),bhe3dus installanywhere enterprise edition v. 8 product upgrade license + 1 year,netmanage,,,4746.16
79,0,355,793,zonealarm internet security suite,panda software panda internet security 2007,zone labs,,49.99,69.99
80,0,1136,3185,mediafour macdrive 6 for windows,quark quarkxpress 7 upgrade for mac & windows,mediafour corporation,,49.99,244.99
81,0,1177,1163,microsoft office student and teacher edition 2004 macintosh,microsoft ( r ) office 2004 for mac student and teacher edition,microsoft,,149.99,146.95
82,1,571,3027,microsoft visio standard 2007 version upgrade,microsoft office visio standard 2007 upgrade ( pc ),microsoft,,129.95,129.95
83,0,320,3063,quicken 2007 premier,quickbooks pro 2007 3 user,intuit,intuit,79.95,398.99
84,0,518,3091,microsoft office 2004 standard upgrade ( mac ),microsoft ( r ) word 2007,microsoft,,239.99,109.99
85,0,1242,1385,peachtree by sage premium accounting 2007,laser checks for peachtree ( r ) accounting for windows 8.0-2005,sage software,,499.99,106.29
86,0,572,192,adobe dreamweaver cs3 upgrade,adobe cs3 flash professional upgrade,adobe,,199.0,205.99
87,1,457,2622,national geographic presents : redshift 5 planetarium software,redshift 5 ( national geographic presents ) ( win 98 me 2000 xp ),topics entertainment,,39.99,39.99
88,0,40,2067,the print shop 22 deluxe,encore software 11941 the print shop zoom,encore,,49.99,17.97
89,0,934,2999,panda antivirus 2007,norton antivirus 2007 3 user pack,panda software,,29.95,49.95
90,0,736,367,adobe creative suite cs3 production premium upgrade,adobe acrobat v8 .0 professional for mac upgrade,adobe,,799.0,145.99
91,0,990,2172,power production storyboard artist 4,power production storyboard quick 5 software for mac and windows animation software,power production,,,299.0
92,0,661,566,adobe cs3 design standard macosx dvd,adobe cs3 web standard,adobe,,399.0,1035.99
93,0,1242,1273,peachtree by sage premium accounting 2007,peachtree ( r ) compatible continuous checks-office accounting 12.0,sage software,,499.99,91.59
94,0,592,897,adobe after effects cs3 upgrade,adobe contribute cs3 upgrade,adobe,,299.0,82.99
95,0,551,1757,symc backup exec sbs aws 11d win sbs agent for windows systems,10759328 symantec backup exec 11d for windows servers agent for db2 on windows servers -,symantec,,447.74,644.84
96,0,763,3116,station access collection,ultimate puzzle collection,sony-creative-software,,29.99,9.95
97,0,371,1514,microsoft powerpoint 2004 upgrade ( mac ),microsoft windows vista home basic upgrade ( pc ),microsoft,,109.99,99.99
98,0,1145,2816,microsoft office 2004 standard ( mac ),microsoft word 2007 upgrade ( pc ),microsoft,,399.99,109.95
99,0,105,3016,instant immersion spanish ( audio book ),instant immers italian dlux 2 .,topics entertainment,,,36.11
100,0,1098,1248,rollercoaster tycoon 3 ( mac ),roller coaster tycoon 3 for pc,aspyr media,,49.99,29.99
101,0,1246,199,peachtree by sage complete accounting 2007,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,269.99,1180.37
102,0,918,2602,recam remote monitoring software,corel ulead dvd workshop 2 authoring software,mobi-technologies-inc .,,129.0,299.95
103,0,586,2112,quickbooks premier professional services edition 2007,adobe production premium cs3 software suite for windows professional editing software,intuit,,399.95,1698.95
104,1,1011,807,logic pro 6 upgrade from logic platinum/gold 5 & 6,apple software t9161ll/a logic platinum / gold 5 & 6 to logic pro 6 update,apple,apple software,199.99,149.0
105,0,947,1685,britannica deluxe,britannica deluxe 2008,avanquest software,,29.95,26.5
106,0,369,2089,tlc arthur 's kindergarten learning system 2008,encore software 13871 tlc reader rabbit 1st grade learning system 2008,encore,,19.99,17.97
107,0,283,3106,tonka town ( jewel case ),geometry ( win/mac ) ( jewel case ) ( 10158 ),atari,,9.99,9.59
108,0,1269,2926,punch 5 in 1 home design,punch software 41100 punch ! home design architectural series 18,punch ! software,punch software,39.99,118.99
109,0,412,950,adobe creative suite cs3 web premium upsell [ mac ],adobe cs3 master collection upsell from cs1,adobe,,1399.0,2054.99
110,0,741,2860,illustrator cs3 13 mac ed 1u,adobe illustrator cs3 ( mac ),adobe-education-box,,199.0,599.0
111,1,584,2818,microsoft windows vista business full version [ dvd ],microsoft windows vista business ( pc ),microsoft,,299.95,299.99
112,0,925,2804,instant play guitar deluxe v2 .,instant immersion spanish deluxe 2.0 topics,topics entertainment,,39.48,39.99
113,0,662,2513,microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),microsoft,microsoft,669.0,688.99
114,0,1080,2011,adventure workshop 4th-6th grade 7th edition,encore software 10590 adventure workshop preschool 1st grade 7th ed sb cs by riverdeep,encore software,,19.99,17.97
115,0,1345,2757,jumpstart advanced preschool v2 .0,jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure,knowledge adventure,,19.99,19.99
116,1,378,2628,aquarium 3-in-one collection ( win/mac ),aquarium 3-in-one limited edition ( win 95 98 me 2000 xp/mac 10.1 or higher ),encore software,,19.99,19.95
117,0,924,1118,hoyle casino ( 2007 ),hoyle ( r ) card games 2007,encore,,19.99,19.99
118,0,649,69,mcafee total protection 2007 3 users,mtp07emb3rua mcafee total protection 2007 complete package 3 users cd mini-box wi,mcafee,,99.99,86.94
119,0,522,2959,microsoft visio standard 2007,microsoft windows vista business full version,microsoft,,259.95,249.95
120,0,26,3019,adobe premiere pro cs3 upgrade,premiere pro cs3 mac,adobe,,299.0,808.15
121,0,128,1789,procurve vpn client software unlimited client licenses,sr2116010 safenet softremote vpn client license 5 users win,hewlett packard,,,184.57
122,0,772,151,adobe illustrator cs3 [ mac ],adobe indesign cs3 for mac upgrade,adobe,,599.0,205.99
123,0,1272,1032,punch ! home design architectural series 18,punch software 38100 punch ! super home suite complete product architectural 1 user complete productcomplete productstandard english pc,punch ! software,,129.99,45.97
124,0,606,1183,microsoft office 2004 professional ( mac ),web easy ( r ) professional 6,microsoft,,499.99,49.99
125,0,858,1159,microsoft onenote 2007 upgrade,microsoft ( r ) office 2004 for mac standard edition upgrade version,microsoft,,79.95,234.95
126,0,412,426,adobe creative suite cs3 web premium upsell [ mac ],adobe cs3 production premium upgrade,adobe,,1399.0,822.99
127,0,333,2524,adobe after effects 7.0 professional ( mac ),adobe after effects cs3 professional software for windows effects software,adobe,,999.0,998.95
128,0,371,1162,microsoft powerpoint 2004 upgrade ( mac ),microsoft ( r ) access 2007,microsoft,,109.99,109.99
129,0,838,2209,computrace lojack for laptops 3 year license ( mac ),absolute software lfl-n2-36 computrace lojack for laptops 3 year license ( win 2000 xp ),absolute software,,99.95,85.97
130,0,1287,1033,punch ! 5 in 1 home design,punch software 84100 punch ! home design architectural series 4000 v. 10.0 architectural pc,punch ! software,,39.99,168.97
131,0,635,403,family tree maker version 16 essentials,encore inc family tree maker 2008 platinum,encore,,29.95,85.07
132,0,1055,243,high school advantage 2007,encore inc math advantage 2008,encore software,,29.95,33.89
133,0,157,2503,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),adobe premiere elements 3 and photoshop elements 5 software for windows consumer video editing software,adobe systems inc,,,149.95
134,0,593,371,adobe indesign cs3 upgrade [ mac ],adobe photoshop cs3 for mac upgrade,adobe,,199.0,189.99
135,1,955,851,turbocad mac 3d for mac,imsi design llc turbocad mac 3d,imsi,,249.99,204.67
136,0,512,2154,microsoft windows xp professional upgrade with sp2,adobe after effects professional 7 software for windows effects software,microsoft software,,199.99,999.0
137,0,320,264,quicken 2007 premier,intuit inc quickbooks premier edition 2007 5 user,intuit,,79.95,1309.31
138,0,753,2206,microsoft office & windows training professional,microsoft office 2004 software suite oem mac apple & mac software,topics entertainment,,49.95,239.95
139,1,586,2530,quickbooks premier professional services edition 2007,intuit quickbooks premier professional services edition 2007 software win tax & finance software,intuit,,399.95,349.95
140,0,139,1763,adobe creative suite cs3 design premium upsell [ mac ],29500244 adobe creative suite 3 design premium product upgrade package 1 user upgra,adobe,,1599.0,1687.48
141,0,923,897,adobe illustrator cs3 upgrade [ mac ],adobe contribute cs3 upgrade,adobe,,199.0,82.99
142,0,93,1512,microsoft office frontpage 2003 academic version windows ),microsoft w87-02380 office sbe 2007 win32,microsoft,,159.98,400.34
143,0,393,137,microsoft visual studio test agent 2005 cd 1 processor license,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft software,,5099.0,757.74
144,0,541,2837,microsoft onenote 2007,microsoft money 2007 home and business ( pc ),microsoft,,99.95,89.99
145,0,1246,1236,peachtree by sage complete accounting 2007,peachtree ( r ) complete iii for dos 5.0-10 .0 continuous checks,sage software,,269.99,144.59
146,0,613,3113,math missions : the amazing arcade adventure grades 3-5,math missions : the race to spectacle city arcade ( grades k-2 ),scholastic,,19.99,8.49
147,0,654,367,acrobat professional 8 ( windows ),adobe acrobat v8 .0 professional for mac upgrade,adobe,,273.0,145.99
148,0,1176,2201,valuesoft tune transfer for ipod software for windows xp,adobe captivate 2 software for windows presentation software,valuesoft,,29.95,598.95
149,0,326,3,math missions : the race to spectacle city arcade ( grades k-2 ),math missions : the amazing arcade adventure ( grades 3-5 ),scholastic,,29.95,12.95
150,0,571,137,microsoft visio standard 2007 version upgrade,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,microsoft,,129.95,757.74
151,0,362,3099,national geographic photo gallery ( jewel case ),merriam-webster 's dictionary ( win/mac ) ( jewel case ) ( 10462 ),topics entertainment,,9.99,9.59
152,0,3,1256,peachtree by sage premium accounting for nonprofits 2007,peachtree ( r ) compatible continuous forms-accounting for windows 8.0-2004 version,sage software,,599.99,199.99
153,1,660,235,usa/world extreme landscapes bundle,abacus usa/world extreme landscapes bundle,abacus,,39.95,38.43
154,0,1266,2614,sony sound forge audio studio 8,sony creative software sound forge audio studio v. 8.0 complete product,sony-pictures-digital-entertainment,,69.99,55.29
155,0,132,1640,upgrade emc retrospect 7.5 multi server windows only,retrospect 7.5 prof win upg only pz24a0075,dantz,emc,,54.68
156,0,804,2401,digidesign music production toolkit ( pro tools le ),make songwriter software music production software,digidesign,,495.0,37.95
157,0,1284,3026,punch ! master landscape & home design,punch software 90500 home design studio mac,punch ! software,punch software,99.99,135.99
158,0,606,3160,microsoft office 2004 professional ( mac ),microsoft ( r ) windows ( r ) xp professional edition with sp2,microsoft,,499.99,199.99
159,0,837,2606,adobe photoshop cs3 extended upgrade [ mac ],adobe photoshop cs3 extended software full version for macintosh,adobe,,349.0,969.0
160,0,689,2932,family tree maker version 16 collectors edition,encore software 10881 family tree maker version 16 standard sb cs by family tree maker,encore software,,,42.97
161,0,44,3022,instant immersion language lab deluxe edition,instant immersion 33 languages,topics entertainment,,,47.36
162,0,78,288,emedia intermediate guitar method os x,emedia music corp emedia intermediate guitar method,emedia,,59.99,49.21
163,0,1111,127,apple final cut studio 2 ( mac ),ma888z/a final cut studio v. 2 version upgrade package 1 seat dvd mac,apple,,1299.0,460.7
164,0,1101,2889,steinberg cubase studio 4,steinberg studio case 2 music production system educational discount music production software,steinberg,,499.99,164.95
165,0,1105,2161,punch ! master landscape & home design,instant landscape design 3.0,punch ! software,,59.99,17.9
166,0,944,1117,registry mechanic by encore software,software,encore software,,46.52,736.95
167,0,986,2130,cubase 4 competitive crossgrade,steinberg wavelab studio 6 audio editing software competitive crossgrade music production software,steinberg ( yamaha ),,549.99,199.95
168,1,95,1630,autocad 2007 courseware customizing the interface,autocad 2007 coursewarecustomizing the interface,autodesk psg,,47.95,39.69
169,1,759,1949,humorous greeting card factory,nova development ghw humorous greeting card factory,nova development,nova development,29.99,29.99
170,0,1287,783,punch ! 5 in 1 home design,punch software 20100 punch ! 5 in 1 home design,punch ! software,punch software,39.99,35.99
171,0,322,2308,adobe premiere pro 2.0,adobe premiere pro cs3 video editing software for mac av production software,adobe,,849.0,798.95
172,0,146,2816,microsoft mappoint 2006 standard edition,microsoft word 2007 upgrade ( pc ),microsoft,,299.0,109.95
173,0,256,1774,hallmark card studio 2005 deluxe,sierrahome hse hallmark card studio special edition win 98 me 2000 xp,sierra home,sierrahome,49.99,19.26
174,0,274,3021,instant immersion italian 2.0,instant immers spanish dlux 2,topics entertainment,,29.99,36.11
175,1,1158,912,burning monkey solitaire 2005 edition,freeverse burning monkey solitaire 3d,freeverse software,,24.99,24.99
176,0,378,2993,aquarium 3-in-one collection ( win/mac ),fallout collection ( dvd-rom ),encore software,,19.99,24.49
177,0,348,2165,microsoft office & windows training,microsoft microsoft office pro 2004 software suite mac apple & mac software,topics entertainment,,29.99,498.95
178,0,1170,1085,steinberg cubase 4 digital audio software,sony media software sound forge 9 digital audio production suite music production software,steinberg,,999.99,299.95
179,0,737,955,adobe photoshop cs2 ( mac ) [ old version ],adobe pagemaker 7.0 for mac version upgrade,adobe,,649.0,79.99
180,0,175,2833,diskeeper 2007 professional single lic pack,microsoft office accounting professional 2007 ( pc ),diskeeper corporation,,79.21,229.95
181,0,516,531,adobe creative suite cs3 design premium upgrade [ mac ],adobe cs3 web premium upgrade,adobe,,599.0,517.99
182,0,1264,2426,punch ! professional home design suite,punch software 14100 punch ! home design suite professional architectural 1 user ( s ) pc,punch ! software,,69.99,59.97
183,0,176,3022,instant immersion japanese ( audio book ),instant immersion 33 languages,topics entertainment,,,47.36
184,0,1244,1319,peachtree by sage pro accounting 2007,laser checks for peachtree ( r ) accounting for windows 8.0-2005,sage software,,169.99,106.29
185,0,1095,952,allume aquazone seven seas deluxe,allume aquazone bass edition,allume,smith-micro-software,38.89,19.99
186,0,1013,3192,marine aquarium 2.0 ( pc & mac ),marine aquarium & goldfish aquarium,encore,,29.99,19.99
187,1,262,1122,hp sp linux we 50 lic/cd 3.0 c t3586a ),sp linux we 50 lic/cd 3.0 c,hewlett-packard - ( consumables ),hewlett-packard - ( consumables ),,69216.95
188,1,348,1585,microsoft office & windows training,microsoft office and windows training ( win 98 me nt 2000 xp ),topics entertainment,,29.99,29.95
189,1,180,1542,textbridge pro 11,scansoft textbridge pro v. 11,nuance-communications-inc .,nuance-communications-inc .,79.99,68.99
190,0,382,2112,adobe production studio premium,adobe production premium cs3 software suite for windows professional editing software,adobe,,1699.0,1698.95
191,0,572,485,adobe dreamweaver cs3 upgrade,adobe illustrator cs3 upgrade from freehand for mac,adobe,,199.0,206.99
192,0,597,3161,adobe creative suite cs3 design premium [ mac ],adobe creative suite 3 ( cs3 ) design suite standard upgrade ( upsell ) mac,adobe,,1799.0,859.96
193,0,497,915,microsoft data analyzer 2002,microsoft office 2004 std upgrade,microsoft,,179.0,219.99
194,0,157,744,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),prw photo explosion deluxe v. 3.0 complete package 1 user cd win,adobe systems inc,,,47.6
195,0,250,362,adobe after effects professional 7.0,adobe acrobat v8 .0 professional for mac academic,adobe,adobe-education-box,999.0,159.99
196,0,1290,1048,punch ! home design architectural series 4000 v10,punch software 42100 punch ! home design architectural series 18 complete product architectural 1 user ( s ) complete product standard english pc,punch ! software,,199.99,108.97
197,0,827,2291,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software,apple/emagic logic pro 7.2 software music production software,m-audio,,299.99,999.0
198,0,731,1475,instant immersion italian platinum,instant immersion japanese ( audio book ) ( audio book ),topics entertainment,,129.99,19.95
199,0,917,2290,elementary advantage 2008,encore software 12361 encore elementary advantage 2008 training/wbt pc,encore software,,,33.97
200,0,652,499,quickverse mac bible study 2007 white box,findex.com inc quickverse mac bible study 2007 gold box,findex,,59.95,215.42
201,0,827,2471,m-audio pro tools m-powered 7.3 m-audio compatible world-class production software,adobe soundbooth cs3 audio editing software windows music production software,m-audio,,299.99,198.95
202,0,965,2759,pinnacle mobile media organizer,pinnacle mobile media converter software for windows ipod software,pinnacle,,49.99,29.95
203,1,876,2473,adobe soundbooth cs3 [ mac ],adobe soundbooth cs3 audio editing software mac music production software,adobe,,199.0,198.95
204,0,1145,2877,microsoft office 2004 standard ( mac ),microsoft office outlook 2007,microsoft,,399.99,109.95
205,0,516,369,adobe creative suite cs3 design premium upgrade [ mac ],adobe cs3 design premium upsell,adobe,,599.0,1639.99
206,0,223,82,symantec client security 3.1 with groupware protection business pack 50 user,10517940 symantec client security with groupware protection business pack v. 3.1 -,symantec,,3732.0,3323.92
207,0,79,3063,ca internet security suite 2007 3 user,quickbooks pro 2007 3 user,computer associates,intuit,69.95,398.99
208,0,517,1180,adobe photoshop cs3 [ mac ],adobe ( r ) photoshop ( r ) 7.0 upgrade for pc,adobe,,649.0,679.99
209,0,781,1207,microsoft excel 2004 ( mac ),microsoft ( r ) works suite 2006,microsoft,,229.99,99.99
210,0,348,1643,microsoft office & windows training,microsoft windows vista business 32-bit oem,topics entertainment,,29.99,149.99
211,0,823,2257,microsoft word 2004 upgrade ( mac ),microsoft excel 2004 spreadsheet software mac apple & mac software,microsoft,,109.99,228.95
212,0,1289,983,business card factory deluxe 3.0,nova greeting card factory for mac,nova development,,29.99,41.99
213,0,734,2862,middle school success essentials,middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,29.99,49.99
214,0,1293,312,systemsuite 8 professional,sibelius sibelius photoscore professional 4,individual software,,49.99,145.7
215,0,114,1367,quickbooks pos : pro multistore 6.0,quickbooks ( r ),intuit inc.,,1399.95,103.99
216,0,937,1708,symc backup exec sbs std 11d win small business server standard,10759333 symantec backup exec 11d for windows servers central admin server option compl,symantec,,811.21,1219.72
217,0,531,1773,microsoft windows server 2003 client additional license for users-5 pack,f89-00346 microsoft internet security and acceleration server enterprise edition license,microsoft,,809.0,537.72
218,0,1279,3134,palo alto business plan pro premier 2007,quicken ( r ) premier 2007,palo-alto-software,,199.0,79.99
219,1,40,2050,the print shop 22 deluxe,the printshop v22 deluxe,encore,,49.99,29.9
220,0,781,2600,microsoft excel 2004 ( mac ),microsoft word 2004 upgrade for mac os x apple & mac software,microsoft,,229.99,108.95
221,0,1185,313,3d home architect landscape design deluxe version 9,encore inc 3d home architect home design deluxe version 9,encore,,29.99,25.49
222,0,859,554,onone software intellihance pro 4.1,onone software plug-in suite full,onone software,,,393.68
