tableA_id,tableA_title,tableA_authors,tableA_venue,tableA_year,tableB_id,tableB_title,tableB_authors,tableB_venue,tableB_year,label
449,Improving OLTP Data Quality Using Data Warehouse Mechanisms,"Matthias Jarke, Dirk Lehmann, Gunter Michalk, Guido Blees, Stefan Striel, Christoph Quix",SIGMOD Conference,1999,11702,Improving OLTP Data Quality Using Data Warehouse Mechanisms,"M Jarke, C Quix, G Blees, D Lehmann, G Michalk","SIGMOD Conference,",1999.0,1
1516,MQSeries and CICS Link for Lotus Notes,?,SIGMOD Record,1996,11380,On the correlation of Internet flow characteristics,"K Lan, J Heidemann",,,0
1601,Hyperqueries: Dynamic Distributed Query Processing on the Internet,"Alfons Kemper, Christian Wiesner",VLDB,2001,18554,Surviving and Thriving,SA Cox,"NEW DIRECTIONS FOR HIGHER EDUCATION,",1996.0,0
2020,Continuous K-Nearest Neighbor Queries for Continuously Moving Points with Updates,"Hanan Samet, Ken Smith, Glenn S. Iwerks",VLDB,2003,14967,The Spiritual Dimensions of Lay Ministry Programs,CP Zeph,"New Directions for Adult and Continuing Education,",2000.0,0
1743,Querying Heterogeneous Information Sources Using Source Descriptions,"Anand Rajaraman, Alon Y. Levy, Joann J. Ordille",VLDB,1996,35783,A.(1993). Viscosity solutions of fully nonlinear partial differential equations with&quot; unbounded&quot;,SWI ECH,"Ph. D. dissertation, Univ. California, Santa",,0
432,Spatial Joins Using R-trees: Breadth-First Traversal with Global Optimizations,"Ning Jing, Yun-Wu Huang, Elke A. Rundensteiner",VLDB,1997,38595,"Global Market, Local Mayhem? Foreign Investment, Trade Openness, State Capacity, and Civil War, 1989","I de Soysa, A Wagner","Unpublished manuscript,",2003.0,0
1232,On the Costs of Multilingualism in Database Systems,"A. Kumaran, Jayant R. Haritsa",VLDB,2003,48231,On the Costs of Multilingualism in Database Systems,"A Kumaran, JR Haritsa","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",,1
513,A New SQL-like Operator for Mining Association Rules,"Giuseppe Psaila, Stefano Ceri, Rosa Meo",VLDB,1996,54581,The Research of Dual-Mode Electronic Cash System,"W Qian, Y Deli","Proceedings of 2002 International Conference on Management  &hellip;,",,0
1120,LH*RS: A High-Availability Scalable Distributed Data Structure using Reed Solomon Codes,"Thomas J. E. Schwarz, Witold Litwin",SIGMOD Conference,2000,25051,Tappi Pulp. Conf,N Liebergott,1994,,0
718,VQBD: Exploring Semistructured Data,"Jihwang Yeo, Sudarshan S. Chawathe, Thomas Baby",SIGMOD Conference,2001,4321,Real-Time ASL Recognition from Video Using HMM???s,"T Starner, A Pentland","Technical Report 375, Media Lab, Massachusetts Inst. of",,0
2286,The Garlic Project,"Manish Arya, Mary Tork Roth, Laura M. Haas, Joachim Thomas II, Michael J. Carey, Edward L. Wimmers, Peter M. Schwarz, William F. Cody, Ronald Fagin",SIGMOD Conference,1996,59828,Process evolution support in concurrent software process language environment,"SC Chou, JY Chen","Information and Software Technology,",1999.0,0
1309,Heraclitus: Elevating Deltas to be First-Class Citizens in a Database Programming Language,"Dean Jacobs, Shahram Ghandeharizadeh, Richard Hull",ACM Trans. Database Syst.,1996,23316,Probing guanine structure in nucleic acid folding using Nickel complexes,"CJ Burrows, SE Rokita","Acc. Chem. Res,",,0
2327,Filtering with Approximate Predicates,"Hector Garcia-Molina, Narayanan Shivakumar, Chandra Chekuri",VLDB,1998,11952,CMD: A multidimensional declustering method for parallel database systems,"L Jianzhong, J Srivastava, D Rotem","Proceedings of International Conference on VLDB, August,",,0
2269,Theory of dependence values,Rosa Meo,ACM Trans. Database Syst.,2000,24741,Deformation and volcanism in western Turkey and the Aegean,"D McKenzie, Y Yilmaz","Bull. Technical University of Istanbul,",,0
1994,Realm-Based Spatial Data Types: The ROSE Algebra,"Markus Schneider, Ralf Hartmut G?ting",VLDB J.,1995,60165,Divert: Fine-grained Path Selection for Wireless LANs,"A Miu, G Tan, H Balakrishnan, J Apostolopoulos",,,0
834,Extracting and Exploiting Structure in Text Search,Prabhakar Raghavan,SIGMOD Conference,2003,58350,Microcircuit Learning Nets: Hamming-Distance Behaviour,I Aleksander,"Electronic Letters,",,0
882,Information Sharing Across Private Databases,"Ramakrishnan Srikant, Rakesh Agrawal, Alexandre V. Evfimievski",SIGMOD Conference,2003,8480,Desirable versus undesirable life events: Their relationship to stress and mental distress,"A Vinokur, ML Selzer","Journal of Personality and Social Psychology,",1975.0,0
1247,Tribeca: A Stream Database Manager for Network Traffic Analysis,Mark Sullivan,VLDB,1996,3622,Capture and age determination method for the Gadwall(Anas strepera),RJ Blohm,1977,,0
2424,GENESYS: A System for Efficient Spatial Query Processing,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",SIGMOD Conference,1994,34259,Gene Sys: A System for Efficient Spatial Query Processing,"T Brinkhoff, HP Kriegel, R Schneider, B Seeger","Proceedings of the 1994 ACM SIGMOD international conference  &hellip;,",1994.0,1
2409,On XML and Databases: Where's the Beef? (Panel Abstract),Michael J. Carey,SIGMOD Conference,2000,56118,Nonlinear Dynamics in Homogeneous Azeotropic Distillation,JFC Dorn,,,0
785,Incremental Maintenance of Externally Materialized Views,"Martin Staudt, Matthias Jarke",VLDB,1996,1683,A Desk-Supported Computer-Based Interacting with Paper Documents,"W Newman, P Wellner",Proc. ACM,,0
1209,Evolution of Groupware for Business Applications: A Database Perspective on Lotus Domino/Notes,"C. Mohan, S. Watts, Ron Barber, Amit Somani, Markos Zaharioudakis",VLDB,2000,38304,"Evaluating Public Services: A Case Study on Bangalore, India",S Paul,"New Directions for Program Evaluation,",1995.0,0
442,A cost model for query processing in high dimensional data spaces,Christian B?hm,ACM Trans. Database Syst.,2000,30695,On Newton???s method for singular problems,"A GRIEWANK, MR OSBORNE",submitted for,,0
2374,Dynamic Resource Brokering for Multi-User Query Execution,"Diane L. Davison, Goetz Graefe",SIGMOD Conference,1995,56459,Antidepressant Drugs,GM Everett,Proc. Int. Symp.,,0
973,"Gangam - A Solution to Support Multiple Data Models, their Mappings and Maintenance","Elke A. Rundensteiner, Gail Mitchell, Wang-Chien Lee, Harumi A. Kuno, Xin Zhang, Hong Su, Kajal T. Claypool",SIGMOD Conference,2001,48798,"Sangam-a solution to support multiple data models, their mappings and maintenance","KT Claypool, EA Rundensteiner, X Zhang, S Hong, H","ACM SIGMOD Record,",2001.0,1
70,Static Analysis Techniques for Predicting the Behavior of Active Database Rules,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",ACM Trans. Database Syst.,1995,42026,Middleware support for Data-Mining and knowledge discovery in large scale distributed systems,A Bestravos,proceedings of ACM,,0
2479,Report from the NSF Workshop on Workflow and Process Automation in Information Systems,"Dimitrios Georgakopoulos, Stef Joosten, Marek Rusinkiewicz, Alexander L. Wolf, Walt Scacchi, Amit P. Sheth, Jack C. Wileden",SIGMOD Record,1996,10738,and A. Wolf. Report from the NSF Workshop on Workflow and Process Automation in Information Systems,"A Sheth, D Georgakopoulos, S Joosten","Technical report, University of Georgia, 1996. Available via URL",,1
2132,Fast-Start: Quick Fault Recovery in Oracle,"Ashok Joshi, Ron Weiss, Amit Ganesh, Tirthankar Lahiri",SIGMOD Conference,2001,35871,"Zeist: AD Druk, 1992",LK Steels,,,0
1503,Lifestreams: A Storage Model for Personal Data,"Eric Freeman, David Gelernter",SIGMOD Record,1996,4128,Real-Time Specification Inheritance Anomalies and Real-Time Filters,"M Aksit, J Bosch, W Van der Sterren, L Bergmans","LECTURE NOTES IN COMPUTER SCIENCE,",1994.0,0
398,"Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999","Fernando Berzal Galiano, Nicol?s Mar?n",SIGMOD Record,2003,57158,Priority in DBMS resource scheduling,"MJ Carey, R Jauhari, M Livny",1989,,0
1701,Metadata for Integrating Speech Documents in a Text Retrieval System,"Martin Wechsler, Ulrike Glavitsch, Peter Sch?uble",SIGMOD Record,1994,56380,Correct Execution of Transactions at Different Isolation Levels,S Lu,"Knowledge and Data Engineering, IEEE Transactions on,",2004.0,0
2428,An Active Functionality Service for E-Business Applications,"Mariano Cilia, Alejandro P. Buchmann",SIGMOD Record,2002,39680,Childhood and society,EH Enikson,"New York,",,0
1584,The Implementation and Performance of Compressed Databases,"Till Westmann, Sven Helmer, Guido Moerkotte, Donald Kossmann",SIGMOD Record,2000,18310,: A Description Logics Based Tool for Schema Validation and Semantic Query Optimization in Object,"S Bergamaschi, C Sartori, D Beneventano, M Vincini",,,0
762,Distributed Processing over Stand-alone Systems and Applications,"Claus Hagen, Hans-J?rg Schek, Gustavo Alonso, Markus Tresch",VLDB,1997,21451,Education in the United States [CD-ROM],AG Powell,"Microsoft?® Encarta,",,0
1476,Illustra's Web DataBlade Module,John Gaffney,SIGMOD Record,1996,31432,Evaluating and improving remedial training programs.,D Baugher,"New Directions for Program Evaluation,",1981.0,0
2119,Histogram-Based Approximation of Set-Valued Query-Answers,"Viswanath Poosala, Yannis E. Ioannidis",VLDB,1999,1530,Antagonistic and agonistic effects of an extracellular fragment of nectin on formation of E-cadherin,"T Honda, K Shimizu, T Kawakatsu, M Yasumi, T","Genes to Cells,",2003.0,0
2313,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,"Chih-He Li, Irene S. Y. Kwan, Shi-Ming Huang",SIGMOD Record,2002,22426,A Study on the Management of Semantic Transaction for Efficient Data Retrieval,"SM Huang, I Kwan, CH Li","SIGMOD Record,",2002.0,1
2166,Research issues for data communication in mobile ad-hoc network database systems,"Leslie D. Fife, Le Gruenwald",SIGMOD Record,2003,19259,Neo-realism in International Relations,S Chatterjee,"INTERNATIONAL STUDIES-BOMBAY THEN NEW DELHI-,",1997.0,0
614,How System 11 SQL Server Became Fast,T. K. Rengarajan,VLDB,1996,24939,Multiprocessor Hash-Based Join Algorithms,D Dewitt21 Dewitt??¦,Proceedings of,,0
273,Constructing the Next 100 Database Management Systems,"Andreas Geppert, Klaus R. Dittrich",SIGMOD Record,1994,57050,Dynamic inference control,J Staddon,,,0
2406,Order-of-Magnitude Advantage of TPC-C Though Massive Parallelism,Charles Levine,SIGMOD Conference,1995,58559,"The Cover Pebbling Number of Graphs,(2004)","B Crull, T Cundiff, P Feltman, GH Hurlbert, L",,,0
386,Report on the Second IEEE Metadata Conference (Metadata '97),"Chris Miller, Ron Musick",SIGMOD Record,1998,22485,Does NYSE Listing Affect Firm Visibility?,"HK Baker, GE Powell, DG Weaver",,,0
102,Implementing Data Cubes Efficiently,"Anand Rajaraman, Jeffrey D. Ullman, Venky Harinarayan",SIGMOD Conference,1996,38568,The fate of irrelevant information in analogical mapping,"CH Stilwell, AB Markman",,,0
339,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,"Riza Cenk Erdur, Oguz Dikenelli",SIGMOD Record,2002,24403,The Valuation Effects of Equity Issues and the Level of Institutional Ownership: Evidence From,"PA Brous, O Kini",,,0
2466,A General Techniques for Querying XML Documents using a Relational Database System,"Stratis Viglas, Eugene J. Shekita, Rajasekar Krishnamurthy, Jayavel Shanmugasundaram, Jeffrey F. Naughton, Jerry Kiernan, Igor Tatarinov",SIGMOD Record,2001,4894,Implementation Techniques for Main Memory Database Systems,"DJDWRH Katz, F Olken, LD Shapiro, MR Stonebraker,",mt. Proc. of ACM,,0
217,FeedbackBypass: A New Approach to Interactive Similarity Query Processing,"Paolo Ciaccia, Florian Waas, Ilaria Bartolini",VLDB,2001,45113,Campus Recycling: Everyone Plays a Part.,"R Ching, R Grogan","New Directions for Higher Education,",1992.0,0
1109,Microsoft Index Tuning Wizard for SQL Server 7.0,"Surajit Chaudhuri, Vivek R. Narasayya",SIGMOD Conference,1998,44992,Foundation Support for Administrative Advancement: A Mixed Record.,AR Bernstein,"New Directions for Higher Education,",1983.0,0
271,Converting Relational to Object-Oriented Databases,Joseph Fong,SIGMOD Record,1997,15251,AFC programmer's guide,SR Davis,1998,,0
211,Implementing XQuery,Paul Cotton,SIGMOD Conference,2002,37974,Issue involvement can increase or decrease persuasion by enhancing message-relevant cognitive,"RE Petty, JT Cacioppo","Journal of Personality and Social Psychology,",,0
520,The BeSS Object Storage Manager: Architecture Overview,"Alexandros Biliris, Euthimios Panagos",SIGMOD Record,1996,60131,Antizyme targets cyclins and cyclin-dependent kinases for degradation,RM Newman??¦,,,0
2190,E-Commerce Database Issues and Experience,Anand Rajaraman,SIGMOD Conference,1999,41446,Learnability of Augmented Naive Bayes in Nominal Domains,"H Zhang, CX Ling",,,0
2388,Databases on the Web: Technologies for Federation Architectures and Case Studies (Tutorial),Ralf Kramer,SIGMOD Conference,1997,44148,JUMP Mode-A Dynamic Window-based Scheduling Framework for Bluetooth Scatternets,"N Johansson, F Alriksson",,,0
664,Repositories and Object Oriented Databases,Philip A. Bernstein,SIGMOD Record,1998,59210,Direct and Indirect Trust and Reciprocity,"N Buchan, R Croson, R Dawes","Unpublished manuscript,",2001.0,0
1407,XTRACT: A System for Extracting Document Type Descriptors from XML Documents,"Rajeev Rastogi, S. Seshadri, Minos N. Garofalakis, Aristides Gionis, Kyuseok Shim",SIGMOD Conference,2000,6933,XTRACT: A system for extracting document type descriptors from XML documents,"A Gionis, M Garofalakis, R Rastogi, S Seshadri, K","Proc. of ACMSIGMOD 2000 International Conference on  &hellip;,",,1
913,Peer-to-peer research at Stanford,"Mayank Bawa, Sergio Marti, Sepandar D. Kamvar, Brian Cooper, Mario T. Schlosser, Neil Daswani, Qi Sun, Hector Garcia-Molina, Arturo Crespo, Beverly Yang, Patrick Vinograd, Prasanna Ganesan",SIGMOD Record,2003,32191,Peer to Peer Research at Stanford,M Bawa,"SIGMOD RECORD,",2003.0,1
1635,Managing Memory for Real-Time Queries,"Miron Livny, Michael J. Carey, HweeHwa Pang",SIGMOD Conference,1994,2334,The role of visual rhetoric in the design and production of electronic books: the visual book,M Landoni,"ELECTRONIC LIBRARY,",2000.0,0
487,The MENTOR Workbench for Enterprise-wide Workflow Management,"Jeanine Wei?enfels, Dirk Wodtke, Angelika Kotz Dittrich, Gerhard Weikum, Peter Muth",SIGMOD Conference,1997,19808,Java for 3D and VRML Worlds,"R Lea, K Matsuda, K Miyashita",1996,,0
1287,Illuminating the Dark Side of Web Services,Michael L. Brodie,VLDB,2003,12965,Illuminating the Dark Side of Web Services,ML Brodie,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,1
2170,STHoles: A Multidimensional Workload-Aware Histogram,"Luis Gravano, Nicolas Bruno, Surajit Chaudhuri",SIGMOD Conference,2001,27076,Professional Mobile Radio???the BT Airwave Public Safety Service and the Path for Technology and,PR Tattersall,"BT Technology Journal,",2001.0,0
494,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta K?nig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",SIGMOD Record,2002,1264,NOAA Air Resources Laboratory: Silver Spring,"RR Draxler, GD Rolph","MD,",,0
104,SQLJ-Part 1: SQL Routines Using the Java Programming Language,"Andrew Eisenberg, Jim Melton",SIGMOD Record,1999,51733,The development of graphicacy: Children???s understanding of maps,D Boardman,"Geography,",,0
751,High-Performance Sorting on Networks of Workstations,"David E. Culler, Joseph M. Hellerstein, David A. Patterson, Andrea C. Arpaci-Dusseau, Remzi H. Arpaci-Dusseau",SIGMOD Conference,1997,57352,Cost comparison of bronchodilator delivery methods in emergency department treatment of asthma,SP Frei,"JOURNAL OF EMERGENCY MEDICINE,",2000.0,0
848,Report on XEWA-00: The XML Enabled Wide-Area Searches for Bioinformatics Workshop,Terence Critchlow,SIGMOD Record,2001,7331,Sagitta method with guaranteed convergence,A SANTOS-PALOMO,"Submitted for publication,",2005.0,0
702,Selectivity Estimation using Probabilistic Models,"Daphne Koller, Lise Getoor, Benjamin Taskar",SIGMOD Conference,2001,57195,Selectivity Estimation using Probabilistic Models,"L Getoor, B Taskar, D Koller",,,1
1781,Efficient and Effective Clustering Methods for Spatial Data Mining,"Raymond T. Ng, Jiawei Han",VLDB,1994,41818,A prospective study of ED pain management practices and the patient's perspective,"P Tanabe, M Buschmann","JOURNAL OF EMERGENCY NURSING,",1999.0,0
2053,Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules,"Takeshi Fukuda, Yasuhiko Morimoto, Takeshi Tokuyama, Shinichi Morishita",VLDB,1996,19324,TOMAL???a high-level programming language for microprocessor process control applications,"RB Kieburtz, JL Hennessy",,,0
1722,DBXplorer: enabling keyword search over relational databases,"Gautam Das, Sanjay Agrawal, Surajit Chaudhuri",SIGMOD Conference,2002,46186,The Grieving Soul in the Transformation Process.?? In Transformative Learning in Action: Insights,SM Scott,New Directions for Adult and Continuing Education,,0
763,Synchronizing a Database to Improve Freshness,"Junghoo Cho, Hector Garcia-Molina",SIGMOD Conference,2000,5397,Reconstruction procedure for identifying cracks,"M Ikehata, G Nakamura",submitted for,,0
2367,"Title, Foreword, Special Issue Editorial",?,VLDB J.,1994,20287,Sex typing and the avoidance of cross-sex behavior,"SL Bem, E Lenney","Journal of Personality and Social Psychology,",1976.0,0
1338,Picture Programming Project,"Nita Goyal, Mosh? M. Zloof, Charles Hoch, Michael Suckow, Ravi Krishnamurthy, Brian Meckler",SIGMOD Conference,1997,55062,Web Services: Foundation and Composition,"J H??ndling, M Weske","Electronic Markets,",2003.0,0
277,Towards a database body of knowledge: a study from Spain,"Mario Piattini, Francisco Ruiz, Coral Calero",SIGMOD Record,2003,11675,Multimode Communications on the MITRENET.,GT Hopkins,"Computer Networks,",,0
1942,DOMINO: Databases fOr MovINg Objects tracking,"Jutai Zhou, Ouri Wolfson, Sam Chamberlain, A. Prasad Sistla, Bo Xu",SIGMOD Conference,1999,20609,DOMINO: Databases fOr MovINg Objects tracking,"OWP Sistla, BXJZS Chamberlain",,,1
124,Covering indexes for branching path queries,"Raghav Kaushik, Henry F. Korth, Jeffrey F. Naughton, Philip Bohannon",SIGMOD Conference,2002,12916,Electron Energy-loss in the Electron Microscope,RF Egerton,"Plenum, New York,",,0
88,Trade Press News - Announcement and Preface,Rafael Alonso,SIGMOD Record,1994,32352,A note on efficient zero-knowledge proofs and arguments,J Kilian,,,0
2040,Query Processing Techniques for Multiversion Access Methods,"Jochen Van den Bercken, Bernhard Seeger",VLDB,1996,8208,Preventive structural analysis of dataflow diagrams,"MJ Chen, CG Chung","Information and Software Technology,",1992.0,0
630,Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"Josef Burger, Jeffrey F. Naughton, Stratis Viglas",VLDB,2003,50497,Static optimization of conjunctive queries with sliding windows over infinite streams,"AM Ayad, JF Naughton","Proc 2004 ACM SIGMOD international conference on management  &hellip;,",2004.0,0
494,Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta K?nig-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",SIGMOD Record,2002,34678,andJ. Mahdavi. TheMacroscopicBehavioroftheTCPCongestion Avoidance Algorithm,"M Mathis, J Semke","Proceedings of ACM SIGCOMM,",,0
1085,Evolvable View Environment (EVE): Non-Equivalent View Maintenance under Schema Changes,"Andreas Koeller, Amy J. Lee, Xin Zhang, Anisoara Nica, Elke A. Rundensteiner, Amber van Wyk, Yong Li",SIGMOD Conference,1999,6132,Running Microsoft Word 2000,C Rubin,1999,,0
154,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"Miron Livny, Eben M. Haber, Yannis E. Ioannidis",VLDB,1995,13350,OPOSSUM: Desk-Top Schema Management through Customizable Visualization,"EM Haber, YE Ioannidis, M Livny","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,1
1356,Supporting Multiple View Maintenance Policies,"Latha S. Colby, Kenneth A. Ross, Akira Kawaguchi, Daniel F. Lieuwen, Inderpal Singh Mumick",SIGMOD Conference,1997,32727,"Unicite de la solution faiblea support compact de l????©ation de Vlasov Poisson, CR Acad",R Robert,"Sci., Ser. I,",,0
1712,Statistics on Views,"C?sar A. Galindo-Legaria, Ming-Chuan Wu, Milind Joshi, Florian Waas",VLDB,2003,11638,An American Dilemma: The Negro Problem and Modern,G Myrdal,TABLE,,0
135,Time-parameterized queries in spatio-temporal databases,"Dimitris Papadias, Yufei Tao",SIGMOD Conference,2002,45344,Systematic design for task related Multimedia interfaces,"A Sutcliff, P Faraday","Information and Software Technology,",,0
664,Repositories and Object Oriented Databases,Philip A. Bernstein,SIGMOD Record,1998,2867,Repositories and Object Oriented Databases,PA Bernstein,"SIGMOD Record,",1998.0,1
1713,Building Light-Weight Wrappers for Legacy Web Data-Sources Using W4F,"Arnaud Sahuguet, Fabien Azavant",VLDB,1999,23607,Prolonged skin allograft survival in mice treated with flt3-ligand-induced dendritic cells and anti-,"TG Markees, NE Phillips, EJ Gordon, RJ Noelle, C","TRANSPLANTATION PROCEEDINGS,",1999.0,0
2221,Analysis of Navigation Behaviour in Web Sites Integrating Multiple Information Systems,"Myra Spiliopoulou, Bettina Berendt",VLDB J.,2000,685,Optimality conditions and homogenization,"F Murat, L TARTAR","Proceedings of??? Nonlinear variational problems???, Isola d &hellip;,",,0
505,Outerjoins as Disjunctions,C?sar A. Galindo-Legaria,SIGMOD Conference,1994,55938,Outerjoins as Disjunctions,CA Galindo-Legaria,,,1
681,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP,"Yang-Sae Moon, Young-Koo Lee, Il-Yeol Song, Kyu-Young Whang",VLDB,2002,54099,A One-Pass Aggregation Algorithm with the Optimal Buffer Size in Multidimensional OLAP.,"YK Lee, KY Whang, YS Moon, IY Song","VLDB,",2002.0,1
776,Concurrent Garbage Collection in O2,"Marcin Skubiszewski, Patrick Valduriez",VLDB,1997,22290,Occurrence and function of amines in endocrine cells producing polypeptide hormones,"C Owman, F Sundler","Fed Proc,",1973.0,0
1276,Evaluating Queries with Generalized Path Expressions,"Guido Moerkotte, Sophie Cluet, Vassilis Christophides",SIGMOD Conference,1996,9348,Carbon cycling in the upper waters of the Sargasso Sea: II. Numerical simulation of apparent and,"WP Bissett, KL Carder, JJ Walsh, DA Dieterle","Deep-Sea Research I,",1999.0,0
1151,A performance study of four index structures for set-valued attributes of low cardinality,"Guido Moerkotte, Sven Helmer",VLDB J.,2003,15882,Velocity relation: Satisfaction as a function of the first derivative of outcome over time,"CK Hsee, RP Abelson","Journal of Personality and Social Psychology,",,0
1540,Efficient Concurrency Control in Multidimensional Access Methods,"Sharad Mehrotra, Kaushik Chakrabarti",SIGMOD Conference,1999,44524,Turbulence at the Top: A New Perspective on Governance Structure Changes and Strategic Change,"J Goodstein, W Boeker","The Academy of Management Journal,",1991.0,0
398,"Review of Data on the Web: from relational to semistructured data and XML by Serge Abiteboul, Peter Buneman, and Dan Suciu. Morgan Kaufmann 1999","Fernando Berzal Galiano, Nicol?s Mar?n",SIGMOD Record,2003,44209,Pushing reactive services to XML repositories using active rules,"A Bonifati, S Ceri, S Paraboschi","Computer Networks,",2002.0,0
1687,Spreadsheets in RDBMS for OLAP,"Nathan Folkert, Abhinav Gupta, Andrew Witkowski, Lei Sheng, Sankar Subramanian, Srikanth Bellamkonda, Gregory Dorman, Tolga Bozkaya",SIGMOD Conference,2003,21244,Performance analysis of Hierarchical Reliable Multicast,"A Markopoulou, F Tobagi",Proc. of ACM,,0
785,Incremental Maintenance of Externally Materialized Views,"Martin Staudt, Matthias Jarke",VLDB,1996,30781,Learning Self-Evaluation: Challenges for Students,J MacGregor,"NEW DIRECTIONS FOR TEACHING AND LEARNING,",1993.0,0
1978,Foundations of Statistical Natural Language Processing - Book Review,Gerhard Weikum,SIGMOD Record,2002,16617,Desorption Induced by,DE Ramaker,Electronic,,0
841,Bounded Ignorance: A Technique for Increasing Concurrency in a Replicated System,"Arthur J. Bernstein, Narayanan Krishnakumar",ACM Trans. Database Syst.,1994,33380,The organizational context and the development of internal evaluation,AJ Love,"New Directions for Program Evaluation,",1983.0,0
1002,Transactional Client-Server Cache Consistency: Alternatives and Performance,"Michael J. Franklin, Michael J. Carey, Miron Livny",ACM Trans. Database Syst.,1997,4974,Multiplayer Gaming: Two or More Is War,ME Ryan,"PC MAGAZINE-AMERICAN EDITION-,",,0
1457,Incremental data Structures and Algorithms for Dynamic Query Interfaces,"Ben Shneiderman, Richard Beigel, Egemen Tanin",SIGMOD Record,1996,31374,Doppler line shape of atomic fluorescence excited by molecular photodissociation,"RN Zare, DR Herschbach","Proc. IEEE,",,0
696,Microsoft English Query 7.5: Automatic Extraction of Semantics from Relational Databases and OLAP Cubes,Adam Blum,VLDB,1999,12516,Performance of Multi-Hop Wireless Ad Hoc Network Routing Protocols,"J Broch, D Maltz, D Johnson, Y Hu, J Jetcheva",Proceedings of ACM/IEEE,,0
