tableA_id,tableA_https://www.scads.de/movieBenchmark/ontology/title,tableA_https://www.scads.de/movieBenchmark/ontology/name,tableA_http://dbpedia.org/ontology/episodeNumber,tableA_http://dbpedia.org/ontology/seasonNumber,tableA_http://dbpedia.org/ontology/deathYear,tableA_http://dbpedia.org/ontology/birthYear,tableA_https://www.scads.de/movieBenchmark/ontology/endYear,tableA_https://www.scads.de/movieBenchmark/ontology/startYear,tableA_https://www.scads.de/movieBenchmark/ontology/genre_list,tableA_https://www.scads.de/movieBenchmark/ontology/primaryProfessions,tableA_https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,tableB_id,tableB_https://www.scads.de/movieBenchmark/ontology/title,tableB_https://www.scads.de/movieBenchmark/ontology/name,tableB_http://dbpedia.org/ontology/abstract,tableB_http://dbpedia.org/ontology/episodeNumber,tableB_http://dbpedia.org/ontology/seasonNumber,tableB_http://dbpedia.org/ontology/numberOfSeasons,tableB_http://dbpedia.org/ontology/numberOfEpisodes,tableB_http://dbpedia.org/ontology/birthDate,tableB_http://dbpedia.org/ontology/releaseDate,tableB_https://www.scads.de/movieBenchmark/ontology/last_air_date,tableB_https://www.scads.de/movieBenchmark/ontology/release_year,tableB_http://dbpedia.org/ontology/runtime,tableB_https://www.scads.de/movieBenchmark/ontology/genre_list,tableB_https://www.scads.de/movieBenchmark/ontology/origin_country,label
3357,,Graham Gordy,,,,,,,,"writer,producer,actor",,1074,The Devil Inside - John Ernest Cribb,,"'A chilling investigation of John Ernest Cribb, who on August 11th 1978, broke into the home of the Connell's. On a winter’s afternoon, Valda Connell and her four-year-old son Damien arrived home after having collected ten-year-old Sally from school. What was as an average day for the family turned to horror when Valda and the children were confronted by a man brandishing a knife and ordering them back into the car.The man, John Ernest Cribb, had just a couple of months earlier been released on parole after serving about six years for armed robbery. As Cribb drove north towards Taree, on the NSW Mid North Coast, Valda pleaded to let her and her children go. Later, under the dark of night, Cribb raped the 39-year-old mother, while her two children remained in the car terrified, cold, and hungry.In the early hours of the next morning near the small town of Wingham, Cribb left the family gagged and bound in bushland next to a deserted road and then drove back south towards Newcastle. But his thoughts got the better of him as he began telling himself that Valda knew too much, and decided he must instead go back and silence her. He returns and with his knife, viciously slays the family, one by one…",8.0,2.0,,,,2008-09-25,,2008-01-01,,,,0
737,Chapter 55,,3.0,5.0,,,,2017-01-01,Drama,,52.0,1510,Light,,"When the evil Mord'Sith Denna takes Zedd captive, Richard must abandon his mission to rescue the wizard.",8.0,2.0,,,,2010-01-16,,2010-01-01,,,,0
2076,,Lilli Lavine,,,,,,,,"actress,miscellaneous",,5285,Go Fish,,"Once again, Jacques demonstrates techniques to help you spend less time in the kitchen. Asparagus Custards and an Apple Skillet Cake can be done ahead, and re-heated. A quick Cold Black Bean Soup can be made in minutes and Slow-cooked Tuna Steaks with Tomato Relish free up the cook while the oven does most of the work.",25.0,1.0,,,,,,,,,,0
4137,Marika Carlsson g?star,,6.0,3.0,,,,2019-01-01,Comedy,,,6034,,C. Keith Martin,,,,,,,,,,,,,0
4312,Ambush on 7th Avenue,,2.0,1.0,,,,1973-01-01,"Crime,Drama",,60.0,5487,Ambush on 7th Avenue,,,2.0,1.0,,,,1973-10-11,,1973-01-01,,,,1
3757,,Theodor Gr?dler,,,,1921-01-01,,,,"director,writer",,3070,Heredity,,Hank and his brother John discuss heredity via the gross example of relative ear wax moistness.,9.0,1.0,,,,2012-03-26,,2012-01-01,,,,0
3046,,Ilya Skorupsky,,,,,,,,"animation_department,art_department,director",,4316,,Roman Ferianc,,,,,,,,,,,,,0
1950,,Jeannie Diggins,,,,,,,,actress,,130,Episode 3,,,3.0,1.0,,,,2016-11-18,,2016-01-01,,,,0
2468,,David M. Barsky,,,,1970-01-01,,,,"producer,production_manager,camera_department",,5607,Parisa Amiri g?star,,,3.0,1.0,,,,2017-03-24,,2017-01-01,,,,0
4042,,Francesco Rosi,,,2015-01-01,1922-01-01,,,,"writer,director,assistant_director",,1151,,Cheryl Hines,,,,,,,,,,,,,0
2304,,Heinz Petters,,,2018-01-01,1932-01-01,,,,"actor,soundtrack",,2342,,Heinz Petters,,,,,,,,,,,,,1
3303,,Ricardo Montalban,,,2009-01-01,1920-01-01,,,,"actor,soundtrack,director",,1587,Change & Revolution,,How does a community form? How does it survive and adapt to change? The role myths and legends have played in establishing the rules of society and the punishments for those who break them.,5.0,1.0,,,,2017-12-23,,2017-01-01,,,,0
5033,,Carrie Aizley,,,,1964-01-01,,,,"actress,writer,producer",,4627,Secret Answer,,"'A spirited wife challenges the stodgy attitudes of researcher husband by refusing to respond to one of his survey questions: ''If you had it to do all over again, would you marry the same person?''",18.0,1.0,,,,1954-01-17,,1954-01-01,,,,0
5003,,Dayton Lummis,,,1988-01-01,1903-01-01,,,,actor,,2989,,Toa Yukinari,,,,,,,,,,,,,0
3518,,Owen Roizman,,,,1936-01-01,,,,"cinematographer,actor,camera_department",,1979,,Hector Malot,,,,,,,,,,,,,0
1362,A Visit to Sao Paolo,,4.0,6.0,,,,1958-01-01,Drama,,30.0,2713,,Doug Shemer,,,,,,,,,,,,,0
2909,,Gary Janetti,,,,1966-01-01,,,,"producer,writer,actor",,4230,Blockhouse Breakdown,,,6.0,1.0,,,,1973-11-08,,1973-01-01,,,,0
982,Mel's Offer,,1.0,4.0,,,,2004-01-01,Comedy,,30.0,810,Mel's Offer,,"After going to a Karaoke bar that Mel Brooks is performing at, Mel is so impressed with Larry's singing that he asks Larry to be the star of his broadway show.",1.0,4.0,,,,2004-01-04,,2004-01-01,,,,1
3463,,Ralph Mays,,,,,,,,writer,,658,Move Over Miami,,"Agent # 1 and Agent # 2 travel to South Beach, Miami, where the ego driven Mr. Fish and his explosive partner in crime, Rock DeBrie, plot to destroy the trend-setting capitol. With the help of a maraschino cherry camera and a Ricky Martin inflatable decoy. The Agents use their wits and fashion sense to combat Mr. Fish's evil plan to hypnotically dictate international fads.",1.0,1.0,,,,2000-06-26,,2000-01-01,,,,0
1900,,Richard Robinson,,,,,,,,"actor,miscellaneous,art_department",,2326,,Carlo Francisco Manatad,,,,,,,,,,,,,0
463,,Ku Hye-Sun,,,,1984-01-01,,,,"actress,director,writer",,976,,Else Reval,,,,,,,,,,,,,0
1319,,Connie Gilchrist,,,1985-01-01,1895-01-01,,,,"actress,soundtrack",,4002,,Ljiljana Pejcinovic,,,,,,,,,,,,,0
4808,The Complaint,,3.0,1.0,,,,2005-01-01,Comedy,,,2839,,David Sundin,,,,,,,,,,,,,0
3723,,Benjamin Roberts,,,,,,,,"music_department,composer,soundtrack",,3755,Letter to Loretta: The Faith of Chata,,,13.0,1.0,,,,1953-12-13,,1953-01-01,,,,0
3009,Lupin the Third: A Woman Called Fujiko Mine,,,,,,2012-01-01,2012-01-01,"Action,Adventure,Animation",,20.0,5985,Lupin the Third: The Woman Called Fujiko Mine,,An anime series based on Monkey Punch's Lupin III manga. It focuses on Fujiko Mine as she undergoes various missions and encounters the rest of the protagonists the first time.,,,2.0,13.0,,2012-04-05,2012-06-28,2012-01-01,23, Comedy,JP,1
3272,,Robert Craig,,,,,,,,writer,,2995,,Martin Manulis,,,,,,,,,,,,,0
3649,Wu's on First?,,15.0,5.0,,,,1997-01-01,"Crime,Drama,Mystery",,,2530,The Smiley Face,,"Larry challenges the rules of dating and rethinks a decision regarding a new workplace neighbor. Meanwhile, Jeff invents an ill-advised excuse to get out of a dining engagement.",4.0,8.0,,,,2011-07-31,,2011-01-01,,,,0
4001,,Boots Plata,,,2011-01-01,,,,,"director,sound_department,assistant_director",,4110,,Anne-Marie Duff,,,,,,,,,,,,,0
3427,,Linda Watkins,,,1976-01-01,1908-01-01,,,,"actress,soundtrack",,2959,,Rolf Beuckert,,,,,,,,,,,,,0
4061,Gone for Goode,,1.0,1.0,,,,1993-01-01,"Crime,Drama,Mystery",,48.0,3361,Gone for Goode,,"Lewis and Crosetti uncover a woman who's been killing her husbands for insurance money. Howard tries to keep her cases-solved record perfect, but she is reassigned with Felton as her partner. Bolander convinces Munch to help him finish up an unsolved case. A new guy, Tim Bayliss, from the mayor's office gets his first case in homicide, the murder of an 11-year-old girl. His partner Pembleton, we find out, is less than enthusiastic to work with him or anyone else in the unit.",1.0,1.0,,,,1993-01-31,,1993-01-01,,,,1
4360,,Hal Geer,,,2017-01-01,1916-01-01,,,,"editor,producer,camera_department",,25,Episode 4,,,4.0,1.0,,,,1994-02-07,,1994-01-01,,,,0
3452,,Kaija Pakarinen,,,,1954-01-01,,,,"actress,soundtrack",,2325,Ann Westin g?star,,,3.0,2.0,,,,2018-03-23,,2018-01-01,,,,0
3367,,Michael Fields,,,,,,,,"director,producer,editorial_department",,3536,,Michael Fields,,,,,,,,,,,,,1
3887,,Marcos Azambuja,,,,,,,,composer,,447,Sideshow (2),,"'Danvers brings news of his appointment to the District Court bench as the investigation of a government official named Janine McBride, begun on Law & Order continues in New York. Their prime suspect, Chesley Purcell, is dead and her shooter, Ned Burks, is in the hands of the Feds. What was her connection back to Washington? Gee expresses his anger with MGee over letting his ''''ham fisted'''' bosses at the FBI know what was going on, since they in turn had informed Wm. Dell, the Independent Counsel. Burks is given a limited amount of immunity for his testimony to Dell, but McCoy and Danvers get an order that allows them to be present at his questioning; but neither the Independent Counsel nor McCoy and Danvers get anything useful. Meanwhile, the Baltimore detectives investigate the background of Chesley Purcell and it turns up the name of a man in prison who still appears to be running his organization. So there could be no more leaks, MGee asks to be kept out of the investigation. (Sideshow (1) aired on Law & Order, season 9, episode 14.)",15.0,7.0,,,,1999-02-19,,1999-01-01,,,,0
1235,,Peter Arens,,,2015-01-01,1928-01-01,,,,actor,,1046,Blueberry Connoisseur,,"'Mike visits the Jelly Belly Candy Company to concoct a dirty boot flavored jelly bean based on his own sweaty, grimy, filthy pair of work boots. Then he travels to Maine to harvest blueberries and joins the ''Pie Ladies'' in a pie bakeoff.",6.0,7.0,,,,2011-02-08,,2011-01-01,,,,0
3982,The Bad Apple,,21.0,4.0,,,,1957-01-01,Drama,,30.0,2670,,John McRae,,,,,,,,,,,,,0
3406,Roll of Thunder,,38.0,1.0,,,,1962-01-01,Adventure,,,1064,Roll of Thunder,,,38.0,1.0,,,,1962-11-06,,1962-01-01,,,,1
3562,,Joe Berlinger,,,,1961-01-01,,,,"producer,director,camera_department",,5561,,John Cooper Clarke,,,,,,,,,,,,,0
3967,,Tom Helmore,,,1995-01-01,1904-01-01,,,,actor,,228,Cold Sweat (2),,"Last time on The Magician, Ace was traped in the cryogenic chamber because Gus's revenge. Cosmo and Dr. Charles opened the chamber Ace is in but his body slowly breaks up into pieces as Cosmo touches it. But that Ace was a phoney because the real Ace just showed up. Gus Moreland's condition is dangerously critical and he apologizes Ace for his rude attitude and wants to know the whole truth. Ace tells him what happen the day they try to steal the money from a sciece company. Ace then explains about Jac Malone and how he said Gus is out of the gang and lied to Ace that Gus can get out there himself. Gus gets real mad at Jack or in other words, Black Jack. So now he's going after his family to avenge Black Jack. Ace gets in the way when the Cryogenic Center collapsed. Ace survives and Cosmo and Vega goes to Croesus Palace to keep an eye on Black Jack while Ace goes to Mona's house to warn her not leave her home for her life is now in danger. Gus arrives at the Croesus Palace and arranges",22.0,1.0,,,,1999-07-10,,1999-01-01,,,,0
1209,Termite Controller,,9.0,2.0,,,,2006-01-01,Reality-TV,,44.0,4887,,Lee Hae-yeong,,,,,,,,,,,,,0
263,,Gordon Barnes,,,,,,,,actor,,581,Somebody Else's Dream,,,15.0,4.0,,,,1956-12-09,,1956-01-01,,,,0
4042,,Francesco Rosi,,,2015-01-01,1922-01-01,,,,"writer,director,assistant_director",,5766,,Francesco Rosi,,,,,,,,,,,,,1
2959,,Raymond Danon,,,2018-01-01,1930-01-01,,,,"producer,miscellaneous,production_manager",,1228,,Pyotr Todorovskiy,,,,,,,,,,,,,0
4760,,Haradhan Bannerjee,,,2013-01-01,1926-01-01,,,,"actor,soundtrack",,4938,Metaphysical and Devotional 1590-1670,,"The vigour and audacity of John Donne's love poetry is contrasted with his equally powerful devotional works. The programme then explores the work of Donne's disciple George Herbert, and Andrew Marvell.",6.0,1.0,,,,1984-06-06,,1984-01-01,,,,0
1628,,Jay Tarses,,,,1939-01-01,,,,"writer,producer,actor",,4718,,Kaoru Morota,,,,,,,,,,,,,0
4008,Episode #1/Episode #2,,1.0,1.0,,,,1995-01-01,"Action,Adventure,Animation",,13.0,5249,Bombora - The Story of Australian Surfing,,,,,1.0,2.0,,2009-03-26,2009-04-02,2009-01-01,,Documentary,,0
3670,Home to Roost,,25.0,1.0,,,,1962-01-01,Adventure,,,141,,Jeremy Bronson,,,,,,,,,,,,,0
1949,,Alan Bridges,,,2013-01-01,1927-01-01,,,,"director,producer,actor",,1973,,Christopher Gunning,,,,,,,,,,,,,0
1669,,Allen Jaffe,,,1989-01-01,1928-01-01,,,,actor,,3196,,Baro,,,,,,,,,,,,,0
4784,,Adrian Scott,,,1972-01-01,1912-01-01,,,,"writer,producer",,2534,,Daniil Belykh,,,,,,,,,,,,,0
2189,,Tony Daniels,,,,,,,,"actor,miscellaneous,talent_agent",,2586,,Samantha Seager,,,,,,,,,,,,,0
397,,Ben Johnson,,,1996-01-01,1918-01-01,,,,"actor,stunts,miscellaneous",,675,And Then There Were Four,,,6.0,1.0,,,,2014-12-09,,2014-01-01,,,,0
3671,,Alvin Sapinsley,,,2002-01-01,1921-01-01,,,,"writer,producer,actor",,4062,,Sascha,,,,,,,,,,,,,0
1714,,Edward Tang,,,,1946-01-01,,,,"writer,producer,miscellaneous",,27,,Edward Tang,,,,,,,,,,,,,1
2333,,Peter Barry,,,,,,,,writer,,419,,Jun Fukuda,,,,,,,,,,,,,0
4547,Episode #1.1,,1.0,1.0,,,,1997-01-01,Drama,,94.0,1326,Medieval - Elizabethan 1400-1600,,"This programme explores the late Medieval period leading into the Renaissance, discussing poems dealing with love, death and ambition by Skelton, Wyatt, Raleigh, Marlowe and Shakespeare.",4.0,1.0,,,,1984-05-23,,1984-01-01,,,,0
1688,The Thong,,5.0,2.0,,,,2001-01-01,Comedy,,28.0,1210,,Eric Brown,,,,,,,,,,,,,0
663,,Steve Buscemi,,,,1957-01-01,,,,"actor,director,producer",,2085,,Steve Buscemi,,,,,,,,,,,,,1
1387,,Vladim?r Mens?k,,,1988-01-01,1929-01-01,,,,"actor,soundtrack,writer",,5976,Neilani,,,19.0,1.0,,,,1962-06-26,,1962-01-01,,,,0
3087,,Ajit Banerjee,,,,,,,,"art_director,actor,director",,5784,,Kieran O'Hare,,,,,,,,,,,,,0
4356,The Trial of Adam Troy,,11.0,3.0,,,,1961-01-01,Adventure,,60.0,78,The Trial of Adam Troy,,"After a murder on the Tiki occurs, Adam is wrongfully accused of the crime and the passengers are asked for their testimonies at his trial.",11.0,3.0,,,,1961-12-17,,1961-01-01,,,,1
595,Trick or Treat,,3.0,2.0,,,,2001-01-01,Comedy,,30.0,1448,Trick or Treat,,"'When Larry and Cheryl attend the premiere of a movie written by a handicapped friend, Cliff Cobb, Larry offends a Jewish neighbor, alienates Cliff (as well as the memory of his salad-inventing grandfather) and sends misguided romantic overtures to Cliff's wife, Shelly. Later, the Davids experience the ''''trick'''' side of Halloween when Larry refuses to give candy to two uncostumed teenagers. Having failed to get a bracelet for his wife on her birthday, Larry makes amends with the perfect gift on a romantic morning, but then Jeff arrives to play a round of golf. In the end, Larry gets revenge on a jewish neighbor and his teenage daughters, by arriving at his home with the orchestra that he used for Cheryl's birthday, as they played the tune that offended this neighbor.",3.0,2.0,,,,2001-10-07,,2001-01-01,,,,1
4697,,Joe Ahearne,,,,1963-01-01,,,,"director,writer,producer",,2288,,Tom Fontana,,,,,,,,,,,,,0
1194,,Kaye Wragg,,,,1972-01-01,,,,actress,,5305,,Kari Skogland,,,,,,,,,,,,,0
4448,,Wendy Barrie,,,1978-01-01,1912-01-01,,,,"actress,soundtrack",,495,810 Franklin Street,,,22.0,6.0,,,,1959-03-01,,1959-01-01,,,,0
3537,The Award,,6.0,1.0,,,,2005-01-01,Comedy,,,4997,,Nuriyya Ahmadova,,,,,,,,,,,,,0
907,,Kenneth Casey,,,,,,,,,,1431,The Girls Who Knew Too Much,,"Sallie-Anne Huckstepp and Juanita Nielsen were iconic figures in the shadowy King’s Cross scene of the 1970s and 1980s. They lived dangerous lives – challenging the status quo of the period and met with mysterious and violent deaths. Neither murder has been solved officially, but many decades later, the intrigue of both cases still scratches at the heart and psyche of the Harbour City.  Can a credible witness with new information, may finally help solve one of Australia’s most enduring mysteries.",1.0,3.0,,,,2009-02-27,,2009-01-01,,,,0
679,,Manny Coto,,,,,,,,"producer,writer,miscellaneous",,2142,Bend Sinister,,"'In a fictitious European city known as Padukgrad, where a government arises following the rise of a philosophy known as ''Ekwilism'', which discourages the idea of anyone being different from anyone else, and promotes the state as the prominent good in society.",,,,,,1970-01-07,,1970-01-01,,Drama,,0
3846,,Rudy Bond,,,1982-01-01,1912-01-01,,,,actor,,4396,The Unknown,,A carnival knife thrower hopes to marry a scantily clad carnival girl.,,,,,,1927-06-04,,1927-01-01,63, Horror,,0
713,,Carol Veazie,,,1984-01-01,1895-01-01,,,,actress,,5518,,Harry Keller,,,,,,,,,,,,,0
2325,,Nadine Ashdown,,,,1945-01-01,,,,actress,,3161,,Jack Carr,,,,,,,,,,,,,0
4648,The Tintagel Connection,,5.0,1.0,,,,2004-01-01,Documentary,,48.0,5756,Music and Revolution,,Fujiko and Goemon become involved in a case that could very well lead to World War III.,7.0,1.0,,,,2012-05-17,,2012-01-01,,,,0
1299,,Richard Abbott,,,1986-01-01,1899-01-01,,,,actor,,1,,Rikiya Koyama,,,,,,,,,,,,,0
2948,,Byron Morrow,,,2006-01-01,1911-01-01,,,,actor,,2516,Episode 21,,,21.0,2.0,,,,2017-08-14,,2017-01-01,,,,0
2414,,Lyudmila Ivanova,,,2016-01-01,1933-01-01,,,,actress,,2852,,Lyudmila Ivanova,,,,,,,,,,,,,1
2424,,Scott Curtis,,,,,,,,actor,,4918,,Kodjo Akolor,,,,,,,,,,,,,0
1356,,Michael Anderson Jr.,,,,1943-01-01,,,,"actor,soundtrack",,2974,Prison Riot,,"A riot breaks out at the prison, where two inmates are killed. The squad goes to the scene, but Frank must still stay behind. Bayliss, Lewis, Kellerman and Howard interview the inmates; many of them have familiar faces. Frank works on his target practice. Bayliss thinks that one inmate really wanted to tell him something, so he puts together a deal to get the information. The inmate confesses to the murder and Bayliss doesn't believe him. Another riot breaks out and the truth is finally discovered.",3.0,5.0,,,,1996-10-18,,1996-01-01,,,,0
556,,David Mack,,,,,,,,"animation_department,director,miscellaneous",,5938,,David Mack,,,,,,,,,,,,,1
1920,,Tracy Ryan,,,,1971-01-01,,,,actress,,3855,,Yukihiro Miyamoto,,,,,,,,,,,,,0
3244,,Matt Motschenbacher,,,,,,,,"writer,producer",,545,,Amy Kaufman,,,,,,,,,,,,,0
883,,Cameron Blake,,,,,,,,writer,,1478,The Revenge Society,,"'The Guild of Calamitous Intent comes under attack by an insane Phantom Limb, who now goes by the name ''Revenge''. Meanwhile, Hank and Sergeant Hatred must protect the compound from the Guild's agents. We also learn something very interesting about Dean's birthright.",5.0,4.0,,,,2009-11-15,,2009-01-01,,,,0
4741,Piece of Cake,,,,,,1988-01-01,1988-01-01,"Drama,War",,312.0,6005,,Arnold Schwartzenpecker,,,,,,,,,,,,,0
3232,,Scott Kawczynski,,,,,,,,"art_department,visual_effects,production_designer",,774,P-I-PILOT,,"Maya DiMeo moves her family to a new, upscale school district when she finds the perfect situation for her eldest son, JJ, who has cerebral palsy.",1.0,1.0,,,,2016-09-21,,2016-01-01,,,,0
397,,Ben Johnson,,,1996-01-01,1918-01-01,,,,"actor,stunts,miscellaneous",,2912,,Jeyhun Mirzayev,,,,,,,,,,,,,0
1427,,Soumitra Chatterjee,,,2020-01-01,1935-01-01,,,,actor,,1158,,Michelle Monaghan,,,,,,,,,,,,,0
1133,,Charles S. Dubin,,,2011-01-01,1919-01-01,,,,"director,producer,actor",,3809,The Corpse-Sniffing Dog,,"'Over a makeup dinner with the Braudys, Larry openly ponders the question, ''''When a husband pays the check, do you have to also thank the wife?'''' Meanwhile, Jeff's return home is ruined by his allergy to the family's corpse-sniffing German Shepherd?€”but his daughter Sammy refuses to give away the dog. Concerned about his agent's welfare, Larry figures out an ingenious way to give the pooch to the Braudys, who are looking for just such a dog.",7.0,3.0,,,,2002-10-27,,2002-01-01,,,,0
1077,Edwina's Escapade,,5.0,1.0,,,,1960-01-01,"Adventure,Drama,Family",,30.0,5290,Edwina's Escapade,,,5.0,1.0,,,,1960-10-16,,1960-01-01,,,,1
669,,Diane Boehm,,,,,,,,producer,,479,,Aleksandr Ostrovsky,,,,,,,,,,,,,0
