tableA_id,tableA_Song_Name,tableA_Artist_Name,tableA_Album_Name,tableA_Genre,tableA_Price,tableA_CopyRight,tableA_Time,tableA_Released,tableB_id,tableB_Song_Name,tableB_Artist_Name,tableB_Album_Name,tableB_Genre,tableB_Price,tableB_CopyRight,tableB_Time,tableB_Released,label
90,Perfect,Selena Gomez,Revival ( Deluxe ),"Pop , Music , Rock",Album Only,2015 Interscope Records,4:02,,26067,Baby Girl,Starlite Karaoke,Karaoke : Sugarland,Pop,$ 0.99,2008 Suite 102,4:00,"August 19 , 2008",0
6277,Sing Me Back Home,Ben Haggard,Working Man 's Poet - A Tribute To Merle Haggard,"Country , Music",$ 1.29,‰ ãÑ 2014 Broken Bow Records,2:55,1-Apr-14,44017,Like It 's The Last Time,Thomas Rhett,Tangled Up,Country,$ 1.29,"( C ) 2015 The Valory Music Co. , LLC",3:09,"September 25 , 2015",0
4360,The Sand I Brought To the Beach,Luke Bryan,Spring Break 6 ... Like We Ai n't Ever - EP,"Country , Music",$ 1.29,2014 Capitol Records Nashville,3:26,11-Mar-14,14109,Thinking About You,Mr. Probz,Driving Beats : Electronic Road Trip,"R&B , Rap & Hip-Hop",$ 1.29,2010 Traumashop,4:07,,0
3199,Bang Bang ( My Baby Shot Me Down ) [ Live from Jazz At Lincoln Center ] [ Bonus Track ],Lady Gaga,Cheek to Cheek ( Deluxe Version ),"Jazz , Music , Pop , Crossover Jazz , Vocal Jazz",$ 1.29,"2014 Columbia Records , a division of Sony Music Entertainment / Interscope Records , a division of UMG Recordings , Inc.",3:43,23-Sep-14,43927,Spend Your $ $ $,Walk the Moon,Talking Is Hard,Alternative Rock,$ 1.29,2014 Warner Bros. . Records Inc.,3:22,"November 28 , 2014",0
6482,Highway to Hell ( Live ),P!NK,Funhouse Tour - Live In Australia,"Pop , Music , Dance , R&B / Soul , Pop/Rock",$ 0.99,"‰ ãÑ 2009 RCA/JIVE Label Group , a unit of Sony Music Entertainment",1:35,26-Oct-09,36923,Dare ( La la la ),David Guetta,Pop for Your Weekend [ Explicit ],"Dance & Electronic , House",$ 1.29,2012 Blue Drum Records,3:06,,0
5341,Mirkwood ( Extended Version ),Howard Shore,The Hobbit : The Desolation of Smaug ( Original Motion Picture Soundtrack ) [ Special Edition ],"Soundtrack , Music , Soundtrack , Classical , Original Score",$ 1.29,‰ ãÑ 2013 WaterTower Music,5:31,10-Dec-13,52851,Daffodils,Mark Ronson,Uptown Special [ Clean ],Pop,$ 1.29,2015 Real Sounds,4:58,"January 13 , 2015",0
1188,Sexy Bitch ( feat . Akon ) [ Koen Groeneveld Remix ] [ David Guetta Vocal Re-Edit ],David Guetta,Sexy Bitch ( feat . Akon ) - Single,"Dance , Music",$ 0.99,"2009 Gum Prod , Licence exclusive Parlophone Music France",7:30,7-Sep-09,48550,Ella Got Dead,Drawn From Bees,The May King and His Paper Crown,"Alternative Rock , Progressive , Rock",$ 0.99,2012 Bonefinger Records,4:57,"September 21 , 2012",0
6229,Operation : Working Vacation ( Bonus Track ),Sugarland,Love On the Inside ( Deluxe Fan Edition ),"Country , Music , Rock , Contemporary Country , Southern Rock , Contemporary Bluegrass",Album Only,"‰ ãÑ 2008 Mercury Records , a Division of UMG Recordings , Inc.",3:59,22-Jul-08,30960,Satellite ( Radio Mix ),Tritonal,Metamorphic III,"Electronica , Dance & Electronic , House",$ 0.99,2014 Enhanced Music Limited,4:01,"September 15 , 2014",0
4260,Life of the Party ( Acoustic ),Shawn Mendes,Handwritten ( Deluxe ),"Pop , Music , Rock , Vocal , Teen Pop , Dance",$ 1.29,"2015 Island Records , a division of UMG Recordings , Inc.",3:13,14-Apr-15,10014,Change My Mind,Billy Ray Cyrus,Change My Mind,"Country , Southern Rock , Rock , Classic Rock",$ 0.99,2012 Blue Cadillac Music LLC,4:40,"October 23 , 2012",0
5426,The Writer ( Live at the iTunes Festival ),Ellie Goulding,Bright Lights ( Deluxe Version ),"Pop , Music , Dance , Rock",$ 1.29,‰ ãÑ 2010 Polydor Ltd. ( UK ),4:09,29-Nov-10,46884,Walking the Floor Over You,The Osborne Brothers,The Ernest Tubb Song Folio,Country,$ 0.99,2012 Pinecastle Records,2:34,"May 15 , 1995",0
4578,Lucky Charm,Keith Urban,Fuse ( Deluxe Version ),"Country , Music",$ 1.29,2013 Hit Red Records under exclusive license to Capitol Records Nashville,3:06,10-Sep-13,48867,Enter Dog Of Pavlov,Soilwork,The Panic Broadcast,"Thrash & Speed Metal , Hard Rock & Metal , Rock",$ 0.99,( c ) 2010 Nuclear Blast GmbH,5:36,"July 13 , 2010",0
2041,"Look In the Mirror ( Paxam Singles Series , Vol . 1 )",Ryan Adams,"1984 ( Paxam Singles Series , Vol . 1 )","Rock , Music",$ 0.99,2014 PaxAmericana Recording Company,1:56,28-Aug-14,7219,Highway 16,Haley Bonar,Big Star,Rock,$ 0.99,2008 Afternoon Records,2:37,"November 3 , 2009",0
905,Fear,Drake,So Far Gone,"Hip-Hop/Rap , Music , R&B / Soul , Contemporary R&B , Hardcore Rap , Dirty South",$ 1.29,2009 Young Money Entertainment/Cash Money Records/Universal Motown,4:40,15-Sep-09,5759,Need U ( 100 % ) [ feat . A * M * E ] [ Radio Edit ],Skrillex,Banger Management,"Dance & Electronic , Dubstep",$ 1.29,Elektroshok Records,2:54,,0
2362,White Christmas,The Henningsens,21 Country Christmas Favorites,"Holiday , Music",$ 1.29,This compilation ( P ) 2014 Sony Music Entertainment,3:07,17-Nov-14,40788,How 's My World Treatin ' You,Billy Ray Cyrus,Shot Full Of Love,Country,$ 0.99,"( C ) 1998 Mercury Records , a Division of UMG Recordings , Inc.",4:17,"November 3 , 1998",0
6503,Medley : Family Portrait ( Live ),P!NK,Funhouse Tour - Live In Australia,"Pop , Music , Dance , R&B / Soul , Pop/Rock",$ 1.99,"‰ ãÑ 2009 RCA/JIVE Label Group , a unit of Sony Music Entertainment",4:00,26-Oct-09,51086,Vegas Lights,Panic ! At The Disco,"Too Weird To Live , Too Rare To Die !",Alternative Rock,$ 1.29,( C ) 1998 Mercury Records Limited,3:09,"October 4 , 2013",0
2802,Exclusive Video Content 2,Little Mix,Get Weird ( Deluxe Edition ),"Pop , Music , Rock , Dance , Teen Pop",Album Only,2015 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited,--,,5863,Run With The Pack,Daddy Yankee,Barroom Classics,"Reggae , Latin Hip-Hop , Rap & Hip-Hop , Latin Music , International Rap , International , Caribbean & Cuba",$ 1.29,( c ) 2004 Los Cangris Music,5:21,,0
4505,TBC Video 2,One Direction,Made In the A.M. ( Deluxe Edition ),"Pop , Music",Pre-Order Only,2015 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited,--,,53330,The '' O '' Cheer,Old Dominion University Monarch Marching Band,Victory For Old Dominion !,"Miscellaneous , Classical",$ 0.99,2010 Old Dominion University Monarch Marching Band,0:50,"August 31 , 2010",0
6511,How to `` Shred the Gnar '',P!NK,Funhouse Tour - Live In Australia,"Pop , Music , Dance , R&B / Soul , Pop/Rock",Album Only,"‰ ãÑ 2009 RCA/JIVE Label Group , a unit of Sony Music Entertainment",4:02,26-Oct-09,20402,Smoke,Mary J. Blige,Growing Pains,R&B,$ 1.29,( C ) 2007 Geffen Records,3:10,"December 18 , 2007",0
3119,Sexy and I Know It,LMFAO,NOW That 's What I Call a Workout,"Fitness & Workout , Music , Pop",Album Only,"Compilation 2012 NOW Joint Venture . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Catalog , 1750 North Vine Street , Hollywood , CA 90028 .",3:19,18-Dec-12,53943,Welcome To The World,Kevin Rudolf,Welcome To The World,Pop,$ 0.99,( C ) 2009 Cash Money Records Inc.,2:39,"August 11 , 2009",0
5893,The Luxury of Knowing,Keith Urban,Get Closer ( Deluxe Version ),"Country , Music , Honky Tonk , Pop , Pop/Rock , Contemporary Country , Rock",$ 1.29,"‰ ãÑ 2010 Hit Red Records under exclusive license to Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37",4:15,22-Feb-11,26032,Busy ( Originally Performed By Olly Murs ) [ Karaoke Version ],Paris Music,Karaoke Hits Olly Murs,Miscellaneous,$ 0.89,2013 Paris Music Limited,3:02,"June 3 , 2014",0
161,Shake It Up,Selena Gomez,Shake It Up - Single,"Pop , Music , Teen Pop , Soundtrack , Soundtrack",$ 1.29,2011 Walt Disney Records,3:00,15-Feb-11,55113,The End Scene ( Bonus Track ),Wretch 32,Wretchrospective ( Deluxe Edition ),"Experimental Rap , International , Rap & Hip-Hop , International Rap , Pop Rap",$ 0.99,( c ) 2012 Renowned Records Ltd.,7:15,"November 12 , 2012",0
4356,Are You Leaving With Him,Luke Bryan,Spring Break ... Checkin ' Out,"Country , Music , Contemporary Country",$ 1.29,2015 Capitol Records Nashville,3:23,10-Mar-15,51302,Sweetest Song,Jessie Ware,Tough Love,Pop,$ 1.29,"( C ) 2014 Island Records , a division of Universal Music Operations Limited",3:27,"October 13 , 2014",0
6648,Better Than Revenge ( Instrumental With Background Vocals ),Taylor Swift,Taylor Swift Karaoke : Speak Now,"Country , Music , Rock , Contemporary Country , Honky Tonk",$ 1.29,"‰ ãÑ 2013 Big Machine Records , LLC .",3:38,5-Feb-13,7882,You Burn In Me,The Riot,Born In America,"Hard Rock & Metal , Rock",$ 0.89,"( C ) 1999 Metal Blade Records , Inc.",3:40,"April 12 , 2011",0
4920,Heartbeat,Carrie Underwood,Storyteller,"Country , Music , Rock",Album Only,"‰ ãÑ 2015 19 Recordings Limited , under exclusive license to Sony Music Nashville , a division of Sony Music Entertainment",--,,29705,I 'm On Your Side,Kathy Mattea,Love Travels,Country,$ 0.99,"( C ) 1997 Mercury Records , a Division of UMG Recordings , Inc.",3:10,"February 4 , 1997",0
3551,"Turn Around ( 5,4,3,2,1 ) [ AK Remix ]",Flo Rida,"Turn Around ( 5,4,3,2,1 ) [ Remixes ]","Dance,Music,Hip-Hop / Rap , Dirty South , Rap , Electronic",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:09,19-Apr-11,53896,The End,The Doors,Weird Scenes Inside The Gold Mine,"Rock , Classic Rock",$ 1.29,1972 Elektra Records,11:43,"April 19 , 2014",0
1124,Staring At the Sun,TV on the Radio,Entourage : Music from and Inspired By the Hit HBO Original Series,"Hip-Hop/Rap , Music , Soundtrack",Album Only,2007 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,3:58,7-Aug-07,3254,Main Titles,Aaron Zigman,Addicted ( Original Motion Picture Soundtrack ) [ + digital booklet ],Soundtracks,$ 1.29,"( C ) 2014 Lions Gate Entertainment , Inc.",1:44,"October 7 , 2014",0
1556,Second Chance ( Live Acoustic from Kansas City ),Shinedown,Somewhere In the Stratosphere ( Live ),"Rock , Music , Metal , Alternative , Hard Rock",$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,5:06,18-Apr-11,28406,How Much Light ( Live At Carnegie Hall / 11/17/2014 ) [ Explicit ],Ryan Adams,Live At Carnegie Hall [ Explicit ],Rock,$ 1.29,( C ) 2015 PaxAmericana Recording Company Under Exclusive Licenese To Blue Note Records,10:09,"April 21 , 2015",0
1737,The Back Roads and the Back Row,Cole Swindell,Cole Swindell,"Country , Music , Contemporary Country",$ 1.29,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,3:41,18-Feb-14,55571,Dispatch The Troops ( Album Version ),Matisyahu,Youth,Alternative Rock,$ 0.99,"( c ) 2003 One Little Indian Records Ltd. . Under license from Ashmont Records , Inc.",4:04,"March 7 , 2006",0
2559,Greenlight ( Bonus Track ),5 Seconds of Summer,5 Seconds of Summer ( Bonus Track Version ),"Pop , Music , Teen Pop , Alternative , Punk , Rock",$ 1.29,2014 Capitol Records Ltd.,2:45,22-Jul-14,24852,San Francisco 1850,Geoff Zanelli,Into the West - Original Soundtrack from the Miniseries,"Miscellaneous , Soundtracks",$ 0.99,2013 Paramount Music !,1:26,"July 12 , 2013",0
2305,Ai n't Back Yet,Kenny Chesney,Greatest Hits II,"Country , Music , Urban Cowboy , Contemporary Country",$ 1.29,2010 Sony Music Entertainment,3:59,1-Mar-10,18518,Unfolded ( Original Mix ),Logarythm,Friends Within The Darkness EP,"Electronica , Dance & Electronic , Trance",$ 0.99,Central Dogma,6:15,"May 31 , 2013",0
1938,Love Song,P!NK,Try This,"Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance",$ 0.99,"2003 Arista Records , Inc.",2:28,10-Nov-03,50403,Eastwood,Brad Paisley,This Is Country Music,Country,$ 1.29,( C ) 2007 The Island Def Jam Music Group,5:02,"May 23 , 2011",0
571,"You Need Me , I Do n't Need You ( Live At the Bedford )",Ed Sheeran,Live At the Bedford,"Singer/Songwriter , Music , Rock , Adult Alternative , Contemporary Singer/Songwriter",$ 1.29,2010 Paw Print Records under exclusive license to Warner Music UK Limited,9:50,9-Dec-11,10451,The End of Skratching ( Feat . Dinoh & Emtech ),Dj Happee,Cinematic Orchestra [ Explicit ],"Electronica , Dance & Electronic,Trip-Hop , Rap & Hip-Hop",$ 0.99,( C ) 2002 Zone Seven Recordings,3:45,"May 2 , 2006",0
629,Booklet - Save Rock and Roll,Fall Out Boy,Save Rock and Roll,"Alternative , Music , Punk , Rock , Adult Alternative",Album Only,2013 The Island Def Jam Music Group,--,16-Apr-13,40074,Savior ( Radio Edit ),Tom Swoon feat . Ruby Prophet,Savior ( Radio Edit ),Pop,$ 1.29,( C ) 2011 EMI Records Ltd under exclusive licence from Swedish House Mafia Holdings Ltd ( BVI ) This label copy information is the subject of copyright protection . All rights reserved . ( C ) 2011 EMI Records,3:24,,0
2704,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,5114,Resurrection ( Axwell 's Recut Club Version ),Various artists,Axtone Presents Thomas Gold,Dance & Electronic,$ 0.89,2012 Axtone Records Ltd,5:00,"June 3 , 2012",0
250,VHS Outro ( Interlude ),X Ambassadors,VHS,"Alternative , Music , Rock , Adult Alternative",$ 1.29,2015 KIDinaKORNER/Interscope Records,1:25,30-Jun-15,11436,So Far Away,Carrie Underwood,"Cozy , Calm Crafternoon",Country,$ 1.29,2009 Roy Charles Herzer,3:55,,0
434,Nothing Would Be Better,Nick Jonas,Nick Jonas,"Pop , Music , Pop/Rock , Rock",$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC",4:34,10-Nov-14,26599,Intro - Predica [ feat . Miri Ben-Ari ],Don Omar,King Of Kings ( Armageddon Edition ),"International , Latin Music , Latin Hip-Hop",$ 1.29,( C ) 2006 Machete Music / VI Music,3:22,"December 19 , 2006",0
2698,Whateva ( feat . Monty ),Fetty Wap,Fetty Wap ( Deluxe ),"Hip-Hop/Rap , Music , Rap",Album Only,2015 300 Entertainment/RGF Productions,5:11,,27504,Crying Out,Shinedown,Leave A Whisper ( Deluxe ),Rock,$ 1.29,2015 Mad Decent,3:31,"May 27 , 2003",0
4674,Take '`` There ( feat . Kiesza ) [ Tchami Remix ],Skrillex & Diplo,Take '`` There ( feat . Kiesza ) [ Remixes ],"Dance , Music",$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International for the world outside the United States . A Warner Music Group Company,4:33,23-Dec-14,8332,"Britten : Gloriana , Op. 53 / Act 2 Scene 1 - 18 . Prelude & Welcome",Alan Opie and Chorus of the Welsh National Opera and Della Jones and Jonathan Summers and Josephine Barstow and Orchestra of the Welsh National Opera and Philip Langridge and Sir Charles Mackerras and,Britten : Gloriana,Classical,$ 0.99,( C ) 2013 Decca Music Group Limited,4:03,"March 18 , 2013",0
4412,Dirt Road Diary,Luke Bryan,Crash My Party,"Country , Music , Contemporary Country",$ 1.29,2013 Capitol Records Nashville,3:28,13-Aug-13,18753,Activity,George Fenton,Frozen Planet ( Soundtrack from the TV series ),Soundtracks,$ 0.99,( C ) 2013 Silva Screen Records,2:01,"March 26 , 2013",0
484,I See Fire,Ed Sheeran,x ( Deluxe Edition ),"Singer/Songwriter , Music",Album Only,"2014 Asylum Records UK , a Warner Music UK Company , except track 16 2013 Warner Bros. . Entertainment Inc. and Metro-Goldwyn-Mayer Pictures Inc.",4:59,20-Jun-14,5191,Wax And Wane ( Remastered Version ),Deftones,B-Sides & Rarities,"Alternative Rock , Alternative Metal , Hard Rock & Metal",$ 1.29,2005 Maverick Recording Company,4:09,"November 2 , 2009",0
4971,You Do n't,Sara Evans,"Beyond The Hits , Vol . 1","Country , Music",Album Only,‰ ãÑ 2011 TriPower,5:11,20-Dec-11,38915,Right Hand [ Clean ],Drake,Right Hand [ Clean ],Rap & Hip-Hop,$ 1.29,( C ) 2015 Cash Money Records Inc.,3:10,"August 3 , 2015",0
2453,It 's Never Easy to Say Goodbye,Kenny Chesney,Me and You,"Country , Music , Urban Cowboy , Contemporary Country",$ 0.99,1996 BMG Entertainment,4:44,1-Jan-90,29533,Day One,Tamia,Love Life,R&B,$ 1.29,"( C ) 2015 Def Jam Recordings , a division of UMG Recordings , Inc.",3:49,"June 9 , 2015",0
3717,Exclusive Video Content 2,Little Mix,Get Weird ( Deluxe Edition ),"Pop , Music , Rock , Dance , Teen Pop",Album Only,2015 Simco Limited under exclusive licence to Sony Music Entertainment UK Limited,--,,26365,Let 's Get It Started,Kidz Bop Kids,Kidz Bop Sings The Black Eyed Peas,Children 's Music,$ 1.29,( C ) 2010 Kidz Bop,3:36,"February 1 , 2011",0
2890,Outversion,Mark Ronson,Version,"Pop , Music , R&B / Soul,Soul,Dance,Rock,Hip-Hop / Rap,Hip-Hop , Adult Alternative , Electronic , Pop/Rock",$ 0.99,2007 Mark Ronson under exclusive license to SONY BMG MUSIC ENTERTAINMENT ( UK ) LIMITED,1:52,10-Jul-07,11272,Control,Disclosure,Control,Dance & Electronic,$ 0.89,2013 Greco-Roman Ltd,4:49,"April 2 , 2013",0
932,Hotline Bling,Drake,Hotline Bling - Single,"Hip-Hop/Rap , Music , Rap",$ 1.29,2015 Cash Money Records Inc.,4:27,31-Jul-15,8873,Alive,Caribou Vibration Ensemble,Caffeine for Your Ears,Dance & Electronic,$ 1.29,Caribou Vibration Ensemble,4:50,,0
4986,I Hold On,Holly Williams & Chris Janson,Here With Me,"Country , Music , Rock , Adult Alternative",$ 0.99,"‰ ãÑ 2009 Mercury Records , a Division of UMG Recordings , Inc.",2:46,16-Jun-09,1954,Sweet Lorraine,Tony Bennett,60 Years : The Artistry of Tony Bennett,Jazz,$ 0.99,Ministry of Sound Recordings Ltd,3:40,"October 4 , 2013",0
1748,I Got ta Feeling,black eyed peas,Until the Morning 2,"Pop , Music",$ 1.29,2014 BY Music,4:49,4-Aug-14,36561,Trophy For The Victors,Henry Jackman,Pixels : The Movie ( Original Motion Picture Soundtrack ),Soundtracks,$ 1.29,( C ) 2015 CTMG,1:04,"July 24 , 2015",0
5484,That ‰ Ûªs Damn Rock & Roll,Eric Church,The Outsiders,"Country , Music , Contemporary Country , Urban Cowboy",$ 1.29,‰ ãÑ 2013 EMI Records Nashville,4:26,11-Feb-14,42477,We Are Not Forever,Altrice,Stem ( Caribou 's Swim '' Remixed ) '',Dance & Electronic,$ 0.99,2011 City Slang,6:21,"February 18 , 2011",0
1496,Through the Ghost,Shinedown,The Studio Album Collection,"Rock , Music",$ 1.29,2013 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:01,8-Nov-13,37901,I 'm Gon na Love You Too,Various artists,Rave On Buddy Holly [ + Digital Booklet ],Pop,$ 0.99,"( C ) 2011 MPL Communications Inc. and Concord Music Group , Inc.",2:11,"June 28 , 2011",0
6662,Sparks Fly,Taylor Swift,Speak Now,"Country , Music , Rock , Contemporary Country , Honky Tonk",$ 1.29,"‰ ãÑ 2010 Big Machine Records , LLC .",4:20,25-Oct-10,50643,Waitin ' On a Woman,Brad Paisley,Time Well Wasted,Country,$ 1.29,"( C ) 1991 Mercury Records , a Division of UMG Recordings , Inc.",4:32,"August 16 , 2005",0
706,Thriller ( Live From Hammersmith Palais ),Fall Out Boy,Infinity On High ( Deluxe Edition ),"Alternative , Music , Rock , Adult Alternative , Punk",$ 0.99,2007 The Island Def Jam Music Group,3:32,20-Nov-07,3912,Amazing ( Clean ) ( feat . Chris Brown ),David Banner,Amazing ( Clean ) ( feat . Chris Brown ) - Single,"Rap & Hip-Hop , Pop",$ 0.99,2012 b.i.G. f.a.c.e. Entertainment,3:30,"May 7 , 2012",0
5335,Get With It,Tantrum Desire,UKF Bass Culture 2,"Dance , Music , Electronic",$ 0.99,‰ ãÑ 2012 UKF Music,4:31,2-Sep-12,36903,Lucky,David Guetta,Pop Love,"Dance & Electronic , House",$ 1.29,2012 Blue Drum Records,3:11,,0
6029,Disco Heaven,Lady Gaga,The Fame Monster ( Deluxe Version ),"Pop , Music",$ 1.29,‰ ãÑ 2014 Interscope Records,3:41,5-Aug-14,34054,She Wolf ( Falling to Pieces ) [ feat . Sia ],David Guetta,Nothing But the Beat 2.0 [ Explicit ],Dance & Electronic,$ 1.29,2015 Real Sounds,3:42,"August 26 , 2011",0
6728,You 're Not Sorry,Taylor Swift,Fearless,"Country , Music , Rock , Honky Tonk , Pop , Adult Contemporary , Contemporary Country",$ 1.29,"‰ ãÑ 2008 Big Machine Records , LLC",4:21,11-Nov-08,8458,Any Colour,Cutting Crew,Broadcast,Rock,$ 1.29,( C ) 1986 Virgin Records LtdThis label copy information is the subject of copyright protection . All rights reserved . ( C ) 1986 Virgin Records Ltd,4:43,"July 11 , 1992",0
1234,Titanium ( Cazzette 's Ant Seeking Hamster Mix ) [ feat . Sia ],David Guetta,Titanium ( Remixes ) [ feat . Sia ],"Dance , Music , Electronic",$ 0.99,"2011 What A Music Ltd , licence exclusive Parlophone Music France",6:37,20-Jan-12,55725,We Are One ( Portuguese Rio Remix ),Zumba Fitness,Zumba Fitness ( 50 Hits for Fitness ),Dance & Electronic,$ 0.99,Jb Production,2:43,"May 15 , 2015",0
3428,For Her ( Live ),Wiz Khalifa & Curren $ y,Live In Concert - EP,"Hip-Hop/Rap , Music , Rap , Dirty South , Hardcore Rap , East Coast Rap",$ 1.29,2013,4:32,20-Apr-13,220,Watch The Sun Come Up ( Radio Edit ),Example,#Hits [ Explicit ],Dance & Electronic,$ 0.99,( c ) 2013 Ministry of Sound Recordings Ltd.,3:24,"August 5 , 2013",0
2860,In the Bathtub,Geoff Zanelli & Mark Ronson,Mortdecai ( Music from the Motion Picture ),"Soundtrack , Music , Original Score , Soundtrack , Classical",$ 1.29,2015 Lions Gate Records Inc.,2:23,20-Jan-15,37763,Good Morning Friend ( Album Version ),Johnny Cash,Ragged Old Flag,"Country , Country Rock , Rock",$ 0.99,( C ) 1994 Geffen Records,2:03,"December 11 , 2001",0
