tableA_id,tableA_title,tableA_name,tableA_episodeNumber,tableA_seasonNumber,tableA_deathYear,tableA_birthYear,tableA_endYear,tableA_startYear,tableA_genre_list,tableA_primaryProfessions,tableA_runtimeMinutes,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
3464,Slight Delay,,19.0,7.0,,,,1960-01-01,Drama,,30.0,1025,Sins of the Father,,"'A white man is found lynched in a historic black section of the city; Falsone and Lewis investigate. The day after Tim's dinner date with the male restaurant owner that Tim was positive about, Frank is perplexed by Tim's interest in Laura Ballard. The autopsy reveals that the hanged man was also whipped. Gharty worries about Ballard getting involved with ''''switch-hitter'''' Bayliss. Lewis is convinced the lynching is related back to the victim's Civil War ancestor, infamous runaway-slave catcher and free-blacks abductress. Tim and Laura attend an art show.",10.0,6.0,1998-01-09,,0
3516,,Neil Dudgeon,,,,1961-01-01,,,,"actor,soundtrack",,3208,,Jo Jo D'Amore,,,,,guestStars,0
4178,Act of Piracy,,18.0,2.0,,,,1961-01-01,Adventure,,60.0,726,Act of Piracy,,,18.0,2.0,1961-02-13,,1
773,Black and Blue,,3.0,2.0,,,,1994-01-01,"Crime,Drama,Mystery",,,7356,Black and Blue,,"Things begin to heat up between Pembleton and Gee over the alleged police brutality case and one of the suspects is an ex-lover of Kay's. Bolander meets a waitress who encourages him to resume his cello playing. Munch's girlfriend is less than enthusiastic when he surprises her with a new fish for her tank. Frank, in the box, gets the confession that Gee is looking for. Unfortunately, the suspect is anything but guilty of that crime.",3.0,2.0,1994-01-20,,1
4061,Gone for Goode,,1.0,1.0,,,,1993-01-01,"Crime,Drama,Mystery",,48.0,2222,,Rich Gordon,,,,,guestStars,0
202,,Chris Snell,,,,,,,,actor,,6475,,Tobey Huss,,,,,guestStars,0
481,Running with the Bulls,,4.0,9.0,,,,2017-01-01,Comedy,,32.0,6913,Prison Riot,,"A riot breaks out at the prison, where two inmates are killed. The squad goes to the scene, but Frank must still stay behind. Bayliss, Lewis, Kellerman and Howard interview the inmates; many of them have familiar faces. Frank works on his target practice. Bayliss thinks that one inmate really wanted to tell him something, so he puts together a deal to get the information. The inmate confesses to the murder and Bayliss doesn't believe him. Another riot breaks out and the truth is finally discovered.",3.0,5.0,1996-10-18,,0
481,Running with the Bulls,,4.0,9.0,,,,2017-01-01,Comedy,,32.0,5032,,Biff Wiff,,,,,guestStars,0
1937,,Mike Rowe,,,,1962-01-01,,,,"producer,miscellaneous,actor",,3540,,Mike Rowe,,,,,actor,1
2810,Goodness Gracious Me,,,,,,2015-01-01,1998-01-01,Comedy,,45.0,4085,,Andy Richter,,,,,guestStars,0
4592,,Karen Burthwright,,,,,,,,actress,,3486,,Griffin Dunne,,,,,guestStars,0
4393,King of the City,,33.0,1.0,,,,2016-01-01,"Animation,Comedy,Family",,,6650,King of the City,,"Monty wonders if being the best is the most important thing, when Gran encourages him to win a painting competition.",33.0,1.0,2017-04-19,,1
1629,,Albena Katerinska,,,,,,,,"editor,editorial_department,sound_department",,1240,Sidelines,,"The syndicate deals with a shooting, and discovers that the victim has been sexually mutilated. Andy seems determined to freeze Janet out of the investigation. Sean tries to engineer a reconciliation between Rachel and her mother, and Rachel warms to the idea of marriage.",7.0,2.0,2012-04-23,,0
4746,,Yui Horie,,,,1976-01-01,,,,"actress,soundtrack,music_department",,7456,Pea Soup,,"Monty thinks Gran's soup might be the tastiest ever, but he wonders how you can know if something is the best in the world.",23.0,1.0,2016-09-07,,0
3219,,Vladimir Ushakov,,,2011-01-01,1920-01-01,,,,actor,,6283,,Elizabeth Marvel,,,,,guestStars,0
3841,Die f?nfte Kolonne,,,,,,1968-01-01,1963-01-01,Drama,,60.0,3451,,Donald Neal,,,,,guestStars,0
2510,,Jorge Zamacona,,,,,,,,"producer,writer,miscellaneous",,3411,,Joey Luthman,,,,,guestStars,0
1683,,Nassim Al Fakir,,,,1977-01-01,,,,"actor,soundtrack",,1394,,Laraine Newman,,,,,guestStars,0
4347,,Rosie O'Donnell,,,,1962-01-01,,,,"actress,writer,producer",,1040,,Jorge Zamacona,,,,,writers,0
4460,,Murray Parker,,,1965-01-01,1896-01-01,,,,actor,,6764,It Happening One Night,,Avant-garde supervillains try to arch Dr. Venture while Hank searches for love in a den of ninjas.,6.0,6.0,2016-03-07,,0
1633,,Kristin Stanford,,,,,,,,,,3812,Hostage (1),,"Gaffney and Barnfather give Gee a hassle about the return of Frank to duty and the sudden departure of Russert to Europe. Bayliss and Munch are called to the scene of a homicide, where the victim, Mrs. Uba, was cooking breakfast and the only witness may be a male pig named Angie. Frank returns to work and Gee tells him what his limited duties are going to be and that he's called in all his favors and both their asses are on the line. The squad is called out for a hostage situation at a middle school.",1.0,5.0,1996-09-20,,0
2503,Meet the Blacks,,1.0,6.0,,,,2007-01-01,Comedy,,30.0,7288,Meet the Blacks,,The Davids take in a family whose life was destroyed by a hurricane; Larry comes up with a way to avoid going to parties he has no desire to attend,1.0,6.0,2007-09-09,,1
5017,,Mark Fielder,,,,,,,,"producer,director,writer",,4111,Blood Brothers,,"'Les, Michael and Gary Murphy, brothers from an Irish family of nine children, were three of the five men convicted of the savage rape and murder of Sydney nurse and beauty queen, Anita Cobby, which sparked calls for the reintroduction of the death penalty. The others were John Travers and Michael Murdoch.Michael Murphy, 33 at the time of the murder, was the eldest of the nine Murphy children. He had been sent to live with his grandmother when he was 12. His brother Gary Murphy was five years younger. Hearing impairment affected Gary Murphy's schooling and he left early to seek work. His strong interest in cars led to him facing several automotive theft related charges in the years before the murder. He was also known to have a very violent temper.Leslie Joseph Murphy was the youngest of the Murphy children, but was known as having the worst temperament. He had faced Children's Court on many occasions for a number of theft-related offences and was 24 at the time of the Cobby murder. Travers was a depraved 18-year-old who had grown up in a dysfunctional family in the outer suburbs of Sydney. He shared his blood with best mate Michael Murdoch in a ceremony that made them so-called blood brothers. The five are serving life sentences for the murder.",5.0,4.0,2010-12-07,,0
832,,Oliver McGowan,,,1971-01-01,1907-01-01,,,,actor,,6561,,Dort Clark,,,,,guestStars,0
1514,,Don Kelly,,,1966-01-01,1924-01-01,,,,actor,,2182,,Mikko Salasuo,,,,,guestStars,0
344,,Charlotte Stewart,,,,1941-01-01,,,,actress,,3774,,Miguel Sapochnik,,,,,directors,0
4203,,Almira Sessions,,,1974-01-01,1888-01-01,,,,"actress,soundtrack",,6030,Wrestling With The Devil,,"'In Yakima, Washington, high school athletic director ''Gabby'' Moore turns out winning teams and championship athletes. But when two of Gabby's prot?g?s are unexpectedly drawn into his personal life a deadly game of love, loyalty, lust and betrayal arises.",4.0,1.0,2013-11-23,,0
510,Jobs That Bite,,16.0,2.0,,,,2006-01-01,Reality-TV,,,4436,Jobs That Bite,,"Mike starts off Shark Week by going to South Africa to look at some great white sharks inside a shark cage. Mike then heads to a shark research lab and gets a deeper understanding about shark anatomy as he conducts an autopsy of a dead tiger shark. Mike then works with some shark researchers and helps electronically tag them and collect shark DNA. Mike then goes to the island of Bimini in the Bahamas and helps test a new shark repellent, which is made from the smell of dead sharks. Finally, Mike hangs out with a professional shark spotter off the coast of South Africa who watches the ocean to protect beachgoers.",7.0,0.0,2006-07-30,,1
4023,The Madam,,18.0,1.0,,,,1974-01-01,"Crime,Drama",,60.0,3692,,Walter Baldwin,,,,,guestStars,0
3191,,Christopher Macke,,,,,,,,actor,,3572,,Kathryn Bigelow,,,,,directors,0
2085,All Is Bright,,8.0,6.0,,,,1997-01-01,"Crime,Drama,Mystery",,,5687,All is Bright,,"Ballard and Gharty investigate the death of a man at a laundromat. The Waterfront Bar gets ready for the Christmas holiday. Munch's ex-wife, Gwen, shows up; her mother (a literary critic and author) has died. Tim goes Christmas shopping and runs into Julianna; he invites her to come to the Waterfront's Christmas celebration. Ballard and Gharty interview the victim's girlfriend (as listed in his address book). Cox informs Ballard and Gharty that the victim was HIV positive and she also convinces Kellerman to tell Lewis and Stivers about the Mahoney videotape. Munch gets his brother to give Gwen a deal on her mother's funeral arrangements. The victim's mother knew about his HIV status and about a girlfriend he didn't use protection with, whose name didn't appear in the address book. Ballard and Gharty find this woman and find that she has full-blown, terminal AIDS, and they bring her in for questioning. Ballard feels the woman has suffered enough so she is reluctant to a get her confessi",8.0,6.0,1997-12-12,,1
3010,,Suzanne Charny,,,,1944-01-01,,,,actress,,4205,,Daniel Mainwaring,,,,,writers,0
2537,Legacy,,29.0,4.0,,,,1957-01-01,Drama,,30.0,1990,Love & Betrayal,,"Love is a universal and powerful emotion. But it can also be destructive. Lust can destroy, betrayal can wound. Such an often-irrational force asks questions of any society.",4.0,1.0,2017-12-23,,0
1557,100th Dirty Job Special,,22.0,2.0,,,,2006-01-01,Reality-TV,,88.0,7574,100th Dirty Job Special,,"Mike celebrates his 100th dirty job as an Army mechanic and takes a look back at some of his past jobs. Also, Mike answers more viewer questions, shows even more bloopers and airs even more unaired footage.",9.0,0.0,2006-09-05,,1
369,,Ben Edlund,,,,1968-01-01,,,,"producer,writer,animation_department",,7307,Music Power,,Monty and Jimmy Jones embark on a musical journey to discover all the different ways music can make you feel.,61.0,1.0,2017-10-16,,0
1805,,Oleg Tabakov,,,2018-01-01,1935-01-01,,,,"actor,director,assistant_director",,175,,Elizabeth Reaser,,,,,guestStars,0
473,,John W. Dunn,,,1983-01-01,1919-01-01,,,,"writer,animation_department,art_department",,6322,Searching for Sugarman,,,22.0,0.0,2013-10-09,,0
1523,Padamati Sandhya Ragam,,,,,,,1987-01-01,Romance,,142.0,2812,Voice (2017),,"Set around an emergency 112 call center. During the golden time after a crime takes place, the call center chases criminals including a serial killer.",,,2017-01-14,,0
4028,,Robert Dillon,,,,1932-01-01,,,,"writer,miscellaneous,producer",,3946,Bamboo Derby II ~ Sponge Bridge,,,18.0,1.0,2008-02-03,,0
4282,,Chris Openshaw,,,,,,,,"cinematographer,camera_department,visual_effects",,5958,,Noam Zylberman,,,,,guestStars,0
3598,,James Tolkan,,,,1931-01-01,,,,"actor,director",,5504,,Rachel Crane,,,,,guestStars,0
4122,The Assassins,,9.0,3.0,,,,1961-01-01,Adventure,,48.0,2167,,Kate Flannery,,,,,guestStars,0
1997,,Darryl Wharton,,,,1968-01-01,,,,"writer,director,producer",,889,,Parisa Amiri,,,,,guestStars,0
3345,Never Wait for Seconds!,,8.0,9.0,,,,2017-01-01,Comedy,,35.0,6244,Sodachi Lost - Part 3,,"Ougi claims to have figured out the whereabouts of Oikura’s mother and, in her own way, helps Araragi and Hanekawa to solve the mystery.",6.0,4.0,2015-11-08,,0
656,Chapter 21,,8.0,2.0,,,,2014-01-01,Drama,,48.0,1551,Chapter 21,,The war with Tusk intensifies. Claire influences Tricia Walker politically and domestically. Francis has a show-down with Linda Vasquez.,8.0,2.0,2014-02-14,,1
1536,,Michel Piccoli,,,2020-01-01,1925-01-01,,,,"actor,producer,director",,4950,,Martin Short,,,,,guestStars,0
322,,Jayne Atkinson,,,,1959-01-01,,,,"actress,producer",,2175,Storm Advisory,,"Andre comes face to face with David at Mary Jane’s house. Meanwhile, changes are afoot at SNC and after an anchor is unceremoniously fired, Mary Jane, Kara and Mark all fear for their jobs. Lisa struggles with a bout of depression. ",1.0,1.0,2014-01-07,,0
1264,,Kathy Bates,,,,1948-01-01,,,,"actress,director,soundtrack",,6252,,Paul Klintworth,,,,,guestStars,0
4480,,Tommy Kirk,,,,1941-01-01,,,,"actor,soundtrack",,3025,,Hans Wiese,,,,,writers,0
143,Take Care of My Child,,11.0,4.0,,,,1956-01-01,Drama,,30.0,7103,The Buddy System,,"Dr. Venture decides to raise money by running a Day Camp for Boy Adventurers. Things don't go quite as planned when a giant ape gets loose, Action Johnny loses it, Sgt. Hatred arrives for an unscheduled bush burning, Hank gets a new friend who pushes Brock's buttons, and the Monarch sends the Moppets in to spy.",5.0,3.0,2008-06-29,,0
3231,,Lydia Schiller,,,,,,,,"miscellaneous,writer,script_department",,4527,,tvN,,,,,,0
3156,,David H. Brooks,,,,1978-01-01,,,,"producer,director,editor",,5944,Fallen Arches,,"When the Guild of Calamitous Intent finally approves Dr. Orpheus for his very own arch nemesis he calls upon old friends The Alchemist and Jefferson Twilight to resurrect their former super-team, The Order of the Triad.  While they audition supervillain candidates at the Venture Compound, a jealous Doc isn't about to let Orpheus steal the show.  Let loose the Walking Eye!",8.0,2.0,2006-09-03,,0
3930,,Damon Crump,,,,1964-01-01,,,,"camera_department,cinematographer,producer",,1371,Saigon Rose,,"Two Vietnamese teenagers witness the shooting of their parents and some friends. One of the friends was a cop and one of the shooters they say was another cop. That cop they discover failed her psyche evaluation but may have possibly gotten her job due to Affirmative Action; although strings pulled by her father proved to be her ticket into law enforcement. After they are able to implicate the cop in the shooting, as a bonus they discover the body of her string-pulling father. Ballard suffers from an allergic reaction to crabs. Falsone finds out that the case against Georgia Rae Mahoney is going to be dropped because of a lack of evidence. He suspects that the whole Mahoney thing is going to blow up in the department's face, because he knows the Mahoney shooting didn't go down the way Stivers, Kellerman and Lewis reported it. Kellerman debates with Cox about what he should do about the Mahoney situation.",6.0,6.0,1997-11-21,,0
542,Sex Opera,,,,,,,2001-01-01,"Adult,Drama,Romance",,102.0,6609,Shark,,"'Sebastian Stark, a charismatic, supremely self-confident defense attorney who, after a shocking outcome in one of his cases and a personal epiphany, brings his cutthroat tactics to the prosecutor's office as the head of the Los Angeles District Attorney's High Profile Crime Unit. A group of young prosecutors are about to have the learning experience of a lifetime because, though Stark is seeking to redeem himself, he has no intention of cooling his underhanded approach to cases just because he's now working for the ''good guys.''",,,2006-09-21,,0
2479,,William Colgate,,,,,,,,actor,,7428,,Patrick Bristow,,,,,guestStars,0
