tableA_id,tableA_title,tableA_name,tableA_abstract,tableA_episodeNumber,tableA_seasonNumber,tableA_numberOfSeasons,tableA_numberOfEpisodes,tableA_birthDate,tableA_releaseDate,tableA_last_air_date,tableA_release_year,tableA_runtime,tableA_genre_list,tableA_origin_country,tableB_id,tableB_title,tableB_name,tableB_abstract,tableB_episodeNumber,tableB_seasonNumber,tableB_releaseDate,tableB_job,label
4158,Episode 22,,,22.0,1.0,,,,2003-02-12,,2003-01-01,,,,7534,,'	Fiona Allen,,,,,actor,0
2429,Episode 19,,"Jihu runs out of the clinic and wanders in the rain. Jandi's heart aches for Jihu, as she nurses him all night long. At the same time, Junpyo awaits Jandi at the rooftop house. Yijung takes Gaeul out to the club, chats with other ladies, and makes her feeling uncomfortable. However, already knows the pain in his heart, Gaeul pities him instead. After finding out the whereabouts of Junpyo, his mother confines him to the house. Then she goes to Jandi to humiliate her in front of everyone. The next day, F3 and Gaeul visit Jandi to comfort her and they start rooftop room renovation. Jaekyeong takes Junpyo out from home and joins them, and when they all start ‘the truth game’, the tension starts rising.",19.0,1.0,,,,2009-03-10,,2009-01-01,,,,1436,,J.D. Smith,,,,,writers,0
3905,Rainy Day,,"When the rain interrupts Monty and Jimmy Jones' backyard games, Stan brings them inside. Monty wonders whether there is a way to have fun outside, even when it's raining.",13.0,1.0,,,,2016-07-06,,2016-01-01,,,,509,,Stacey Grenrock-Woods,,,,,guestStars,0
3552,The Killing Fields of Truro,,"'For the 2008 launch of Crime Investigation Australia CI presents the complete and compelling story of ''The Killing Fields of Truro'', one of the most infamous crimes in Australia and yet another set in Adelaide.  Seven young women disappeared in the 51 days between December 23, 1976 and February 12, 1977. James William Miller confessed that during this time he helped the man he loved, Christopher Robin Worrell, dispose of the bodies of the young women who Worrell had sexually assaulted and then murdered while Miller was waiting nearby. The skeletal remains of four of the victims were discovered in bush graves over a 12 month period in 1978-79 in the Truro district, 80 kilometres north-east of Adelaide.",1.0,2.0,,,,,,,,,,631,The Killing Fields of Truro,,"'For the 2008 launch of Crime Investigation Australia CI presents the complete and compelling story of ''The Killing Fields of Truro'', one of the most infamous crimes in Australia and yet another set in Adelaide.  Seven young women disappeared in the 51 days between December 23, 1976 and February 12, 1977. James William Miller confessed that during this time he helped the man he loved, Christopher Robin Worrell, dispose of the bodies of the young women who Worrell had sexually assaulted and then murdered while Miller was waiting nearby. The skeletal remains of four of the victims were discovered in bush graves over a 12 month period in 1978-79 in the Truro district, 80 kilometres north-east of Adelaide.",1.0,2.0,2008-03-20,,1
5752,,Mary Dormal,,,,,,,,,,,,,544,Game Over,,Two boys pay for skipping school to play video games when the characters come to life.,1.0,2.0,1994-09-10,,0
581,Somebody Else's Dream,,,15.0,4.0,,,,1956-12-09,,1956-01-01,,,,4154,,Joe Hansard,,,,,guestStars,0
3174,Under The Sea,,"Inspired by his mother, Jeannette, Jacques prepares an Egg and Tomato Gratin and Greens with Quick Cream Dressing. His wife Gloria inspired the first course, Smoked Whitefish Tartine. Stuffed Scallops on Mushroom Rice and Pineapple Wedges in Caramel would inspire anyone wanting great food!",14.0,1.0,,,,,,,,,,7706,Scandinavia,,"Baz Ashmawy and his mother Nancy's adventures take them to Scandinavia, where they undergo a nailbiting gyrocopter ride, drive a colossal tank and charge across the snow on a dog sled. Their trip ends at Santa's Elf School, where Nancy is in for a big surprise.",2.0,2.0,2015-09-08,,0
2767,J-I– JIMMY V-A-L– VALENTINE,,"JJ’s love-match with Izzy becomes a cage match with Kenneth. Maya and Jimmy dismiss Valentine’s Day as a holiday for suckers until they find a way to profit from it. Unable to find a date to a prepaid romantic night out, Ray brings Dylan.",14.0,3.0,,,,2019-02-15,,2019-01-01,,,,4369,,Ann Dowd,,,,,guestStars,0
2407,,Isabella Rossellini,,,,,,,,,,,,,6479,The Silent Speaker (2),,"Wolfe and Archie investigate the murder of the Head of the Bureau of Price Regulations, who was about to speak before the National Industry Association.",14.0,2.0,2002-07-21,,0
3986,,Rosa Mart?n,,,,,,,,,,,,,1893,,John Waters,,,,,guestStars,0
2369,,Brice Parain,,,,,,,,,,,,,2362,Like A Pierrot III ~ Daruma 7,,,22.0,1.0,2008-02-03,,0
1505,The Ice Cave,,"Everything in Iceland continues to fascinate the four dummies, and this time, they visit Jokulsarlon to see the icebergs and a beautiful ice cave that formed hundreds of years ago. At night, they drive out to see the Northern Lights again, and they enjoy themselves stargazing and making new memories together.",5.0,3.0,,,,2016-01-29,,2016-01-01,,,,1386,The Ice Cave,,"Everything in Iceland continues to fascinate the four dummies, and this time, they visit Jokulsarlon to see the icebergs and a beautiful ice cave that formed hundreds of years ago. At night, they drive out to see the Northern Lights again, and they enjoy themselves stargazing and making new memories together.",5.0,3.0,2016-01-29,,1
2565,Episode 16,,,16.0,2.0,,,,2017-08-14,,2017-01-01,,,,4994,,Carol Sutton,,,,,guestStars,0
2224,,Edward J. Lakso,,,,,,,,,,,,,3152,,Richard Binsley,,,,,guestStars,0
3020,,Son Ho-jun,,,,,,,,,,,,,2910,"Towards the Present, 1934-1984",,"Energy and alienation in Dylan Thomas, Robert Lowell, Philip Larkin, and Ted Hughes. Featured performers: Julian Glover, Anthony Hopkins, and Stacy Keach.",16.0,1.0,1984-12-09,,0
4790,For Better or For Worse,,,2.0,6.0,,,,1958-10-12,,1958-01-01,,,,3222,,Radoslav Brzobohat?,,,,,actor,0
152,,Marion Rothman,,,,,,,,,,,,,539,,Matt North,,,,,guestStars,0
1105,,Jyrki Salenius,,,,,,,,,,,,,263,,Henry Brandon,,,,,guestStars,0
1934,,Ted Hall,,,,,,,,,,,,,3904,The Raft,,"One of Adam's girlfriends, is a passenger on a boat that has struck a mine.",8.0,1.0,1959-11-30,,0
5412,Faceless,,"At the Surge Consortium, Prof. Surge himself introduces the new non-polluting battery. Ace the guest there hears a rumbling noise and investigates the newest room with one of the security guards. Both received a surprise attack from a woman with no face. Ace tried to stop her but she outmatched Ace. Hours later, Surge is angry about the theft of the silicon rods and without know understanding the reason. Ace learns that her name is Faceless from Vega, the most clever thief in Electro City. She also been hired by Black Jack to stop Sonny Boy who has been incriminating evidence which could put Black in jail. Faceless starts having much fun to the dismay of Ace who finds the Magic Express particly trashed along with one of her riddles, Vega is caught sleeping on the job by Capt. Freidrichs via the newspaper, and Black Jack who wants Faceless to stick to the job at hand. Ace and Cosmo decipher the riddle and gets set for a midnight meeting on the dock. Faceless steals a titanium tube from",12.0,1.0,,,,1999-05-15,,1999-01-01,,,,5919,Faceless,,"At the Surge Consortium, Prof. Surge himself introduces the new non-polluting battery. Ace the guest there hears a rumbling noise and investigates the newest room with one of the security guards. Both received a surprise attack from a woman with no face. Ace tried to stop her but she outmatched Ace. Hours later, Surge is angry about the theft of the silicon rods and without know understanding the reason. Ace learns that her name is Faceless from Vega, the most clever thief in Electro City. She also been hired by Black Jack to stop Sonny Boy who has been incriminating evidence which could put Black in jail. Faceless starts having much fun to the dismay of Ace who finds the Magic Express particly trashed along with one of her riddles, Vega is caught sleeping on the job by Capt. Freidrichs via the newspaper, and Black Jack who wants Faceless to stick to the job at hand. Ace and Cosmo decipher the riddle and gets set for a midnight meeting on the dock. Faceless steals a titanium tube from",12.0,1.0,1999-05-15,,1
4625,Episode 20,,"Jandi becomes Junpyo’s personal maid and controls over Junpyo’s naughty behavior. While she was in Junpyo’s room to wake him up, Jaekyung and Junpyo’s mother enter the room and get shocked to see her. The mother wants to kick her out from the house immediately, but the head maid and Jaekyung intervene in. Seokyeong collapses at the clinic and Jandi takes him to Jihoo’s house. Jandi tries to reconcile the two and now they start to live under the same roof. Gaeul now knows that Eunjae was Yijung’s first love, and tries her best to bring them together.",20.0,1.0,,,,2009-03-16,,2009-01-01,,,,5139,All the Gory Details!,,A pair of newspaper reporters try to track down an old mad scientist.,6.0,2.0,1994-10-01,,0
2984,Chapter 20,,"Despite some friction, the Walkers deepen their friendship with the Underwoods. But it's all-out war between Francis and Tusk.",7.0,2.0,,,,2014-02-14,,2014-01-01,,,,6704,The Substance,,,31.0,0.0,2013-10-30,,0
1931,,Oscar Bucher,,,,,,,,,,,,,6885,,Molly McGlynn,,,,,directors,0
1464,The Madam,,,18.0,1.0,,,,1974-04-12,,1974-01-01,,,,4537,Chapter 66,,"As the first woman president, Claire faces increased scrutiny and threats. Sibling power couple Annette and Bill Shepherd attempt to influence policy.",1.0,6.0,2018-11-02,,0
1736,Animal Rendering,,Mike takes a trip to the La Brea Tar Pits in Los Angeles to find out about the important work being done in Pit 91. Then Mike travels north where he learns about rendering and discovers how much of a farm animal can be recycled.,3.0,5.0,,,,2009-01-20,,2009-01-01,,,,6621,,Inger Stevens,,,,,guestStars,0
4332,Like a Pierrot III ~ Daruma 7,,,22.0,1.0,,,,,,,,,,1383,,Paul Stanley,,,,,directors,0
3959,,Roger Crouzet,,,,,,,,,,,,,2349,Mosquito Control Officer,,"'Mike helps New Orleans residents restore, rebuild and revive their city in the aftermath of Hurricane Katrina.",20.0,2.0,2006-12-19,,0
3607,Cop Killer: The Winchester Assassination,,"The highest ranking police officer in Australia to be murdered, Assistant Federal Police Commissioner Colin Winchester was shot twice in the head at point blank range as he was getting out of his car outside his Deakin home on January 10, 1989. At the time of his death Winchester was the Chief of Police in ACT region. He had served in the law enforcement of 27 years, firstly with the Australian Capital Territory Police Force and then in the Australian Federal Police after its formation in 1979. The shock of his death and the long investigation which followed left a lasting imprint on his fellow officers as they struggled to bring the killer to justice.",8.0,3.0,,,,2009-09-24,,2009-01-01,,,,284,,Clark Johnson,,,,,director,0
428,,Marie Guillard,,,,,,,,,,,,,5654,,Tate Donovan,,,,,guestStars,0
3583,Episode 13,,,13.0,1.0,,,,2016-12-17,,2016-01-01,,,,5387,N?vrat dom?,,"'Franti?ek odj??d? na kr?tk? v?let za Butteauv?mi. Zde n?hodou uvid? Paulu a Th?ma a pochop?, kdo je Th?movou tajnou l?skou. V ten okam?ik ho dostihne Lotty, Franti?ek s n? nechce mluvit.Mlad? V?k se dozv?d?, ?e jeho maminka je nemocn? a rozhodne se odjet dom?. Otec ho zprvu nechce p?ijmout. I kdy? jeho n?vrat maminku uzdrav?, otec s Franti?kem jedn? ?patn?, je pro n?j jen levnou pracovn? silou, dokonce mu ?acuje kapsy, kdy? m? podez?en?, ?e Franti?ek kradl v kr?m?. Franti?ek by r?d ode?el do Prahy.",6.0,1.0,,,0
3765,Shakespeare 1564-1616,,"A chronological look at Shakespeare's dramatic genius, using extracts from eight plays: Romeo and Juliet, Henry V, Twelfth Night, Hamlet, King Lear, Antony and Cleopatra, Cymbeline and The Tempest.",5.0,1.0,,,,1984-05-30,,1984-01-01,,,,2784,,Jeffrey Thomas,,,,,guestStars,0
2905,,Niklas Nyberg,,,,,,,,,,,,,6693,The Weeping Woman,,"'Camille and Mildred from ''Fare Tonight'' return, this time, to investigate the sightings of a woman's ghost who haunts a local inn.",7.0,2.0,1994-10-08,,0
1321,,Campbell Scott,,,,,,,,,,,,,6705,,Campbell Scott,,,,,actor,1
4410,Chapter 21,,The war with Tusk intensifies. Claire influences Tricia Walker politically and domestically. Francis has a show-down with Linda Vasquez.,8.0,2.0,,,,2014-02-14,,2014-01-01,,,,1551,Chapter 21,,The war with Tusk intensifies. Claire influences Tricia Walker politically and domestically. Francis has a show-down with Linda Vasquez.,8.0,2.0,2014-02-14,,1
4145,,Zhivka Gancheva,,,,,,,,,,,,,7778,Shinobu Mail - Part 5,,"Koyomi is confronted by Shinobu's first minion, the original apparition killer. But instead of starting a battle, the samurai makes a simple request.",11.0,4.0,2015-12-13,,0
3579,Topsy Turvy Time,,"Monty is in a topsy-turvy mood and doing things a little bit differently, leaving him questioning why things always have to be same.",22.0,1.0,,,,2016-09-06,,2016-01-01,,,,5868,Topsy Turvy Time,,"Monty is in a topsy-turvy mood and doing things a little bit differently, leaving him questioning why things always have to be same.",22.0,1.0,2016-09-06,,1
4784,,Victoria Rose Sampson,,,,,,,,,,,,,7593,,Mitchel,,,,,guestStars,0
5582,,He Xugen,,,,,,,,,,,,,5784,,Yoo Ji-Tae,,,,,actor,0
755,R-O– ROLL M-O– MODEL,,"JJ challenges Maya’s mentoring tactics when she takes a father and his young son with special needs under her wing. Dylan and Ray attend a teen support group for all the wrong reasons. Meanwhile, Jimmy’s gorgeous new TV sets him on a journey for self-betterment.",10.0,3.0,,,,2019-01-11,,2019-01-01,,,,5581,Growing Pains,,"'The Old Witch takes over telling this episode's story after turning the Cryptkeeper into a scarecrow. In this installment, a plant enthusiast named Wendell (from ''Hyde and Go Shriek'') falls for Rose, a new girl at school with a rather ''weedy'' family secret.",10.0,2.0,1994-10-29,,0
722,,Ji?ina Bohdalov?,,,,,,,,,,,,,1493,,Suzanne Pleshette,,,,,guestStars,0
822,,Chor Yuen,,,,,,,,,,,,,4452,,Rosemary Knower,,,,,guestStars,0
4440,Episode 5,,,5.0,2.0,,,,2017-08-14,,2017-01-01,,,,1234,,Kennen Sisco,,,,,guestStars,0
4846,,EGGmotion,,,,,,,,,,,,,450,,Crime & Investigation Network (AU),,,,,,0
3826,,Yoshio Kosakai,,,,,,,,,,,,,7311,Treasure Hunt,,,13.0,2.0,1961-01-09,,0
2977,,Timothy Hutton,,,,,,,,,,,,,1598,Victor. Echo. November.,,The Phantom Limb and Dr. Girlfriend agree to a civil double date with The Monarch and some girl he met on the internet in order to discuss The Monarch's official re-entry into the Guild of Calamitous Intent.  Doc and Brock become the unwitting pawns in a low-grade pissing contest when Phantom Limb's sics the Guild's commandos on the Venture compound to prove his dominance.  Can Brock hold off an army?  Can Doc escape death and finish watching the worst porno ever?,6.0,2.0,2006-08-13,,0
4870,,Chuck Fryberger,,,,,,,,,,,,,5662,,Rachel Smith,,,,,guestStars,0
5958,Being Kara,,Kara's life spins out of control; Mary Jane helps Niecy land her first job.,4.0,3.0,,,,2015-11-04,,2015-01-01,,,,5050,Being Kara,,Kara's life spins out of control; and Mary Jane helps Niecy land her first job.,4.0,3.0,2015-11-03,,1
1943,Chapter 35,,The Jordan Valley erupts in chaos as Frank's campaign is picking up steam. Claire gets distrubing intel and counsels him.,9.0,3.0,,,,2015-02-27,,2015-01-01,,,,4347,Showdown at Cremation Creek (1),,"Dr. Girlfriend finally accepts the Monarch's wedding proposal... if he calls off his grudge with Dr. Venture. He agrees, but things take a turn for the worse when his henchmen mistakenly capture Team Venture, while the Phantom Limb vows not to take his break-up lightly.",12.0,2.0,2006-10-08,,0
3389,,Dana Brunetti,,,,,,,,,,,,,2971,,Miriam Colon,,,,,guestStars,0
612,,Austin Willows,,,,,,,,,,,,,6145, Bon Appetit - Anchovy,,Isabella Rossellini takes a closer look at the life of an anchovy.,2.0,3.0,2009-09-14,,0
5138,Joey the Weep,,,16.0,1.0,,,,1974-03-22,,1974-01-01,,,,7694,,Melanie Paxon,,,,,guestStars,0
5127,,BET,,,,,,,,,,,,US,4146,,BET,,,,,,1
2932,The Anonymous Donor,,It's moving day for both the Blacks and the Davids; Larry's prized Joe Pepitone jersey is lost at the dry cleaners; Larry's irked at Ted Danson's anonymous donation; Cheryl is grossed out by a semen stain on a guest-room quilt.,2.0,6.0,,,,2007-09-16,,2007-01-01,,,,114,Episode 16,,"After the birthday party, Jaekyung shows her interest to Junpyo. With her easy going personality, Jaekyung becomes friend with Jandi. Although Jandi likes Jaekyung’s untainted and friendly attitude, she feels uncomfortable. Jihu runs into his grandfather while taking saddened Jandi to her volunteer work at the clinic. Yijung and Woobin fail to seclude Jaekyung from Junpyo. With Gaeul’s help, Yijung finally reunites Junpyo and Jandi.",16.0,1.0,2009-02-24,,0
4651,,Yoon Ji-hye,,,,,,,,,,,,,4686,Yotsugi Doll - Part 2,,"Koyomi Araragi sees that he has no reflection, and discusses this with Shinobu. She then suggests that Koyomi should see Yozuru Kagenui and Yotsugi Ononoki.",16.0,0.0,2014-12-31,,0
2825,,Umenosuke Nakamura,,,,,,,,,,,,,4422,,Jennifer K. Dawson,,,,,guestStars,0
525,Stop Clowning Around,,"Ace and Cosmo are enjoying the circus when a ceiling prop goes away, ruining the ringmaster's life. Ace goes to rescue Ace's old freind, Yokiko. The next, Ace,Yokiko, and Cosmo learned about the sabotaged equipment and implement a plan to expose the sabotager to save the circus from being closed. Only moments after the Magic Express arrives at the circus, someone taunts the elephants with mice and opens the cage causing a stampede. Yokiko and Ace rounded up the elephants in the streets of Electro City with no one getting hurt. Using a special dust on the cage door, Ace notices a large set of fingerprints which seems to belong to the strongman of the circus, Igor Strongor. Ace confronts him, but Strongor knoked himself out when he runs into a wall. Then, Ace and Cosmo overhears a conversation between Yokiko and Black Jack's lawyer, Mr. Clockwise who wants Yokiko to sell the property of the circus to let Black Jack build a new casino. When Clockwise gets Spade and Diamond to finish her,",13.0,1.0,,,,1999-05-22,,1999-01-01,,,,3273,Chapter 65,,"In the wake of a surprising announcement, everything at the White House is shaken up. A decision must be made about whether to go to war. ",13.0,5.0,2017-05-30,,0
4237,,Kudos,,,,,,,,,,,,GB,2821,,Monroe Thomas,,,,,guestStars,0
5785,,Barrie McLean,,,,,,,,,,,,,7785,Who Wants to Be a Millionaire (UK),,"'Hosted by Chris Tarrant, possibly the most well known quiz show in the world, it is no wonder Who Wants to be a Millionaire has been nominated and won so many BAFTAs. In this show Chris Tarrant asks someone 15 questions, with multiple choice answers, which gets harder as the show goes on. They have three life-lines, Phone a Friend, Ask the Audience and 50/50. Though America has formed a rip off version of this, this is the real McCoy. Though America has had about ten winners, the pound is worth more, so the questions are harder. 5 millionaire's have been made in this fantastic game show. There is a money tree, which you will progress through the questions.£1,000,000£500,000£250,000£125,000£64,000£32,000£16,000£8000£4000£2000£1000£500£300£200£100 The bold ones mean that once you have reached them, you are guaranteed to win AT LEAST that amount of money. There are only two though, so watch out!",,,1998-09-01,,0
168,,David Moore,,,,,,,,,,,,,4660,,Tony Fitzpatrick,,,,,guestStars,0
4934,One Way Ticket,,"There's a ticket for entertainer Nita Graham for a trip aboard the Tiki. Adam delivers the ticket in person, but Nita doesn't know what he's talking about, and she isn't planning any trips.",10.0,3.0,,,,1961-12-03,,1961-01-01,,,,901,,Gilbert Gottfried,,,,,guestStars,0
4831,,Shinya Nishizawa,,,,,,,,,,,,,3607,,Shirley Prestia,,,,,guestStars,0
3032,,Gis?le Braunberger,,,,,,,,,,,,,1806,Chapter 52,,"As the hostage situation continues, Claire secretly negotiates with Yusuf al Ahmadi. Frank confronts Hammerschmidt.",13.0,4.0,2016-03-04,,0
3361,Gone for Goode,,"Lewis and Crosetti uncover a woman who's been killing her husbands for insurance money. Howard tries to keep her cases-solved record perfect, but she is reassigned with Felton as her partner. Bolander convinces Munch to help him finish up an unsolved case. A new guy, Tim Bayliss, from the mayor's office gets his first case in homicide, the murder of an 11-year-old girl. His partner Pembleton, we find out, is less than enthusiastic to work with him or anyone else in the unit.",1.0,1.0,,,,1993-01-31,,1993-01-01,,,,3284,Summary II,,This episode summarizes the events of the Mayoi Jiangshi episodes,8.0,0.0,2013-09-15,,0
5676,Cousin Flora,,Monty is puzzled when his cousin Flora doesn't enjoy playing the same way he does.,65.0,1.0,,,,2017-10-20,,2017-01-01,,,,4949,Cousin Flora,,Monty is puzzled when his cousin Flora doesn't enjoy playing the same way he does.,65.0,1.0,2017-10-20,,1
4013,,Posh Productions,,,,,,,,,,,,,3778,,Sarain Boylan,,,,,guestStars,0
2020,,Elske Falkena,,,,,,,,,,,,,102,,Kevin Dunn,,,,,guestStars,0
3982,,Ferdinando Murolo,,,,,,,,,,,,,3333,,Madame Spivy,,,,,guestStars,0
3300,,Nikki Vanzo,,,,,,,,,,,,,449,It's for You,,"'For Christmas, Gary recieves a phone line for his bedroom with the proviso that he doesn't ''''abuse the privilege.''''  Naturally, Gary immediately begins making prank calls, but he soon finds the tables turned when one of the people he called begins stalking him via telephone.  Gary pays the caller a visit and discovers Mrs. Emma Needham, an old lady who soon proves that she's not as nice she initially appeared...",11.0,3.0,1999-11-18,,0
3351,Episode 8,,,8.0,1.0,,,,2013-10-16,,2013-01-01,,,,5024,,Charles Wilkinson,,,,,guestStars,0
5478,"Series 2, Episode 2",,,2.0,2.0,,,,1991-02-21,,1991-01-01,,,,5543,,Philip Baker Hall,,,,,guestStars,0
3862,Storm Advisory,,"Andre comes face to face with David at Mary Jane’s house. Meanwhile, changes are afoot at SNC and after an anchor is unceremoniously fired, Mary Jane, Kara and Mark all fear for their jobs. Lisa struggles with a bout of depression. ",1.0,1.0,,,,2014-01-07,,2014-01-01,,,,2175,Storm Advisory,,"Andre comes face to face with David at Mary Jane’s house. Meanwhile, changes are afoot at SNC and after an anchor is unceremoniously fired, Mary Jane, Kara and Mark all fear for their jobs. Lisa struggles with a bout of depression. ",1.0,1.0,2014-01-07,,1
1511,,Matti Ij?s,,,,,,,,,,,,,3004,,Answald Kr?ger,,,,,writers,0
3468,Termite Controller,,"Concrete spreader, termite exterminator, concrete truck cleaner",6.0,2.0,,,,2006-03-21,,2006-01-01,,,,3469,,Ted Harbert,,,,,guestStars,0
1812,,Jimmy McGovern,,,,,,,,,,,,,5005,,Dan Duryea,,,,,guestStars,0
4328,Getting Home,,"Traveling to Atlanta to cover a news story, Mary Jane's reunion with her family goes into a tailspin when Lee shows up unexpectedly.",6.0,4.0,,,,2017-02-21,,2017-01-01,,,,2408,Getting Home,,"Traveling to Atlanta to cover a news story, Mary Jane's reunion with her family goes into a tailspin when Lee shows up unexpectedly.",6.0,4.0,2017-02-21,,1
1660,Like a Pierrot III ~ Ottoto 9,,,20.0,1.0,,,,,,,,,,7041,Like A Pierrot III ~ Ottoto 9,,,20.0,1.0,2008-02-03,,1
4943,,Roman Davydov,,,,,,,,,,,,,3058,,Mark Rolston,,,,,guestStars,0
3514,Chapter 59,,"When a crisis forces White House personnel to take shelter in a bunker, Commerce Department official Jane Davis negotiates through back channels.",7.0,5.0,,,,2017-05-30,,2017-01-01,,,,5312,,Barry Levinson,,,,,guestStars,0
5753,Man Eater,,,17.0,2.0,,,,1961-02-06,,1961-01-01,,,,2529,The Shootout,,"Jung Im is killed in a shootout with the Jongno Police. Majar and Se Joo get taken back to the station and tortured for Young Jin's whereabouts. Nam Ok gets away after seeing Jung Im fall but returns to avenge her death. Meanwhile, Young Jin and Won Bong meet with Fukuda and listen to what he has to say.",36.0,1.0,2019-07-06,,0
5566,,Gena McCarthy,,,,,,,,,,,,,5809,,Neal Moran,,,,,guestStars,0
5828,Episode 21,,"Junpyo’s mother rushes the wedding, and Jaekyung asks Jandi to be her bridesmaid. On the day before the wedding, F4, Jandi and Gaeul arrived at Jeju Island for the wedding, and the complication between Junpyo, Jaekyung, Jandi and Jihoo reaches the climax. Junhee advises Junpyo not to do something that he is going to regret. Junpyo goes down on his knees and ask Jaekyung to break off the engagement.",21.0,1.0,,,,2009-03-17,,2009-01-01,,,,546,,Brigid Cleary,,,,,guestStars,0
1031,,Chris Jenkins,,,,,,,,,,,,,5877,,David Feldman,,,,,guestStars,0
163,,Raging Stallion Studios,,,,,,,,,,,,US,1890,D.Gray-man,,"'Toward the end of the 19th century, Allen Walker officially joins the organization of Exorcists that destroy the beings known as Akuma; mechanic weapons made by the Millennium Earl with the suffering souls of the dead. Allen has both a cursed eye and an anti-Akuma weapon as an arm, bearing the power of ''Innocence,'' a gift given to him as an apostle of God. Allen, along with his fellow Exorcists must put a stop to the Millennium Earl's ultimate plot that could lead to the destruction of the world and all who live on it.",,,2006-10-03,,0
2117,,Ladislav Hausdorf,,,,,,,,,,,,,5362,Hoof Cleaner,,"Mike Rowe first joins a crew at a rock quarry in Washington and learns what it takes to make gravel from loading rocks to blowing up a side of a mountain. Next, Mike gets hip deep in mud and muck working with the hippo keepers at the Adventure Aquarium in Camden, NJ. Finally, Mike helps a crew of hooftrimmers give some cows a pedicure and later cleans a cow foot bath.",14.0,2.0,2006-08-15,,0
1996,,Kyle Secor,,,,,,,,,,,,,4671,R-U-N-- RUNAWAY,,"When Maya learns JJ attempted to run away, she is determined to help him complete the task as any able-bodied person could. Meanwhile, Jimmy struggles to have hard talks with the kids without Maya, and Dylan tries to get Kenneth to revive his glory days as a high school sports star.",20.0,1.0,2017-04-26,,0
4601,,S?lvia Munt,,,,,,,,,,,,,385,,Ron Lagomarsino,,,,,directors,0
